,animal_id_outcome,outcome_type,age_upon_outcome_years,animal_type,breed,Mix,fotos,bins
73826,A759272,Euthanasia,0.07671232876712329,Dog,chihuahua,True,https://dog.ceo/api/breed/Chihuahua Longhair Mix/images/random,0-1
74313,A759972,Euthanasia,12.0,Dog,germanshepherd,True,https://dog.ceo/api/breed/German Shepherd Mix/images/random,10-19
74428,A760144,Euthanasia,15.0,Dog,germanshepherd,True,https://dog.ceo/api/breed/German Shepherd Mix/images/random,10-19
74440,A760157,Euthanasia,2.0,Dog,germanshepherd,True,https://dog.ceo/api/breed/German Shepherd Mix/images/random,0-1
75220,A761279,Euthanasia,2.0,Dog,chihuahua,True,https://dog.ceo/api/breed/Chihuahua Longhair Mix/images/random,0-1
76112,A762880,Euthanasia,3.0,Dog,husky,True,https://dog.ceo/api/breed/Alaskan Husky Mix/images/random,2-5
76905,A764156,Euthanasia,10.0,Dog,chihuahua,True,https://dog.ceo/api/breed/Chihuahua Longhair Mix/images/random,6-10
76936,A764203,Euthanasia,5.0,Dog,germanshepherd,True,https://dog.ceo/api/breed/German Shepherd Mix/images/random,2-5
77047,A764391,Euthanasia,0.4931506849315068,Dog,boxer,True,https://dog.ceo/api/breed/Boxer Mix/images/random,0-1
78255,A766365,Euthanasia,1.0,Dog,germanshepherd,True,https://dog.ceo/api/breed/German Shepherd Mix/images/random,0-1
78772,A767240,Euthanasia,0.07671232876712329,Dog,germanshepherd,False,https://dog.ceo/api/breed/German Shepherd/images/random,0-1
79358,A768365,Euthanasia,2.0,Dog,beagle,True,https://dog.ceo/api/breed/Beagle Mix/images/random,0-1
79671,A769067,Euthanasia,10.0,Dog,boxer,True,https://dog.ceo/api/breed/Boxer Mix/images/random,6-10
