	price	start_lat	start_lon	end_lat	end_lon	end_state	distance	duration	rating	rider_waiting_time	vehicle_type_id
79	0	19.4231398853	-99.17050313200001	19.4137787	-99.1649223	rider cancel	0	0	8.0		21620ea5749f2e0679a8c72c7fbafb9e
80	4,000	19.441434215999998	-99.18350312860001	19.42277	-99.174517	no show	12	368	10.0	344	077866c3fd1a75f51ca7f8eae166ae32
81	0	19.441434215999998	-99.18350312860001	19.42277	-99.174517	rider cancel	0	0	10.0		077866c3fd1a75f51ca7f8eae166ae32
82	0	19.441434215999998	-99.18350312860001	19.42277	-99.174517	rider cancel	0	0	10.0		077866c3fd1a75f51ca7f8eae166ae32
83	4,048	19.4230077157	-99.1703639925	19.4227491	-99.1749373	drop off	2,655	664	6.0	239	21620ea5749f2e0679a8c72c7fbafb9e
84	4,000	19.4064378	-99.1752599	19.4137787	-99.1649223	drop off	1,900	749	9.0	259	21620ea5749f2e0679a8c72c7fbafb9e
85	4,000	19.4230377542	-99.17494218799999	19.4230911	-99.1702686	drop off	664	264	6.0	514	21620ea5749f2e0679a8c72c7fbafb9e
86	4,000	19.4196291	-99.1668295	19.4250811	-99.1677673	drop off	3,460	1,228	8.0	489	21620ea5749f2e0679a8c72c7fbafb9e
87	0	19.4230102	-99.1750694	19.407004418099998	-99.1758300126	rider cancel	0	0	10.0		21620ea5749f2e0679a8c72c7fbafb9e
88	0	19.4199617779	-99.17195521299999	19.441434215999998	-99.18350312860001	rider cancel	0	0	10.0		077866c3fd1a75f51ca7f8eae166ae32
89	0	19.4199617779	-99.17195521299999	19.441434215999998	-99.18350312860001	rider cancel	0	0	10.0		077866c3fd1a75f51ca7f8eae166ae32
90	0	19.4199617779	-99.17195521299999	19.441434215999998	-99.18350312860001	rider cancel	0	0	10.0		077866c3fd1a75f51ca7f8eae166ae32
91	4,000	19.438666	-99.1808212	19.406133800000006	-99.17626640000002	no show	0	612	10.0	9,673	21620ea5749f2e0679a8c72c7fbafb9e
92	0	19.4230911	-99.1702686	19.4064115	-99.1752902	rider cancel	0	0	9.0		21620ea5749f2e0679a8c72c7fbafb9e
93	0	19.4230911	-99.1702686	19.4064115	-99.1752902	rider cancel	0	0	9.0		21620ea5749f2e0679a8c72c7fbafb9e
94	0	19.4230911	-99.1702686	19.4064115	-99.1752902	rider cancel	0	0	9.0		21620ea5749f2e0679a8c72c7fbafb9e
95	23,018	19.4063528563	-99.1752938926	19.2956057	-99.2105652	drop off	16,628	2,143	9.0	1,712	077866c3fd1a75f51ca7f8eae166ae32
96	6,955	19.441412332	-99.1841339308	19.4330908	-99.1927996	drop off	4,220	2,110	10.0	398	21620ea5749f2e0679a8c72c7fbafb9e
97	4,075	19.42277	-99.174517	19.4064378	-99.1752599	drop off	2,507	765	9.0	917	21620ea5749f2e0679a8c72c7fbafb9e
98	4,000	19.4218788	-99.1743966	19.438666	-99.1808212	drop off	3,085	917	10.0	74	21620ea5749f2e0679a8c72c7fbafb9e
99	0	19.406537533199998	-99.16970986870001	19.4219595249	-99.1745589674	rider cancel	0	0	10.0		077866c3fd1a75f51ca7f8eae166ae32
