,_id,category_code,founded_year,geojson,latitude,longitude,name,number_of_employees,total_money_raised,empresas_cerca
816,5cd45d120c24ecd1b9ca2498,games_video,2008,"{'type': 'Point', 'coordinates': [-122.4013624, 37.7893215]}",37.7893215,-122.4013624,Serious Business,22,$4M,66
1463,5cd45d120c24ecd1b9ca271f,web,2007,"{'type': 'Point', 'coordinates': [-122.4013624, 37.7893215]}",37.7893215,-122.4013624,Huddler,52,$22.8M,66
2709,5cd45d120c24ecd1b9ca2bfd,advertising,2006,"{'type': 'Point', 'coordinates': [-122.399959, 37.787247]}",37.787247,-122.399959,NaturalPath Media,7,$250k,64
2180,5cd45d120c24ecd1b9ca29ec,finance,2008,"{'type': 'Point', 'coordinates': [-122.403073, 37.79023]}",37.79023,-122.403073,AlphaClone,2,$1.4M,63
2128,5cd45d120c24ecd1b9ca29b8,consulting,2001,"{'type': 'Point', 'coordinates': [-122.4035368, 37.7875973]}",37.7875973,-122.4035368,Papercheck,35,$0,63
2755,5cd45d120c24ecd1b9ca2c2b,mobile,2008,"{'type': 'Point', 'coordinates': [-122.4021988, 37.7900992]}",37.7900992,-122.4021988,5th Finger,50,$7M,63
336,5cd45d120c24ecd1b9ca22b8,software,2007,"{'type': 'Point', 'coordinates': [-122.4020276, 37.7891288]}",37.7891288,-122.4020276,Roost,15,$13.5M,63
344,5cd45d120c24ecd1b9ca22c0,web,2007,"{'type': 'Point', 'coordinates': [-122.403865, 37.788266]}",37.788266,-122.403865,Lookery,9,$3.15M,62
1944,5cd45d120c24ecd1b9ca2900,web,2008,"{'type': 'Point', 'coordinates': [-122.3999719, 37.7870923]}",37.7870923,-122.3999719,Lolapps,65,$4M,62
1717,5cd45d120c24ecd1b9ca281d,web,2008,"{'type': 'Point', 'coordinates': [-122.3999719, 37.7870923]}",37.7870923,-122.3999719,Lolapps,65,$4M,62
2264,5cd45d120c24ecd1b9ca2a40,public_relations,2006,"{'type': 'Point', 'coordinates': [-122.398774, 37.786393]}",37.786393,-122.398774,My Rental Units,0,$0,62
1272,5cd45d120c24ecd1b9ca2660,other,2006,"{'type': 'Point', 'coordinates': [-122.399412, 37.787076]}",37.787076,-122.399412,Simply Continuous,15,$0,62
422,5cd45d120c24ecd1b9ca230e,web,2007,"{'type': 'Point', 'coordinates': [-122.4033943, 37.7876175]}",37.7876175,-122.4033943,Fat Goose,2,$0,61
3707,5cd45d120c24ecd1b9ca2fe3,public_relations,2008,"{'type': 'Point', 'coordinates': [-122.4020588, 37.7919639]}",37.7919639,-122.4020588,sipgate,4,$0,61
1158,5cd45d120c24ecd1b9ca25ee,mobile,2007,"{'type': 'Point', 'coordinates': [-122.402859, 37.791391]}",37.791391,-122.402859,iPling,7,$700k,60
1236,5cd45d120c24ecd1b9ca263c,games_video,2006,"{'type': 'Point', 'coordinates': [-122.402859, 37.791391]}",37.791391,-122.402859,Overstream,3,$0,60
303,5cd45d120c24ecd1b9ca2297,search,2003,"{'type': 'Point', 'coordinates': [-122.39897, 37.78624]}",37.78624,-122.39897,Mobissimo,15,$1M,60
928,5cd45d120c24ecd1b9ca2508,web,2004,"{'type': 'Point', 'coordinates': [-122.397847, 37.787445]}",37.787445,-122.397847,TerraPass,7,$5.8M,60
1218,5cd45d120c24ecd1b9ca262a,software,2006,"{'type': 'Point', 'coordinates': [-122.402759, 37.787646]}",37.787646,-122.402759,Keibi Technologies,30,$5M,60
515,5cd45d120c24ecd1b9ca236b,advertising,2008,"{'type': 'Point', 'coordinates': [-122.397759, 37.787183]}",37.787183,-122.397759,LiveRail,110,$12M,59
187,5cd45d120c24ecd1b9ca2223,software,2006,"{'type': 'Point', 'coordinates': [-122.404052, 37.789634]}",37.789634,-122.404052,Xobni,0,$41.8M,59
3514,5cd45d120c24ecd1b9ca2f22,enterprise,2004,"{'type': 'Point', 'coordinates': [-122.404113, 37.789471]}",37.789471,-122.404113,Birst,150,$64M,59
238,5cd45d120c24ecd1b9ca2256,web,2007,"{'type': 'Point', 'coordinates': [-122.397672, 37.786906]}",37.786906,-122.397672,Disqus,43,$10.5M,59
5,5cd45d120c24ecd1b9ca216d,news,2007,"{'type': 'Point', 'coordinates': [-122.404052, 37.789634]}",37.789634,-122.404052,Scribd,50,$25.8M,59
855,5cd45d120c24ecd1b9ca24bf,web,2006,"{'type': 'Point', 'coordinates': [-122.397884, 37.787204]}",37.787204,-122.397884,Yoono,10,$5.45M,58
113,5cd45d120c24ecd1b9ca21d9,games_video,2006,"{'type': 'Point', 'coordinates': [-122.401245, 37.786942]}",37.786942,-122.401245,Kongregate,20,$19M,58
958,5cd45d120c24ecd1b9ca2526,advertising,2000,"{'type': 'Point', 'coordinates': [-122.4039768, 37.7872512]}",37.7872512,-122.4039768,Geary Interactive,240,$0,58
3733,5cd45d120c24ecd1b9ca2ffd,web,2007,"{'type': 'Point', 'coordinates': [-122.4011603, 37.7868333]}",37.7868333,-122.4011603,GottaPark,9,$600k,58
3701,5cd45d120c24ecd1b9ca2fdd,cleantech,2007,"{'type': 'Point', 'coordinates': [-122.4041075, 37.7871306]}",37.7871306,-122.4041075,Sunrun,180,$337M,56
2260,5cd45d120c24ecd1b9ca2a3c,web,2007,"{'type': 'Point', 'coordinates': [-122.397141, 37.788115]}",37.788115,-122.397141,DocVerse,5,$1.3M,56
906,5cd45d120c24ecd1b9ca24f2,messaging,2006,"{'type': 'Point', 'coordinates': [-122.4013875, 37.7867392]}",37.7867392,-122.4013875,Rapleaf,44,$16M,56
