,_id,category,coords,founded_year,latitude,longitude,name,number_of_employees,tamaño_empresa,total_money_raised
156,5cd962d86517e94a863ba7b6,other,"{'type': 'Point', 'coordinates': [-73.986951, 40.756054]}",2007,40.756054,-73.986951,Primospot,6,startup,
157,5cd962d86517e94a863ba795,web,"{'type': 'Point', 'coordinates': [-73.986951, 40.756054]}",2009,40.756054,-73.986951,Udorse,3,startup,500000.0
158,5cd962d86517e94a863ba834,web,"{'type': 'Point', 'coordinates': [-73.986951, 40.756054]}",2008,40.756054,-73.986951,Conversition,10,startup,
159,5cd962d86517e94a863ba759,games_video,"{'type': 'Point', 'coordinates': [-73.986951, 40.756054]}",2007,40.756054,-73.986951,Yoostar,40,small,
160,5cd962d86517e94a863ba4b8,advertising,"{'type': 'Point', 'coordinates': [-73.986951, 40.756054]}",2008,40.756054,-73.986951,Pictela,20,small,3500000.0
161,5cd962d86517e94a863ba5f3,web,"{'type': 'Point', 'coordinates': [-73.986951, 40.756054]}",2008,40.756054,-73.986951,Wee Web,5,startup,270000.0
162,5cd962d86517e94a863ba46d,games_video,"{'type': 'Point', 'coordinates': [-73.986951, 40.756054]}",2007,40.756054,-73.986951,Fotohoo,2,startup,
163,5cd962d86517e94a863ba636,other,"{'type': 'Point', 'coordinates': [-73.986951, 40.756054]}",2008,40.756054,-73.986951,UniversityJunction,20,small,
164,5cd962d86517e94a863ba04f,advertising,"{'type': 'Point', 'coordinates': [-73.986951, 40.756054]}",2008,40.756054,-73.986951,Medialets,60,small,28400000.0
165,5cd962d86517e94a863ba3d8,web,"{'type': 'Point', 'coordinates': [-73.986951, 40.756054]}",2008,40.756054,-73.986951,People Capital,10,startup,2500000.0
166,5cd962d86517e94a863ba145,web,"{'type': 'Point', 'coordinates': [-73.986951, 40.756054]}",2008,40.756054,-73.986951,Papervitamins,2,startup,
167,5cd962d86517e94a863ba1fe,web,"{'type': 'Point', 'coordinates': [-73.986951, 40.756054]}",2008,40.756054,-73.986951,Papervitamins,2,startup,
168,5cd962d86517e94a863ba3b2,advertising,"{'type': 'Point', 'coordinates': [-73.986951, 40.756054]}",2007,40.756054,-73.986951,PlaceVine,3,startup,500000.0
169,5cd962d86517e94a863b9ff1,web,"{'type': 'Point', 'coordinates': [-73.97917, 40.754211]}",2006,40.754211,-73.97917,BountyJobs,45,small,29800000.0
170,5cd962d86517e94a863ba13d,public_relations,"{'type': 'Point', 'coordinates': [-73.9871847, 40.7564318]}",2008,40.7564318,-73.9871847,Thomson Reuters,50000,big,
171,5cd962d86517e94a863ba1f6,public_relations,"{'type': 'Point', 'coordinates': [-73.9871847, 40.7564318]}",2008,40.7564318,-73.9871847,Thomson Reuters,50000,big,
172,5cd962d86517e94a863b9d7e,software,"{'type': 'Point', 'coordinates': [-73.968173, 40.75033]}",2006,40.75033,-73.968173,HeadStrong Brain Gym,5,startup,
173,5cd962d86517e94a863ba3a1,ecommerce,"{'type': 'Point', 'coordinates': [-73.968145, 40.750567]}",2005,40.750567,-73.968145,Homethinking,8,startup,
174,5cd962d86517e94a863b9cdc,search,"{'type': 'Point', 'coordinates': [-73.985506, 40.757929]}",2012,40.757929,-73.985506,PeekYou,20,small,1830000.0
175,5cd962d86517e94a863b9ef5,network_hosting,"{'type': 'Point', 'coordinates': [-73.985506, 40.757929]}",2006,40.757929,-73.985506,MyBloop,7,startup,
176,5cd962d86517e94a863b9db0,games_video,"{'type': 'Point', 'coordinates': [-73.985506, 40.757929]}",2007,40.757929,-73.985506,Camlink,4,startup,
177,5cd962d86517e94a863b9f60,software,"{'type': 'Point', 'coordinates': [-73.985506, 40.757929]}",2008,40.757929,-73.985506,Pinch Media,6,startup,560000.0
178,5cd962d86517e94a863b9c84,social,"{'type': 'Point', 'coordinates': [-73.985506, 40.757929]}",2007,40.757929,-73.985506,MeetMoi,15,small,5580000.0
179,5cd962d86517e94a863ba277,education,"{'type': 'Point', 'coordinates': [-73.9793465, 40.7568493]}",2008,40.7568493,-73.9793465,Unigo,9,startup,2000000.0
180,5cd962d86517e94a863b9cf7,mobile,"{'type': 'Point', 'coordinates': [-73.976348, 40.756799]}",2006,40.756799,-73.976348,Worklight,30,small,17600000.0
181,5cd962d86517e94a863ba384,advertising,"{'type': 'Point', 'coordinates': [-73.9763479, 40.756799]}",2007,40.756799,-73.9763479,MediaMath,125,medium,26900000.0
182,5cd962d86517e94a863ba197,web,"{'type': 'Point', 'coordinates': [-74.039011, 40.747005]}",2007,40.747005,-74.039011,SuiteMatch,3,startup,
183,5cd962d86517e94a863ba250,web,"{'type': 'Point', 'coordinates': [-74.039011, 40.747005]}",2007,40.747005,-74.039011,SuiteMatch,3,startup,
184,5cd962d86517e94a863b9e8c,enterprise,"{'type': 'Point', 'coordinates': [-73.98459, 40.759243]}",2008,40.759243,-73.98459,Salesconx,15,small,1300000.0
185,5cd962d86517e94a863ba04c,games_video,"{'type': 'Point', 'coordinates': [-73.9447994, 40.727434]}",2008,40.727434,-73.9447994,GEN247,12,small,
186,5cd962d86517e94a863b9d38,enterprise,"{'type': 'Point', 'coordinates': [-74.0094471, 40.6772802]}",2005,40.6772802,-74.0094471,Vemo,3,startup,
187,5cd962d86517e94a863ba65a,games_video,"{'type': 'Point', 'coordinates': [-122.3399782, 47.6103008]}",2009,47.6103008,-122.3399782,Z2Live,130,medium,6500000.0
188,5cd962d86517e94a863ba6f3,web,"{'type': 'Point', 'coordinates': [-122.3374372, 47.6042792]}",2008,47.6042792,-122.3374372,GroupieGuide,4,startup,
189,5cd962d86517e94a863ba053,software,"{'type': 'Point', 'coordinates': [-122.3374372, 47.6042792]}",2007,47.6042792,-122.3374372,Fixie,2,startup,
190,5cd962d86517e94a863b9d6a,web,"{'type': 'Point', 'coordinates': [-122.3308, 47.6064]}",2006,47.6064,-122.3308,PopShops,3,startup,
191,5cd962d86517e94a863ba464,software,"{'type': 'Point', 'coordinates': [-122.3328401, 47.6042663]}",2008,47.6042663,-122.3328401,Implied Solutions,1,startup,
192,5cd962d86517e94a863ba0b1,games_video,"{'type': 'Point', 'coordinates': [-122.33763, 47.6141]}",2007,47.6141,-122.33763,Jootware,2,startup,
193,5cd962d86517e94a863ba70b,other,"{'type': 'Point', 'coordinates': [-122.3305597, 47.6051695]}",2007,47.6051695,-122.3305597,FireRock Research,2,startup,
194,5cd962d86517e94a863b9f91,web,"{'type': 'Point', 'coordinates': [-122.33501, 47.603357]}",2007,47.603357,-122.33501,CultureMob,2,startup,
195,5cd962d86517e94a863ba5f1,software,"{'type': 'Point', 'coordinates': [-122.333359, 47.603364]}",2008,47.603364,-122.333359,Optify,45,small,10800000.0
196,5cd962d86517e94a863ba27e,software,"{'type': 'Point', 'coordinates': [-122.345874, 47.611718]}",2006,47.611718,-122.345874,Artefact,18,small,
197,5cd962d86517e94a863b9d1d,software,"{'type': 'Point', 'coordinates': [-122.3355636, 47.6018824]}",2006,47.6018824,-122.3355636,Jackson Fish Market,3,startup,
198,5cd962d86517e94a863ba35e,web,"{'type': 'Point', 'coordinates': [-122.3326145, 47.6024156]}",2008,47.6024156,-122.3326145,Decho,150,medium,
199,5cd962d86517e94a863b9ce5,games_video,"{'type': 'Point', 'coordinates': [-122.335943, 47.6015315]}",2006,47.6015315,-122.335943,FlowPlay,30,small,3970000.0
200,5cd962d86517e94a863ba6cf,software,"{'type': 'Point', 'coordinates': [-122.3342585, 47.6008008]}",2007,47.6008008,-122.3342585,Nirvaha,14,small,795000.0
201,5cd962d86517e94a863b9ea4,web,"{'type': 'Point', 'coordinates': [-122.3370801, 47.6171788]}",2007,47.6171788,-122.3370801,TeachStreet,8,startup,3450000.0
202,5cd962d86517e94a863b9cf9,real_estate,"{'type': 'Point', 'coordinates': [-122.3293984, 47.6011125]}",2005,47.6011125,-122.3293984,Zillow,600,medium,96600000.0
203,5cd962d86517e94a863ba41d,web,"{'type': 'Point', 'coordinates': [-122.335109, 47.5990906]}",2008,47.5990906,-122.335109,able2know,5,startup,
204,5cd962d86517e94a863b9d6d,web,"{'type': 'Point', 'coordinates': [-122.334393, 47.599136]}",2007,47.599136,-122.334393,Mergelab,3,startup,
205,5cd962d86517e94a863b9d2d,other,"{'type': 'Point', 'coordinates': [-122.332904, 47.598968]}",2005,47.598968,-122.332904,Snapvine,20,small,12000000.0
206,5cd962d86517e94a863ba7cb,cleantech,"{'type': 'Point', 'coordinates': [-122.334614, 47.598657]}",2005,47.598657,-122.334614,Optimum Energy,65,small,21200000.0
207,5cd962d86517e94a863b9cd2,web,"{'type': 'Point', 'coordinates': [-122.3276962, 47.5999337]}",2007,47.5999337,-122.3276962,EyeJot,5,startup,1150000.0
208,5cd962d86517e94a863b9e72,advertising,"{'type': 'Point', 'coordinates': [-122.348937, 47.618579]}",2007,47.618579,-122.348937,Reach Machines,5,startup,
209,5cd962d86517e94a863ba725,messaging,"{'type': 'Point', 'coordinates': [-122.3350847, 47.6220245]}",2008,47.6220245,-122.3350847,Glympse,20,small,7500000.0
210,5cd962d86517e94a863b9cb5,ecommerce,"{'type': 'Point', 'coordinates': [-122.347533, 47.620716]}",2006,47.620716,-122.347533,Wishpot,10,startup,1300000.0
211,5cd962d86517e94a863b9d1e,web,"{'type': 'Point', 'coordinates': [-122.347533, 47.620716]}",2006,47.620716,-122.347533,RealSelf,23,small,1950000.0
212,5cd962d86517e94a863b9d91,web,"{'type': 'Point', 'coordinates': [-122.347533, 47.620716]}",2006,47.620716,-122.347533,Shelfari,11,small,1000000.0
213,5cd962d86517e94a863b9e2b,network_hosting,"{'type': 'Point', 'coordinates': [-122.347533, 47.620716]}",2007,47.620716,-122.347533,Bookgoo,5,startup,
214,5cd962d86517e94a863ba751,web,"{'type': 'Point', 'coordinates': [-122.347276, 47.620973]}",2009,47.620973,-122.347276,Flaggpole,4,startup,
215,5cd962d86517e94a863ba44f,web,"{'type': 'Point', 'coordinates': [-122.347276, 47.620973]}",2008,47.620973,-122.347276,Stax Networks,8,startup,
