Case Number,Year,Type,Country,Fatal (Y/N),Incompletion
2015.09.01,2015,Unprovoked,THAILAND,N,2.5
2015.09.00,2015,Unprovoked,FIJI,N,6.5
2015.08.29.b,2015,Unprovoked,USA,N,2.5
2015.08.29.a,2015,Unprovoked,USA,N,2.25
2015.08.22.b,2015,0,USA,N,4.0
2015.08.22.a,2015,Unprovoked,AUSTRALIA,N,3.0
2015.08.20,2015,Unprovoked,USA,N,2.5
2015.08.19,2015,Unprovoked,USA,N,2.5
2015.08.18.b,2015,Unprovoked,USA,N,2.5
2015.08.18.a,2015,0,SPAIN,N,2.75
2015.08.10,2015,Provoked,USA,N,2.5
2015.07.31,2015,Unprovoked,AUSTRALIA,N,2.25
2015.07.26.b,2015,Unprovoked,USA,N,2.5
2015.07.26.a,2015,0,USA,N,2.75
2015.07.25,2015,Unprovoked,AUSTRALIA,Y,2.5
2015.07.23.b,2015,Provoked,USA,N,3.25
2015.07.23.a,2015,Unprovoked,AUSTRALIA,N,4.0
2015.07.22,2015,Unprovoked,REUNION,N,4.5
2015.07.19,2015,Unprovoked,SOUTH AFRICA,N,3.5
2015.07-10,2015,Unprovoked,USA,N,2.5
2015.07.08,2015,0,USA,N,3.5
2015.07.06,2015,0,FRENCH POLYNESIA,N,5.25
2015.07.04.b,2015,Unprovoked,BAHAMAS,N,3.5
2015.07.04.a,2015,Unprovoked,USA,N,3.8003003003003
2015.07.03,2015,Unprovoked,AUSTRALIA,N,2.5
2015.07.02,2015,Unprovoked,AUSTRALIA,N,2.5
2015.07.01,2015,Unprovoked,USA,N,2.5
2015.06.30.b,2015,Unprovoked,AUSTRALIA,N,5.5
2015.06.30.a,2015,Unprovoked,USA,N,2.25
2015.06.27.b,2015,Unprovoked,USA,N,2.5
2015.06.27.a,2015,Unprovoked,SOUTH AFRICA,N,2.25
2015.06.26.c,2015,0,USA,N,4.0
2015.06.26.b,2015,Unprovoked,SOUTH AFRICA,N,2.5
2015.06.26.a,2015,Unprovoked,USA,N,2.5
2015.06.25.R,2015,Provoked,AUSTRALIA,N,3.75
2015.06.25,2015,Unprovoked,USA,N,3.0
2015.06.24.b,2015,Unprovoked,USA,N,2.5
2015.06.24.a,2015,0,AUSTRALIA,N,2.0
2015.06.23,2015,Unprovoked,USA,N,4.0
2015.06.19,2015,Unprovoked,PUERTO RICO,N,4.3003003003003
2015.06.17,2015,Unprovoked,USA,N,3.0
2015.06.14.b,2015,Unprovoked,USA,N,2.5
2015.06.14.a,2015,Unprovoked,USA,N,2.25
2015.06.13,2015,Unprovoked,USA,N,4.5
2015.06.11,2015,Unprovoked,USA,N,3.0
