,Year,Country,Area,Activity,Sex,Age,Fatal_Y_N
5156,1911,AUSTRALIA,Torres Strait,Swimming,M,,Y
5157,1911,AUSTRALIA,Western Australia,3-masted steel barque Glenbank foundered during a cyclone,M,22,N
5158,1911,USA,Texas,Swimming,M,,N
5159,1911,NEW ZEALAND,North Island,Fishing,M,50,Y
5160,1910,CROATIA, Primorje-Gorski Kotar County,,M,,Y
5161,1910,AUSTRALIA,Western Australia,Shipwrecked pearling schooner,M,,Y
5162,1910,NORTH ATLANTIC OCEAN,Georges Bank,Fishing,M,,N
5163,1910,AUSTRALIA,Queensland,Bathing,M,,N
5164,1910,MEXICO,,Swimming,M,,N
5165,1910,MOZAMBIQUE,Zambesi River,"Steamer Durao struck rock & filled, boats capsized, passengers & crew tried to swim to shore",,,Y
5166,1910,USA,Alabama,"Unknown, their unoccupied yawlboat was recovered",M,,N
5167,1910,PANAMA,Colón Province,Fell overboard from USS cruiser Tacoma,M,,Y
5168,1910,NEW ZEALAND,North Island,Swimming,M,,N
5169,1910,USA,Hawaii,"Hard hat diving, laying some charge of powder",M,,N
5170,1910,AUSTRALIA,Western Australia,Surf bathing,M,,N
5171,1910,AUSTRALIA,New South Wales,,M,,Y
5172,1910,USA,Hawaii,"Fishing, thrown into water by heavy sea, clinging to rocks at the water line",M,,Y
5174,1909,USA,Florida,,M,,N
5175,1909,AUSTRALIA,New South Wales,Fell overboard,M,,Y
5176,1909,AUSTRALIA,New South Wales,Fishing,M,,N
5177,1909,INDONESIA,30 nm from Singapore,The 2379-ton French steamer La Seyne collied with British steamer Onda & sank in minutes. Passengers jumped overboard expecting to be picked up by Ondas boats,,,Y
5178,1909,USA,Delaware,Seine netting,M,,N
5179,1909,USA,Florida,Fell overboard from fishing schooner Halycon,M,,Y
5180,1909,USA,New York,Fell overboard while fishing for sharks,M,,N
5181,1909,USA,Florida,Swimming,M,16,N
5182,1909,MEXICO,Guerrero,Bathing,F,,Y
5183,1909,SOUTH AFRICA,Western Cape Province,,M,,Y
5184,1909,AUSTRALIA,Queensland,"1446-ton Norwegian barque Errol, bound from Peru to Newcastle with 22 on board wrecked. Survivors shelterd on the wreck of the Annasona. Subsequently the Master, his wife & 4 children perished along with several crew. Survivors (5) were rescued 7/12/1909",M,,Y
5185,1909,SPAIN,Andalucia,Fishing,M,,N
