,Year,Country,Area,Activity,Sex,Age,Fatal_Y_N
1624,2002,INDONESIA,,,,,Y
1625,2002,PAPUA NEW GUINEA,Louisiade Archipelago,,,,N
1626,2002,PAPUA NEW GUINEA,Louisiade Archipelago,Attempting to retreive a dinghy,,,Y
1627,2002,USA,Hawaii,Sitting on surfboard,,,N
1628,2002,USA,Florida,Surfing,M,28,N
1629,2002,USA,Florida,Surfing,M,50,N
1630,2002,USA,Florida,Swimming,M,10,N
1631,2002,SOUTH AFRICA,KwaZulu-Natal between Port Edward and Port St Johns,Snorkeling (filming the sardine run),M,50,N
1632,2002,USA,California,Surfing,M,24,N
1633,2002,USA,Florida,Floating on a raft,M,16,N
1634,2002,USA,Florida,"Fishing, removing the shark from his line",M,55,N
1635,2002,USA,Florida,Playing in the surf with his 2 dogs,M,35,N
1636,2002,COSTA RICA,Guanacaste,Surfing,M,,N
1637,2002,PAPUA NEW GUINEA,Milne Bay Province,Collecting beche-de-mer,M,14,N
1638,2002,USA,Florida,Fishing,M,31,N
1639,2002,BRAZIL,Pernambuco,Surfing,M,40,N
1640,2002,AUSTRALIA,Northern Territory,Fishing from prawn trawler,M,20,N
1641,2002,AUSTRALIA,South Australia,Scallop diving (using surface-supplied air & a POD) ,M,23,Y
1642,2002,AUSTRALIA,New South Wales,Fishing (Drowned 2-Apr-2002),M,52,Y
1643,2002,USA,Florida,"Surfing, but standing in water alongside board",M,34,N
1645,2002,AUSTRALIA,New South Wales,Swimming,M,45,N
1646,2002,BAHAMAS,Abaco Islands,Standing,M,43,N
1647,2002,USA,Florida,Wading,M,41,N
1648,2002,USA,Florida,Swimming / Wading,M,29,N
1649,2002,USA,Hawaii,Body-boarding,M,17,N
1650,2002,USA,Florida,Wading,F,11,N
1651,2002,BRAZIL,Pernambuco,Swimming,M,16,Y
1652,2002,USA,Florida,Swimming /  boogie boarding,M,20,N
1653,2002,USA,Florida,Snorkeling,M,39,N
1654,2002,USA,Florida,Surfing,M,31,N
1655,2002,NEW CALEDONIA,Loyalty Islands,Spearfishing,M,44,Y
1656,2002,TURKS & CAICOS,,Capsized fishing boat,M,,Y
1657,2002,AUSTRALIA,Queensland,Surfing,M,30 or 36,N
1658,2002,FIJI,Cikobia Island (north of Vanua Levu),,M,15,Y
1659,2002,AUSTRALIA,New South Wales,Kayaking,M,35,N
1660,2002,AUSTRALIA,New South Wales,Surfing,M,20,N
1661,2002,AUSTRALIA,Western Australia,Swimming,M,32,N
1662,2002,SOUTH AFRICA,KwaZulu-Natal,Fishing,M,16,N
1663,2002,BRAZIL,Pernambuco,Swimming,,,Y
1664,2002,SOUTH AFRICA,KwaZulu-Natal,Surf skiing,M,26,N
1665,2002,USA,Hawaii,Snorkeling,M,35,N
1666,2001,AUSTRALIA,Western Australia,Surfing,M,36,N
1667,2001,AUSTRALIA,New South Wales,Surfing,M,49,N
1668,2001,USA,Hawaii,Surfing,,,N
1669,2001,AUSTRALIA,Western Australia,Surf-skiing,M,,N
1670,2001,SOUTH AFRICA,KwaZulu-Natal,Kite-Boarding,M,,N
1671,2001,AUSTRALIA,Queensland,Snorkeling,F,20,N
1672,2001,MEXICO,Guerrero,Body surfing,M,26,N
1673,2001,AUSTRALIA,Queensland,,M,31,N
1674,2001,USA,Florida,"Surfing, fell off surfboard & stepped on the shark.",M,21,N
1675,2001,USA,Florida,Surfing,M,14,N
1676,2001,USA,Florida,Wreck / Technical diving,M,42,Y
1677,2001,USA,Florida,Boogie boarding,M,6½,N
1678,2001,USA,North Carolina,Surfing,M,16,N
1679,2001,UNITED KINGDOM,Cheshire,Diving,M,,N
1680,2001,USA,Florida,Fishing,M,44,N
1681,2001,USA,Florida,Walking in shallows,M,13,N
1682,2001,USA,South Carolina,Swimming,F,,N
1683,2001,USA,North Carolina,Swimming ,M,28,Y
1684,2001,USA,North Carolina,Swimming,F,23,N
1685,2001,USA,Florida,Wading,M,20,N
1686,2001,USA,Virginia,Swimming ,M,10,Y
1687,2001,BAHAMAS,Abaco Islands,Spearfishing,M,44,N
1688,2001,USA,Florida,Standing,F,29,N
1689,2001,USA,Florida,Wading,M,69,N
1690,2001,USA,Florida,Boogie Boarding,M,18,N
1692,2001,USA,Florida,Surfing,M,17,N
1693,2001,USA,Florida,Surfing,M,27,N
1694,2001,USA,Florida,Surfing,M,32,N
1695,2001,USA,Florida,Surfing,F,17,N
1697,2001,USA,Florida,Surfing,M,20,N
1698,2001,USA,Florida,Surfing,M,19,N
1700,2001,BAHAMAS,Grand Bahama Island,Spearfishing,M,43,N
1701,2001,THAILAND,Rayong Province,Fell off banana boat,M,21 & ?,N
1702,2001,USA,South Carolina,,F,,N
1703,2001,BAHAMAS,Grand Bahama Island,Swimming,M,36,N
1704,2001,ITALY,,Fishing,,,N
1706,2001,USA,Florida,,M,,N
1707,2001,USA,Florida,,F,,N
1708,2001,USA,Massachusetts,Fishing,,,N
1709,2001,USA,Florida,Surfing,M,48,N
1710,2001,USA,Florida,Boogie boarding,M,18,N
1711,2001,MEXICO,Baja California,Surfing,M,42,N
1712,2001,USA,Florida,Swimming,M,8,N
1713,2001,USA,South Carolina,,,,N
1714,2001,USA,Georgia,Floating face-down in knee-deep water,M,35,N
1715,2001,USA,Texas,Swimming,M,14,N
1716,2001,USA,California,Spearfishing,M,52,N
1717,2001,AUSTRALIA,New South Wales,Hiking on the beach,M,75,Y
1718,2001,USA,South Carolina,Wading,F,29,N
1719,2001,USA,Texas,,M,16,N
1720,2001,USA,South Carolina,Swimming,M,11,N
1721,2001,USA,South Carolina,Swimming,M,,N
1722,2001,PHILIPPINES,Zamboanga del Sur Province,Shark fishing,M,24,N
1723,2001,MADAGASCAR,,,M,,Y
1724,2001,SOUTH AFRICA,Eastern Cape Province,Surfing,M,26,N
1725,2001,AUSTRALIA,New South Wales,Surfing,M,33 or 37,N
1726,2001,USA,Florida,Surfing,M,45,N
1727,2001,FIJI,Taveuni,"Spearfishing, carrying his catch",M,,Y
1728,2001,USA,Florida,Boogie boarding,M,14,N
1729,2001,USA,Florida,Surfing,M,16,N
1730,2001,USA,Florida,Surfing,M,12,N
1731,2001,USA,Florida,,M,mid-30s,N
1732,2001,USA,Florida,Surfing,M,38,N
1733,2001,USA,Florida,Surfing,M,21,N
1734,2001,USA,Florida,Body boarding,M,12,N
1735,2001,USA,Florida,Surfing,M,22,N
1738,2001,USA,Hawaii,Surfing,M,,N
1739,2001,USA,Florida,Surfing,,16,N
1740,2001,SOUTH AFRICA,Eastern Cape Province,Surfing,M,46,N
1741,2001,AUSTRALIA,New South Wales,Snorkeling,M,,N
1742,2001,USA,Florida,Standing alongside surfboard,M,26,N
1743,2001,BRAZIL,Rio Grande de Norte,Batin,F,12,N
1744,2001,AUSTRALIA,New South Wales,Surfing,M,40,N
1745,2001,USA,Hawaii,Body-boarding,M,,N
1746,2001,USA,Florida,Surfing,M,,N
1747,2001,BRAZIL,Bahia,Attempting to catch a crocodile,M,12,N
1748,2001,BRAZIL,Pernambuco,Swimming,M,20,Y
1749,2001,CARIBBEAN SEA,,Sinking of the 40' Esperanza off St. Maartin with 36 refugees on board,,,Y
1750,2001,AUSTRALIA,Western Australia,Fishing for whiting,,,N
1751,2001,MALAYSIA,Off the western coast of peninsular Malaysia,Unknown,F,,Y
1753,2001,AUSTRALIA,New South Wales,Kayaking,M,35,N
1754,2001,CUBA,Holquin Province,Swimming,F,55,N
1755,2001,AUSTRALIA,South Australia,Fishing,,,N
1756,2001,USA,California,Surfing,M,,N
1757,2001,NEW ZEALAND,North Island,Kayaking,M,,N
1758,2000,AUSTRALIA,Queensland,Scuba diving,M,23,N
1759,2000,FIJI,Taveuni,Swimming back from anchored sailboat,M,47,Y
1760,2000,AUSTRALIA,South Australia,Fishing for whiting,,,N
1761,2000,CANADA,New Brunswick,Diving for sea urchins,M,30,N
1762,2000,AUSTRALIA,Queensland,Spearfishing,M,38,N
1763,2000,NEW ZEALAND,Cook Islands,Surfing,F,,Y
1764,2000,AUSTRALIA,Queensland,Diving (shell maintenance),M,28,N
1765,2000,AUSTRALIA,South Australia,Shipwrecked,M,47,Y
1766,2000,USA,Florida,Swimming,M,73,N
1767,2000,USA,Florida,Walking,F,27,N
1768,2000,AUSTRALIA,Western Australia,Swimming,M,52,N
1769,2000,AUSTRALIA,Western Australia,Swimming,M,49,Y
1770,2000,USA,California,Surfing,M,27,N
1771,2000,AUSTRALIA,Queensland,Fishing ,,31,N
1772,2000,USA,Florida,Surfing,M,23,N
1773,2000,USA,Hawaii,Swimming / snorkeling,F,56,N
1774,2000,USA,Florida,Swimming,M,69,N
1775,2000,USA,Florida,Surfing,M,17,N
1777,2000,USA,Florida,Body surfing,M,11,N
1778,2000,USA,North Carolina,Surfing,M,24,N
1779,2000,USA,California,Sitting on surfboard,M,,N
1780,2000,AUSTRALIA,South Australia,Surfing,M,17,Y
1781,2000,AUSTRALIA,South Australia,Surfing,M,25,Y
1782,2000,AUSTRALIA,New South Wales,Fell onto dead shark,M,12,N
1783,2000,OKINAWA,Miyako Island,Surfing,M,31,Y
1784,2000,USA,South Carolina,,,,N
1785,2000,USA,Florida,Standing / surfing,M,49,N
1786,2000,USA,Florida,Surfing,F,26,N
1787,2000,USA,Florida,Swimming / Body surfing,M,25,N
1788,2000,USA,Florida,Swimming,M,8,N
1789,2000,SOUTH AFRICA,Western Cape Province,Free diving,M,48,N
1790,2000,TANZANIA,,Swimming,M,28,Y
1791,2000,USA,Florida,Wading,M,40,N
1792,2000,REUNION,Saint-Pierre,Surfing,M,27,N
1793,2000,TANZANIA,,Swimming,,,Y
1794,2000,USA,Florida,Swimming,M,47,N
1795,2000,USA,Florida,Jumped into the water,M,69,Y
1796,2000,USA,Alaska,Conducting research,M,,N
1797,2000,USA,North Carolina,Swimming out to porpoises ,M,,N
1798,2000,USA,Hawaii,"Windsurfing, but sitting on his board",M,53,N
1799,2000,USA,Florida,Surfing / Wading,M,27,N
1800,2000,USA,Florida,Standing,F,44,N
1801,2000,USA,North Carolina,Swimming ,M,,N
1802,2000,USA,Florida,Attempting to illegally enter the USA,M,23 & 20,Y
1804,2000,USA,Florida,,M,5,N
1805,2000,USA,Florida,Snorkeling,F,45,N
1806,2000,USA,North Carolina,Surfing,M,16,N
1807,2000,USA,North Carolina,Surfing,M,14,N
1808,2000,SOUTH AFRICA,Eastern Cape Province,Surfing,M,15,N
1809,2000,SOUTH AFRICA,Eastern Cape Province,Surfing,M,18,N
1810,2000,SOUTH AFRICA,KwaZulu-Natal,Surfing,M,,N
1811,2000, TONGA,Minerva Reef,Scuba diving,M,69,N
1812,2000,USA,Florida,Wading,M,13,N
1813,2000,USA,Florida,Swimming ,M,41,N
1814,2000,USA,Texas,Jumping,M,5,N
1815,2000,USA,North Carolina,Playing,F,12,N
1816,2000,USA,Florida,Wading,F,20,N
1817,2000,USA,Florida,"Spearfishing, holding mesh bag with speared fish",F,55,N
1818,2000,USA,Florida,Wading,F,13,N
1819,2000,USA,Florida,Standing,F,19,N
1821,2000,PAPUA NEW GUINEA,Madang Province,,M,,Y
1822,2000,NEW ZEALAND,North Island,Fishing,M,,N
1823,2000,USA,Florida,Standing,M,52,N
1824,2000,USA,Florida,Sailing,,,N
1825,2000,USA,Texas,Surfing,M,17,N
1826,2000,USA,Alabama,Swimming,M,55,N
1827,2000,USA,Alabama,Swimming ,M,44,N
1828,2000,USA,Florida,Snorkeling,M,13,N
1829,2000,TANZANIA,,Swimming,M,,Y
1830,2000,NEW CALEDONIA,South Province,"Air Disaster - Piper aircraft crashed into the sea, killing all on board",,,Y
1831,2000,AUSTRALIA,Victoria,,,,Y
1832,2000,PAPUA NEW GUINEA,Madang Province,Standing,M,9,N
1833,2000,PAPUA NEW GUINEA,Madang Province,Diving,M,,Y
1834,2000,USA,Florida,Walking,M,34,N
1835,2000,USA,Florida,Boogie boarding / wading,M,,N
1836,2000,USA,Florida,Fishing,M,,N
1837,2000,AUSTRALIA,Queensland,Swimming,M,26,N
1838,2000,USA,Florida,Boogie boarding,F,14,N
1839,2000,USA,Florida,Surfing,M,37,N
1840,2000,NEW CALEDONIA,North Province,Spearfishing,M,35,Y
1841,2000,AUSTRALIA,New South Wales,Surfing,M,,N
1842,2000,AUSTRALIA,New South Wales,Rowing,,,N
1845,2000,AUSTRALIA,New South Wales,Swimming,M,,N
1846,2000,USA,Louisiana,Spearfishing,M,39,N
1847,2000,USA,Florida,,M,27,N
1848,2000,SOUTH AFRICA,Western Cape Province,Body surfing,M,,N
1849,2000,ENGLAND,Worcestershire,Feeding prawns to captive sharks,M,,N
1850,2000,NEW ZEALAND,South Island,Surfing,M,12,N
1851,2000,AUSTRALIA,South Australia,Surfing,M,26,N
1852,2000,REUNION,,Canoe with 3 men onboard sank,M,,Y
1853,2000,THAILAND,Phang nga Province,Diving,M,35,Y
1854,2000,USA,Florida,Fishing for tarpon,M,,N
1855,1999,NEW ZEALAND,South Island,Surfing,M,15,N
1856,1999,NEW ZEALAND,South Island,Swimming,F,13,N
1857,1999,NEW ZEALAND,South Island,Bathing,F,12,N
1858,1999,BRAZIL,Pernambuco,Surfing,M,18,N
1859,1999,USA,California,Scuba diving,M,,Y
1860,1999,BRAZIL,Rio de Janeiro,Spearfishing,M,39,N
1861,1999,USA,Florida,Surfing,M,35,N
1862,1999,USA,Florida,Surfing,M,19,N
1863,1999,USA,Hawaii,Swimming,F,51,N
1864,1999,USA,California,Surfing (sitting on his board),M,,N
1865,1999,SOUTH AFRICA,KwaZulu-Natal,Surfing,M,35,N
1866,1999,BRAZIL,Rio de Janeiro,"Spearfishing, but swimming at surface",M,39,N
1867,1999,MARSHALL ISLANDS,Alinglaplap Atoll,Swimming,M,12,N
1869,1999,USA,Florida,Body boarding,M,45,N
1870,1999,USA,Florida,Body surfing,M,13,N
1871,1999,USA,Florida,Surfing,M,,N
1872,1999,USA,Hawaii,"Surfing, lying on surfboard",M,16,N
1873,1999,USA,Florida,Wading to shore after surfing,M,22,N
1874,1999,ITALY,Adriatic Sea,Fishing,,,N
1875,1999,USA,Florida,Wading,F,61,N
1876,1999,USA,South Carolina,Wading,F,10,N
1877,1999,USA,Florida,Surfing,M,13,N
1878,1999,USA,Florida,Wading,M,7,N
1879,1999,USA,Florida,Wading with surfboard,M,39,N
1880,1999,USA,Florida,Surfing,M,28,N
1881,1999,USA,North Carolina,Surfing,M,,N
1882,1999,MARSHALL ISLANDS,Ralik Chain,Fishing,M,23,N
1883,1999,USA,Florida,Surfing,M,17,N
1884,1999,USA,South Carolina,Lying prone in 2' of water,M,10,N
1885,1999,USA,Florida,Body surfing,M,62,N
1886,1999,BAHAMAS,Abaco Islands,Spearfishing & holding catch,M,35,N
1887,1999,SOUTH AFRICA,Western Cape Province,Surfing,M,42,N
1888,1999,USA,Florida,Swimming with dolphins,M,43,N
1889,1999,USA,Hawaii,Surfing,M,43,N
1890,1999,SOUTH AFRICA,Western Cape Province,Boogie boarding,M,14,Y
1891,1999,USA,South Carolina,,M,,N
1892,1999,USA,Florida,Wading in school of baitfish,F,30,N
1893,1999,SOUTH AFRICA,Eastern Cape Province,Surfing,M,29,N
1894,1999,USA,Florida,Adrift in a life jacket,M,20,N
1895,1999,USA,Florida,Surfing,M,21,N
1896,1999,USA,Florida,Swimming,M,41,N
1897,1999,USA,Florida,Splashing / wading,M,5,N
1898,1999,AUSTRALIA,South Australia,Windsurfing,M,22,Y
1899,1999,BRAZIL,Pernambuco,Surfing,M,21,N
1900,1999,MAURITIUS,Grand Baie,Swimming,F,41,N
1901,1999,REUNION,L' Etang Salé-les-Bains,Swimming after being swept into sea by a large wave,M,52,Y
1902,1999,USA,Florida,Surfing,M,14,N
1903,1999,NEW ZEALAND,South Island,Spearfishing & diving for paua,M,,N
1904,1999,BRAZIL,Rio Grande de Norte,Scientific research (Dr. Sonny Gruber's student),M,,N
1905,1999,USA,Hawaii,"Swimming, towing a kayak",F,29,Y
1906,1999,NEW CALEDONIA,Loyalty Islands,Spearfishing,M,,N
1907,1999,NEW ZEALAND,,Fishing,M,28,N
1908,1999,USA,Hawaii,Body surfing or body boarding,M,18,N
1909,1999,USA,Hawaii,Swimming near pod of whales,F,29,N
1910,1999,USA,North Carolina,Cruising,,,N
1911,1999,AUSTRALIA,New South Wales,Surfing,M,35,N
1912,1999,USA,Florida,Surfing,M,25,N
1913,1999,MAURITIUS,,Spearfishing,M,47,N
1914,1999,SOUTH AFRICA,Eastern Cape Province,Paddle Skiing,M,,N
1915,1999,NEW ZEALAND,North Island,Inflatable boat,,,N
1916,1999,AUSTRALIA,Northern Territory,Fishing,F,37,N
1917,1999,REUNION,Saint-Leu,Spearfishing,,,Y
1918,1999,SOUTH AFRICA,Western Cape Province,Spearfishing,M,30,N
1919,1999,USA,Virginia,Body surfing,M,,N
1920,1998,USA,Florida,Surfing,M,19,N
1921,1998,AUSTRALIA,South Australia,Standing,F,21,N
1922,1998,SOUTH AFRICA,Eastern Cape Province,Surfing,M,18,N
1923,1998,SOUTH AFRICA,Eastern Cape Province,Splashing,M,14,N
1924,1998,AUSTRALIA,South Australia,Surfing,F,21,N
1925,1998,USA,Florida,Swimming,M,9,Y
1926,1998,USA,Florida,Surfing,M,14,N
1927,1998,USA,Florida,Walking,M,13,N
1928,1998,USA,Oregon,Surfing,M,32,N
1929,1998,JAPAN,Southern Japan,Fishing for tuna,M,52,N
1930,1998,BRAZIL,Pernambuco,Surfing,M,22,Y
1931,1998,USA,Florida,Swimming,F,17,N
1932,1998,SOUTH AFRICA,Eastern Cape Province,Surfing,M,30,N
1933,1998,USA,Florida,Surfing,M,,N
1934,1998,BRAZIL,Pernambuco,Surfing,M,17,N
1935,1998,REUNION,Saint-Benoît,Diving,,,N
1936,1998,USA,Florida,,M,28,N
1937,1998,USA,Florida,Surfing,M,6,N
1938,1998,USA,Florida,Surfing,M,18,N
1939,1998,SOUTH AFRICA,Eastern Cape Province,Fishing / washing bait off hands,M,,N
1940,1998,USA,Florida,Surfing,M,28,N
1941,1998,SENEGAL,Cap Vert Peninsula,Spearfishing,M,25,N
1942,1998,USA,Florida,Surfing,M,26,N
1943,1998,ITALY,Marches region,Fishing,,,N
1944,1998,USA,California,Boogie boarding,M,16,N
1945,1998,USA,Virginia,Spearfishing,M,,N
1946,1998,BAHAMAS,Berry Islands,Spearfishing,M,28,N
1947,1998,USA,Florida,Body-boarding,M,11,N
1948,1998,SOUTH AFRICA,Transvaal,Moving a shark in a net ,M,,N
1949,1998,SOUTH AFRICA,Western Cape Province,Surfing (or body boarding),M,19,N
1950,1998,SOUTH AFRICA,Western Cape Province,Spearfishing,M,24,N
1951,1998,BRAZIL,Pernambuco,Surfing,M,,N
1952,1998,USA,Florida,Surfing,M,13,N
1953,1998,SOUTH AFRICA,Western Cape Province,Wading,M,47,N
1954,1998,SOUTH AFRICA,Eastern Cape Province,Surfing,M,16,N
1955,1998,SOUTH AFRICA,Western Cape Province,Surfing,M,10,N
1956,1998,AUSTRALIA,South Australia,Free diving for abalone,M,26,Y
1957,1998,SOUTH AFRICA,Eastern Cape Province,Body Boarding,M,20,Y
1959,1998,SOUTH AFRICA,Eastern Cape Province,Surfing,M,,N
1960,1998,SOUTH AFRICA,Eastern Cape Province,Surfing,M,17,N
1961,1998,SOUTH AFRICA,Eastern Cape Province,Body boarding,M,15,N
1962,1998,SOUTH AFRICA,Eastern Cape Province,Body boarding,M,16,N
1963,1998,USA,Florida,Surfing,M,40,N
1964,1998,USA,Florida,Swimming,F,14,N
1965,1998,USA,Florida,Swimming / surfing,M,24,N
1966,1998,SOUTH AFRICA,Western Cape Province,Body boarding,M,22,N
1967,1998,MOZAMBIQUE,Gaza,Towing rubber dinghy,F,35,Y
1968,1998,USA,Oregon,Surfing (lying prone on his board),M,50,N
1969,1998,USA,Florida,Scuba diving,M,16,N
1970,1998,BRAZIL,Pernambuco,Swimming ,M,,Y
1971,1998,NEW CALEDONIA,,,,,N
1972,1998,USA,Florida,Swimming,M,40,N
1973,1998,SOUTH AFRICA,Western Cape Province,Snorkeling  hunting crayfish and abalone,M,33,N
1974,1998,USA,Florida,Swimming or paddle boarding,M,32,N
1975,1998,USA,Florida,Swimming,M,,N
1976,1998,AUSTRALIA,New South Wales,Spearfishing,M,31,Y
1977,1998,NEW CALEDONIA,South Province,Windsurfing,M,,N
1978,1998,REUNION,Grand'Anse,Bathing,M,,Y
1979,1998,SOUTH AFRICA,Eastern Cape Province,Surfing,M,21,N
1980,1998,AUSTRALIA,South Australia,Surfing,M,,N
1981,1998,MOZAMBIQUE,Maputo Province,Surfing,M,23,N
1982,1998,SOUTH AFRICA,Eastern Cape Province,Surfing,M,28,Y
1983,1998,REUNION,Beaufonds,Diving,,,Y
1984,1998,USA,Virginia,Spearfishing on scuba & transferring fish onto a stringer,M,,N
1985,1997,SOUTH AFRICA,Western Cape Province,Spearfishing,M,39,Y
1986,1997,SOUTH AFRICA,Eastern Cape Province,Sitting on surfboard,M,,N
1987,1997,USA,Florida,,F,29,N
1988,1997,USA,Florida,Swimming,M,8,N
1989,1997,AUSTRALIA,Western Australia,Scuba diving (submerged riding a scooter),M,42,N
1990,1997,USA,Florida,Swimming,M,32,N
1991,1997,AUSTRALIA,New South Wales,Unknown,M,21,Y
1992,1997,AUSTRALIA,Western Australia,Surf-skiing,M,51,N
1993,1997,USA,Hawaii,Body boarding or surfing,M,19,N
1994,1997,USA,Florida,Surfing,M,23,N
1995,1997,USA,Florida,Surfing,M,12,N
1996,1997,SOUTH AFRICA,Eastern Cape Province,Fishingat,,,N
1997,1997,USA,Florida,Swimming,F,14,N
1998,1997,BRAZIL,Pernambuco,Swimming,M,20,Y
2000,1997,USA,Florida,Surfing,,17,N
2001,1997,USA,Florida,Surfing,M,20,N
2002,1997,USA,Florida,Surfing,M,18,N
2003,1997,USA,Florida,Walking / surfing,M,22,N
2004,1997,USA,California,Surfing (sitting on his board),M,29,N
2005,1997,MEXICO,Quintana Roo,SCUBA diving,M,28,Y
2006,1997,MEXICO,Quintana Roo,SCUBA diving,M,33,Y
2007,1997,USA,Florida,Floating on raft,F,12,N
2008,1997,EGYPT,Red Sea,Fishing,M,17,N
2009,1997,EGYPT,Red Sea,Fishing,M,16,Y
2010,1997,USA,Florida,Boogie boarding,M,17,N
2011,1997,USA,Florida,Surfing,M,,N
2012,1997,USA,Texas,Wading,F,10,N
2013,1997,USA,Florida,Wade-fishing,M,,N
2014,1997,USA,Florida,Body surfing,M,17,N
2015,1997,USA,Florida,Wading / Surfing,M,19,N
2016,1997,AUSTRALIA,Queensland,Surfing,M,19,N
2017,1997,SOUTH AFRICA,Eastern Cape Province,Surfing,M,25,Y
2018,1997,BRAZIL,Pernambuco,Surfing,M,,N
2019,1997,USA,South Carolina,Standing,M,50,N
2020,1997,OKINAWA,Miyako,Fishing for octopus,M,55,Y
2021,1997,BRAZIL,Pernambuco,Surfing,,,N
2022,1997,USA,Hawaii,Spearfishing / night diving,M,,N
2023,1997,FIJI,Taveuni,Snorkeling,F,47,N
2026,1997,USA,Florida,"Body surfing, stood up on sandbar",M,33,N
2027,1997,USA,Florida,Spearfishing,M,35,N
2028,1997,USA,Florida,Surfing,M,34,N
2030,1997,BAHAMAS,Abaco Islands,Spearfishing,M,54,N
2031,1997,BAHAMAS,Abaco Islands,Spearfishing,M,,N
2032,1997,BRAZIL,Rio de Janeiro,Windsurfing,M,22,N
2033,1997,AUSTRALIA,Queensland,Swimming,F,21,N
2034,1997,AUSTRALIA,Queensland,Scuba diving,M,30,N
2036,1997,REUNION,L'Etang-Sale,,M,,N
2037,1997,AUSTRALIA,New South Wales,Rowing ,F,49,N
2038,1997,AUSTRALIA,Queensland,Snorkeling,M,27,N
2039,1997,AUSTRALIA,Western Australia,Windsurfing,M,41,Y
2040,1997,REUNION,,Spearfishing,M,,Y
2041,1997,AUSTRALIA,Victoria,Watching seals,,,N
2043,1996,SOUTH AFRICA,Eastern Cape Province,Surfing,M,,N
2044,1996,NEW CALEDONIA,,Spearfishing,M,,Y
2045,1996,NEW CALEDONIA,South Province,Attempting to attract dolphins,F,,N
2046,1996,USA,California,Surfing,M,45,N
2047,1996,USA,Florida,Surfing,M,26,N
2048,1996,BRAZIL,Pernambuco,Surfing,,,N
2049,1996,BRAZIL,Pernambuco,Surfing,M,,N
2050,1996,OKINAWA,Miyako Island,Swimming or snorkeling,M,,Y
2051,1996,USA,California,Surfing,M,22,N
2052,1996,USA,Florida,Surfing,M,21,N
2053,1996,USA,California,Surfing,M,31,N
2054,1996,BRAZIL,Pernambuco,,,,N
2055,1996,USA,Florida,Swimming,M,14,N
2056,1996,NEW ZEALAND,Chatham Islands ,Diving for abalone,M,23,N
2057,1996,USA,Florida,Surfing / Swimming,M,19,N
2058,1996,USA,Florida,Standing,M,5,N
2059,1996,USA,Florida,Sitting on surfboard,M,28,N
2060,1996,USA,South Carolina,Boogie boarding,F,28,N
2061,1996,SOUTH AFRICA,KwaZulu-Natal,Spearfishing,M,29,N
2062,1996,USA,Hawaii,Body Boarding,M,19,N
2063,1996,USA,California,Free diving for abalone,M,36,N
2064,1996,USA,Florida,Wade fishing,M,21,N
2065,1996,USA,Florida,Standing,F,8,N
2066,1996,OKINAWA,Miyako,Swimming,M,52,Y
2067,1996,EGYPT / ISRAEL,"South Sinai, Gulf of Aqaba",Free diving with a pod of dolphins,M,,N
2068,1996,USA,Massachusetts,Swimming,M,46,N
2069,1996,USA,Florida,Swimming,M,9,N
2071,1996,USA,Florida,,M,18,N
2072,1996,USA,Florida,Standing,F,63,N
2073,1996,BAHAMAS,Cat Cay,Diving,M,24,N
2074,1996,USA,South Carolina,Body surfing,F,24,N
2075,1996,AUSTRALIA,Victoria,Surfing,M,,N
2076,1996,SOUTH AFRICA,KwaZulu-Natal,Surfing,M,,N
2077,1996,SOUTH AFRICA,Western Cape Province,Surfing,M,17,N
2078,1996,AUSTRALIA,New South Wales,Tech diving ,M,45,Y
2079,1996,USA,Florida,Surfing,M,22,N
2080,1996,SOUTH KOREA,,Shell Diving,M,33,Y
2081,1996,USA,Florida,Surfing,M,27,N
2083,1996,AUSTRALIA,New South Wales,Swimming,M,11,N
2084,1996,AUSTRALIA,New South Wales,Swimming,F,16,N
2085,1996,BRAZIL,Pernambuco,Swimming,M,,Y
2086,1996,AUSTRALIA,Queensland,Swimming breast stoke,F,47,N
2087,1996,AUSTRALIA,New South Wales,Fishing in knee-deep water,M,7,N
2088,1996,AUSTRALIA,New South Wales,Dived naked into the water on a bet,M,24,N
2089,1996,USA,Missouri,Swimming in fish tank,F,32,N
2090,1996,PAPUA NEW GUINEA,Madang Province,,M,,Y
2091,1996,PAPUA NEW GUINEA,Madang Province,,,,N
2092,1996,PAPUA NEW GUINEA,Madang Province,Diving ,,14,Y
2093,1996,DOMINICAN REPUBLIC,12 miles off the north coast,Boeing 757 enroute from Porta Plata plunged into the sea,,,Y
2094,1996,AUSTRALIA,New South Wales,Swimming,M,7,N
2095,1996,USA,Florida,Wading,M,33,N
2096,1996,AUSTRALIA,Queensland,Swimming,F,13,N
2097,1996,USA,Hawaii,Swimming with mask & snorkel,M,53,N
2099,1996,AUSTRALIA,New South Wales,Chumming for sharks,,,N
2100,1996,REUNION,Saint-Paul ,Surfing,M,25,Y
2101,1996,FIJI,Taveuni,,M,,Y
2102,1996,USA,North Carolina,Surfing,M,,N
2104,1995,NEW ZEALAND,"Chatham Islands, east of New  Zealand","Diving, gathering shellfish",M,22,N
2105,1995,USA,Hawaii,,M,,N
2106,1995,NORTHERN ARABIAN SEA,,Fell off aircraft carrier,M,,N
2107,1995,AUSTRALIA,Queensland,,M,,N
2108,1995,USA,Florida,Boogie boarding,M,13,N
2109,1995,USA,Florida,Surfing,M,17,N
