Case Number,Year,Country,Area
2015.06.19,2015,PUERTO RICO,
2015.06.17,2015,USA,Florida
2015.06.14.b,2015,USA,North Carolina
2015.06.14.a,2015,USA,North Carolina
2015.06.13,2015,USA,California
2015.06.11,2015,USA,North Carolina
2015.06.07,2015,USA,Florida
2015.06.05,2015,USA,Florida
2015.06.01,2015,REUNION,Le Port
2015.05.29.b,2015,USA,Florida
2015.05.29.a,2015,USA,Florida
2015.05.25,2015,FRENCH POLYNESIA,Rangiroa
2015.05.24,2015,USA,Florida
2015.05.20,2015,USA,Florida
2015.05.15,2015,USA,South Carolina
2015.05.09,2015,NEW CALEDONIA,
2015.05.07,2015,USA,Florida
2015.05.03,2015,AUSTRALIA,New South Wales
2015.05.02,2015,SOUTH AFRICA,Eastern Cape Province
2015.04.29,2015,USA,Hawaii
2015.04.26,2015,USA,Florida
2015.04.25,2015,AUSTRALIA,South Australia
2015.04.24.c,2015,AUSTRALIA,New South Wales
2015.04.13,2015,USA,Florida
2015.04.11,2015,AUSTRALIA,New South Wales
2015.04.12,2015,REUNION,Saint-Gilles-les-Bains
2015.03.31,2015,BRAZIL,Pernambuco
2015.04.03,2015,USA,Florida
2015.03.29,2015,ITALY,Sardinia
2015.03.26,2015,SOUTH AFRICA,Eastern Cape Province
2015.03.21,2015,EGYPT,
2015.03.18,2015,USA,Hawaii
2015.03.16,2015,FRENCH POLYNESIA,Bora Bora
2015.03.11,2015,AUSTRALIA,New South Wales
2015.03.10,2015,MEXICO,Sinaloa
2015.03.07,2015,FRENCH POLYNESIA,Central Tuamotu
2015.02.15,2015,ATLANTIC OCEAN,
2015.02.14,2015,REUNION,dÉtang-Salé
2015.02.09,2015,AUSTRALIA,New South Wales
2015.02.08,2015,AUSTRALIA,New South Wales
2015.02.05,2015,AUSTRALIA,New South Wales
2015.01.30,2015,AUSTRALIA,Queensland
2015.01.27,2015,USA,Hawaii
2015.01.24,2015,AUSTRALIA,New South Wales
2015.01.19.b,2015,USA,Florida
2015.01.19.a,2015,AUSTRALIA,New South Wales
2015.01.17,2015,AUSTRALIA,New South Wales
2015.01.16,2015,AUSTRALIA,New South Wales
2015.01.08,2015,USA,Florida
2015.01.06,2015,BAHAMAS,Abaco Islands
2015.01.03,2015,SOUTH AFRICA,Eastern Cape Province
2015.01.01,2015,USA,Florida
2014.12.29.b,2014,AUSTRALIA,New South Wales
2014.12.29.a,2014,AUSTRALIA,Western Australia
2014.12.28.d,2014,GREECE,
2014.12.28.c,2014,SOUTH AFRICA,KwaZulu-Natal
2014.12.28.b,2014,USA,California
2014.12.28.a,2014,AUSTRALIA,Victoria
2014.12.23.R,2014,JAPAN,
2014.12.15,2014,AUSTRALIA,Queensland
2014.12.03.R,2014,SPAIN,Granada
2014.11.29,2014,AUSTRALIA,Western Australia
2014.11.20,2014,MAURITIUS,Cargados Carajos Shoals (St. Brandon)
2014.11.19,2014,AUSTRALIA,Western Australia
2014.11.16,2014,USA,Florida
2014.11.17,2014,USA,California
2014.11.13,2014,USA,Hawaii
2014.11.10,2014,AUSTRALIA,New South Wales
2014.11.08,2014,USA,Florida
2014.10.31,2014,USA,Hawaii
2014.10.30,2014,AUSTRALIA,New South Wales
2014.10.22,2014,USA,Hawaii
2014.10.20,2014,USA,Hawaii
2014.10.19,2014,USA,California
2014.10.18,2014,USA,Hawaii
2014.10.17,2014,AUSTRALIA,New South Wales
2014.10.14,2014,USA,South Carolina
2014.10.12,2014,USA,Florida
2014.10.07,2014,USA,Florida
2014.10.11,2014,AUSTRALIA,Western Australia
2014.10.05.b,2014,USA,Florida
2014.10.05.a,2014,USA,Florida
2014.10.03.b,2014,USA,California
2014.10.03.a,2014,USA,California
2014.10.02.b,2014,USA,California
2014.10.02.a,2014,AUSTRALIA,Western Australia
2014.09.21,2014,USA,Florida
2014.09.13.R,2014,FRENCH POLYNESIA,Moorea
2014.09.13,2014,USA,California
2014.09.09,2014,AUSTRALIA,New South Wales
2014.09.06,2014,USA,Alabama
2014.09.03,2014,USA,Massachusetts
2014.09.02,2014,USA,Florida
2014.09.00,2014,SPAIN,Catalonia
2014.08.31,2014,USA,Florida
2014.08.29.b,2014,USA,Florida
2014.08.29.a,2014,USA,Florida
2014.08.28,2014,USA,Maryland
2014.08.27.c,2014,SPAIN,Alicante
