Case Number,Date,Year,Country,Area,Fatal (Y/N),Activity,original order
2016.01.02,02-Jan-16,2016,AUSTRALIA,Queensland,N,Spearfishing,5891
2015.12.26,26-Dec-15,2015,SOUTH AFRICA,KwaZulu-Natal,N,Kayak Fishing,5890
2015.12.25,25-Dec-15,2015,SPAIN,Grand Canary Island,N,Swimming,5889
2015.12.22,22-Dec-15,2015,USA,Hawaii,N,Paddle boarding,5888
2015.12.21.b,21-Dec-15,2015,AUSTRALIA,New South Wales,N,Surfing,5887
2015.12.21.a,21-Dec-15,2015,BRAZIL,Pernambuco,N,Scuba diving,5886
2015.12.19,19-Dec-15,2015,ARUBA,,Y,Sea disaster,5885
2015.12.13,13-Dec-15,2015,AUSTRALIA,New South Wales,N,Fishing,5884
2015.12.11,11-Dec-15,2015,BAHAMAS,,N,Lobster fishing,5883
2015.12.08,08-Dec-15,2015,SOUTH AFRICA,Eastern Cape Province,N,Swimming / Wading,5882
2015.11.16,16-Nov-15,2015,USA,Florida,N,Surfing,5880
2015.11.15.b,15-Nov-15,2015,USA,Florida,N,Swimming,5879
2015.11.15.a,15-Nov-15,2015,USA,Florida,N,Surfing,5878
2015.11.10,10-Nov-15,2015,AUSTRALIA,New South Wales,N,Surfing,5877
2015.12.23,07-Nov-15,2015,USA,Florida,N,Surfing,5876
2015.11.03,03-Nov-15,2015,USA,Hawaii,N,Swimming,5875
2015.11.01.b,01-Nov-15,2015,USA,Florida,N,Wading,5874
2015.11.01.a,01-Nov-15,2015,MOZAMBIQUE,Inhambane Province,N,Fishing,5873
2015.10.30,30-Oct-15,2015,AUSTRALIA,Western Australia,N,Spearfishing,5872
2015.10.28.a,28-Oct-15,2015,USA,Hawaii,N,Body boarding,5871
2015.10.25,25-Oct-15,2015,SOUTH AFRICA,Western Cape Province,N,Surfing,5870
2015.10.21,21-Oct-15,2015,USA,Florida,N,Surfing,5869
2015.10.19,19-Oct-15,2015,USA,Florida,N,Surfing,5868
2015.10.17.c,17-Oct-15,2015,MOZAMBIQUE,Inhambane Province,Y,Fishing for shrimp,5867
2015.10.17.b,17-Oct-15,2015,USA,Hawaii,N,Surfing,5866
2015.10.17.a,17-Oct-15,2015,USA,Hawaii,N,Swimming,5865
2015.10.13,13-Oct-15,2015,USA,California,N,Kayak Fishing,5864
2015.10.09.b,09-Oct-15,2015,USA,South Carolina,N,Boogie boarding,5863
2015.10.09.a,09-Oct-15,2015,USA,Hawaii,N,Surfing,5862
