Case Number,Date,Year,Country,Area,Fatal (Y/N),Activity,original order
1968.12.26,26-Dec-68,1968,AUSTRALIA,New South Wales,N,Feeding mullet to sharks,2772
1968.12.25,25-Dec-68,1968,NEW ZEALAND,South Island,N,Surfing,2771
1968.12.09,09-Dec-68,1968,AUSTRALIA,South Australia,N,,2770
1968.12.02,02-Dec-68,1968,SOUTH AFRICA,KwaZulu-Natal,N,Spearfishing,2769
1968.12.00,Dec-68,1968,SOUTH AFRICA,KwaZulu-Natal,N,,2768
1968.11.06,06-Nov-68,1968,SOUTH AFRICA,KwaZulu-Natal,N,Fishing,2767
1968.11.02,02-Nov-68,1968,AUSTRALIA,Western Australia,N,,2766
1968.10.29,29-Oct-68,1968,BAHAMAS,,N,,2765
1968.10.13,13-Oct-68,1968,USA,Florida,N,Spearfishing using Scuba,2764
1968.10.10,10-Oct-68,1968,PHILIPPINES,Moro Gulf,N,Sinking of the ferryboat Dumaguete ,2763
1968.09.22,22-Sep-68,1968,USA,Florida,UNKNOWN,Surfing,2762
1968.09.15,15-Sep-68,1968,NEW ZEALAND,South Island,Y,Spearfishing,2761
1968.08.24,24-Aug-68,1968,USA,Florida,N,Playing with a frisbee in the shallows,2760
1968.08.21,21-Aug-68,1968,USA,Florida,N,Standing,2759
1968.08.13,13-Aug-68,1968,FRENCH POLYNESIA,Society Islands,N,Swimming,2758
1968.08.11,11-Aug-68,1968,MALAYSIA,Johor,N,Leaving the water,2757
1968.08.08,08-Aug-68,1968,COLUMBIA,Magdalena Department,N,Dynamite fishing,2756
1968.07.27,27-Jul-68,1968,USA,California,N,Free diving,2755
1968.07.23,23-Jul-68,1968,USA,Florida,N,Wading,2754
1968.07.16,16-Jul-68,1968,USA,South Carolina,N,Spearfishing using Scuba,2753
1968.07.10,10-Jul-68,1968,BAHAMAS,Great Exuma Island,Y,Small boat with 2 men onboard hit a submerged coral formation. Men began swimming to shore,2752
1968.07.00,Jul-68,1968,MEXICO,Baja California,N,,2751
1968.06.25,25-Jun-68,1968,BAHAMAS,Eleuthera,N,Spearfishing,2750
1968.06.09,09-Jun-68,1968,USA,Florida,N,Clamming,2749
1968.06.00,Jun-68,1968,ENGLAND,,N,,2748
1968.05.18,18-May-68,1968,TANZANIA,Mafia Island,Y,Schooner sank during a storm,2747
1968.05.00,May-68,1968,PAPUA NEW GUINEA,New Ireland Province,N,Standing,2746
1968.04.29,29-Apr-68,1968,USA,Florida,N,Wading,2745
1968.04.20,20-Apr-68,1968,USA,Florida,N,,2744
1968.04.15,15-Apr-68,1968,AUSTRALIA,New South Wales,N,"Diving. Shark swallowed his hand, so he threw his other around the shark and went shark-back riding for 30 yards until the shark opened its jaws",2743
1968.04.11.R,Reported 11-Apr-1968,1968,PAPUA NEW GUINEA,Gulf Province,Y,Swimming,2742
1968.04.07,07-Apr-68,1968,AUSTRALIA,New South Wales,N,,2741
1968.03.25,25-Mar-68,1968,SOUTH AFRICA,KwaZulu-Natal,N,Wading & pushing dinghy toward  the shallows,2740
1968.03.10,10-Mar-68,1968,USA,Florida,N,Surfing,2739
1968.03.00,Mar-68,1968,USA,Florida,N,Treading water,2738
1968.02.26,26-Feb-68,1968,USA,Florida,N,Surfing,2737
1968.02.20,20-Feb-68,1968,AUSTRALIA,Western Australia,N,Swimming,2736
1968.02.18,18-Feb-68,1968,NEW ZEALAND,North Island,N,Picking up shark by the tail,2735
1968.02.04,04-Feb-68,1968,AUSTRALIA,South Australia,N,Spearfishing,2734
1968.02.02,02-Feb-68,1968,AUSTRALIA,New South Wales,N,,2733
1968.02.00,Feb-68,1968,MOZAMBIQUE,,N,Diving,2732
1968.01.17,17-Jan-68,1968,PAPUA NEW GUINEA,Morobe Province,Y,Swimming,2731
1968.00.00.c,1968,1968,COSTA RICA,Limón Province,Y,Swimming after his canoe capsized,2730
1968.00.00.b,1968,1968,USA,Florida,N,Diving,2729
1968.00.00.a,1968,1968,USA,Florida,UNKNOWN,Surfing,2728
1967.12.30,30-Dec-67,1967,SOUTH AFRICA,Western Cape Province,N,Surfing,2727
1967.12.21.R,Reported 21-Dec-1967,1967,PAPUA NEW GUINEA,Central Province,N,Spearfishing,2726
1967.12.18,18-Dec-67,1967,FIJI,,N,,2725
1967.12.17,17-Dec-67,1967,AUSTRALIA,Victoria,Y,Swimming,2724
1967.12.14,14-Dec-67,1967,USA,,N,,2723
1967.11.30.b,30-Nov-67,1967,AUSTRALIA,New South Wales,N,Freediving,2722
1967.11.30.a,30-Nov-67,1967,AUSTRALIA,Queensland,N,,2721
1967.11.15,15-Nov-67,1967,FIJI,,N,Freediving,2720
1967.11.04,04-Nov-67,1967,PHILIPPINES,Rombion Province,Y,Sinking of the M/V Mindoro during a typhoon,2719
1967.11.00,Nov-67,1967,SOUTH AFRICA,KwaZulu-Natal,Y,,2718
1967.10.26.R,Reported 26-Oct-1967,1967,MEXICO,Veracruz,Y,Swimming,2717
1967.10.17,17-Oct-67,1967,USA,Florida,N,Standing on sandbar,2716
1967.10.00,Oct-67,1967,TONGA,,N,Swimming,2715
1967.09.20,20-Sep-67,1967,USA,Hawaii,Y,Boat capsized between O'ahu & Molokai,2714
1967.09.13,13-Sep-67,1967,ITALY,Brindisi Province,,Scuba diving,2713
1967.09.07.b,07-Sep-67,1967,PAPUA NEW GUINEA,New Ireland Province,UNKNOWN,Diving,2712
1967.09.07.a,07-Sep-67,1967,USA,Florida,N,Spearfishing,2711
1967.09.06,06-Sep-67,1967,PAPUA NEW GUINEA,New Ireland Province,Y,Spearfishing,2710
1967.09.01,01-Sep-67,1967,PAPUA NEW GUINEA,New Ireland Province,Y,Spearfishing,2709
1967.08.27,27-Aug-67,1967,USA,California,N,Pulling shark from the water,2708
1967.08.26,26-Aug-67,1967,JAPAN,Kagawa Prefecture,Y,,2707
1967.08.25,25-Aug-67,1967,ITALY,Liguria,N,Spearfishing on Scuba,2706
1967.08.19,19-Aug-67,1967,AUSTRALIA,Western Australia,Y,"Spearfishing, dived to pick up a float line",2705
1967.08.15,15-Aug-67,1967,BERMUDA,Hamilton,N,Floating,2704
1967.08.14.R,Reported 14-Aug-1967,1967,COLUMBIA,,N,,2703
1967.08.10,10-Aug-67,1967,AUSTRALIA,New South Wales,Y,Anti-sabotage night dive exercise alongside destroyer (Scuba diving),2702
1967.08.07,07-Aug-67,1967,USA,Florida,N,Spearfishing,2701
1967.08.00.b,Aug-67,1967,BAHAMAS,Out Islands,N,Photographing sharks underwater using Scuba,2700
1967.08.00.a,Aug-67,1967,SENEGAL,Cap Vert Peninsula,N,Beach seine netting,2699
1967.07.29,29-Jul-67,1967,USA,Florida,N,Snorkeling,2698
1967.07.05,05-Jul-67,1967,TURKEY,Mugla Province,Y,Spearfishing,2697
1967.07.00,Jul-67,1967,USA,South Carolina,N,Surfing,2696
1967.06.13,13-Jun-67,1967,USA,Florida,N,Spearfishing,2695
1967.06.00,Jun-67,1967,ITALY,Sicily,N,Fishing boat,2694
1967.05.13,13 or 30-May-1967,1967,AUSTRALIA,South Australia,N,,2693
1967.05.09,09-May-67,1967,AUSTRALIA,,N,Feeding a shark,2692
1967.04.00,Apr-67,1967,UNITED KINGDOM,Gibraltar,N,Fishing,2691
1967.03.20,20-Mar-67,1967,NEW ZEALAND,North Island,N,Freediving,2690
1967.03.19,19-Mar-67,1967,SOUTH AFRICA,KwaZulu-Natal,N,Spearfishing,2689
1967.03.12,12-Mar-67,1967,AUSTRALIA,Victoria,N,Spearfishing,2688
1967.03.10,10-Mar-67,1967,AUSTRALIA,New South Wales,Y,Vehicle plunged over cliff into the water,2687
1967.03.09,09-Mar-67,1967,NEW ZEALAND,South Island,Y,Lifesaving drill,2686
1967.03.01,01-Mar-67,1967,PAPUA NEW GUINEA,New Britain,N,,2685
1967.02.06,06-Feb-67,1967,MEXICO,Veracruz,Y,The shrimper Loless Maurine capsized in heavy seas & the men were swimming ashore  ,2684
1967.01.27,27-Jan-67,1967,SOUTH AFRICA,Western Cape Province,N,Fishing for rock lobster,2683
1967.01.22,22-Jan-67,1967,SOUTH AFRICA,Western Cape Province,N,Spearfishing Competition,2682
1967.01.21,21-Jan-67,1967,MOZAMBIQUE,Bay of Maputo,N,Swimming in the channel,2681
1967.01.06,06-Jan-67,1967,AUSTRALIA,Victoria,N,Splashing,2680
1966.12.31,31-Dec-66,1966,AUSTRALIA,Tasmania,N,Fishing,2679
1966.12.27.b,27-Dec-66,1966,AUSTRALIA,New South Wales,N,Spearfishing,2678
1966.12.27.a,27-Dec-66,1966,AUSTRALIA,New South Wales,N,Spearfishing,2677
1966.12.26,26-Dec-66,1966,SINGAPORE,,N,Wading,2676
1966.12.26,26-Dec-66,1966,AUSTRALIA,New South Wales,N,Spearfishing,2675
1966.11.14,14-Nov-66,1966,THAILAND,,UNKNOWN,,2674
1966.11.00,Early Nov-1966,1966,PAPUA NEW GUINEA,New Ireland Province,Y,A father bathing his smallest daughter when the shark bumped her out of his arms and carried her into deep water,2673
1966.10.30,30-Oct-66,1966,PAPUA NEW GUINEA,New Ireland Province,Y,Swimming,2672
1966.10.29,19-Oct-66,1966,PAPUA NEW GUINEA,New Ireland Province,Y,Swimming,2671
1966.09.27,27-Sep-66,1966,AUSTRALIA,Queensland,N,"Free diving, carrying speargun",2670
1966.09.19,19-Sep-66,1966,USA,Hawaii,N,Fishing,2669
1966.09.18,18-Sep-66,1966,AUSTRALIA,Western Australia,N,Spearfishing,2668
1966.09.13,13-Sep-66,1966,AUSTRALIA,Western Australia,UNKNOWN,Spearfishing,2667
1966.09.10,10-Sep-66,1966,AUSTRALIA,Western Australia,N,Spearfishing,2666
1966.09.08.b,08-Sep-66,1966,USA,Florida,N,Hunting crayfish ,2665
1966.09.00,Sep-66,1966,BAHAMAS,Bimini Islands,N,Diving / UW photography,2664
1966.08.28,28-Aug-66,1966,AUSTRALIA,Northern Territory,N,,2663
1966.08.27.b,27-Aug-66,1966,SOUTH AFRICA,KwaZulu-Natal,N,Netting sharks,2662
1966.08.27.a,27-Aug-66,1966,BAHAMAS,Bimini Islands,N,Snorkeling,2661
1966.08.21.b,23-Aug-66,1966,NEW BRITAIN,Duke of York Islands,Y,Swimming,2660
1966.08.21.a,23-Aug-66,1966,NEW BRITAIN,Duke of York Islands,Y,Diving into water,2659
1966.08.16,16-Aug-66,1966,CROATIA,Primorje-Gorski Kotar County ,Y,Swimming,2658
1966.08.14,14-Aug-66,1966,TAIWAN,,N,Lobster diving using Scuba,2657
1966.08.13,13-Aug-66,1966,ITALY,Taranto province,N,Attacked shark with fists,2656
1966.08.00.b,Mid Aug-1966,1966,USA,Delaware,N,Spearfishing on Scuba,2655
1966.08.00.a,Aug-66,1966,USA,Florida,N,Wading,2654
1966.07.31,31-Jul-66,1966,USA,Texas,N,Diving for sand dollars,2653
1966.07.19,19-Jul-66,1966,USA,South Carolina,N,Killing a shark,2652
1966.07.17.b,17-Jul-66,1966,USA,Texas,N,Fishing,2651
1966.07.17.a,17-Jul-66,1966,TAIWAN,Northern Taiwan,Y,Swimming,2650
1966.07.14,14-Jul-66,1966,PAPUA NEW GUINEA,"Admiralty Islands, Manus Province",Y,Swimming,2649
1966.07.03,03-Jul-66,1966,USA,Florida,N,Free diving,2648
1966.07.02,02-Jul-66,1966,CARIBBEAN SEA,,N,,2647
1966.06.22,22-Jun-66,1966,USA,New Jersey,N,Clamming,2646
1966.06.11,11-Jun-66,1966,USA,Florida,N,Fishing,2645
1966.06.04,04-Jun-66,1966,USA,Texas,N,Swimming,2644
1966.06.02,02-Jun-66,1966,FRENCH POLYNESIA,Society Islands,N,Fishing,2643
1966.05.20.c,20-May-66,1966,AUSTRALIA,New South Wales,Y,Sinking of the dredge World Atlas,2642
1966.05.20.b,20-May-66,1966,AUSTRALIA,New South Wales,N,Fishing,2641
1966.05.20.a,20-May-66,1966,AUSTRALIA,,Y,Shipwreck,2640
1966.05.16.b,16-May-66,1966,USA,Florida,N,Spearfishing / Scuba diving,2639
1966.05.16.a,16-May-66,1966,PHILIPPINES,,Y,The passenger ship Pioneer Cebu  capsized & sank in Typhoon Irma,2638
1966.04.08,08-Apr-66,1966,USA,Puerto Rico,N,Swimming,2637
1966.04.00,Apr-66,1966,AUSTRALIA,New South Wales,N,Overturned skiff,2636
1966.03.20,20-Mar-66,1966,AUSTRALIA,New South Wales,N,Fishing (big game),2635
1966.03.12,14-Mar-66,1966,SUDAN,Red Sea,Y,"The World Liberty and the tanker Mosli collided. The  Halcyon Breeze sent a lifeboat to the rescue, but it was smashed, throwing 6 men in the  water.",2634
1966.02.27,27-Feb-66,1966,AUSTRALIA,New South Wales,N,Treading water,2633
1966.01.29,29-Jan-66,1966,SOUTH AFRICA,Western Cape Province,N,Helping men land a shark,2632
1966.01.25,25-Jan-66,1966,INDONESIA,North Sumatra,Y,wreck of the State Oil Company ship Permina,2631
1966.01.22,22-Jan-66,1966,USA,California,N,Free diving / spearfishing (resting on the surface),2630
1966.01.15,15-Jan-66,1966,AUSTRALIA,New South Wales,N,Spearfishing,2629
1966.01.14,14-Jan-66,1966,COLUMBIA,,Y,Colombian  (Avianca) DC-4 airliner plunged into the sea 5 minutes after takeoff,2628
1966.01.11,11-Jan-66,1966,SOUTH AFRICA,Eastern Cape Province,N,Standing,2627
1966.01.10,10-Jan-66,1966,AUSTRALIA,Western Australia,N,Jumped into the water,2626
1966.01.09,09-Jan-66,1966,SOUTH AFRICA,KwaZulu-Natal,N,Body surfing,2625
1966.01.08,08-Jan-66,1966,NEW ZEALAND,North Island,Y,Body surfing ,2624
1966.01.05,05-Jan-66,1966,USA,Florida,N,Swimming,2623
1966.00.00,Summer of 1996,1966,USA,California,N,Walking,2622
1965.12.28,28-Dec-65,1965,AUSTRALIA,Western Australia,N,"Spearfishing, but standing in knee-deep water",2621
1965.12.19,19-Dec-65,1965,JOHNSTON ISLAND,,N,Freediving,2620
1965.12.10,10-Dec-65,1965,AUSTRALIA,South Australia,N,Fishing,2619
1965.11.21.b,21-Nov-65,1965,AUSTRALIA,Queensland,Y,Fishing from 34' boat when pulled overboard by hooked shark,2618
1965.11.21.a,21-Nov-65,1965,PACIFIC OCEAN ,"250 miles southwest of O'ahu, Hawaii",N,"Hauling dead shark aboard, when another shark leapt out of the water & bit him",2617
1965.11.03.b,03-Nov-65,1965,PANAMA,Caribbean Sea,Y,Argentine Air Force C-54,2616
1965.11.03.a,03-Nov-65,1965,AUSTRALIA,Queensland,N,Surfing,2615
1965.10.21,21-Oct-65,1965,,,N,The boat Caribou II sank,2614
1965.10.16.b,16-Oct-65,1965,BAHAMAS,New Providence Island,N,Sunbathing on beach when he saw child being attacked by the shark,2613
1965.10.16.a,16-Oct-65,1965,BAHAMAS,New Providence Island,Y,Playing in the water,2612
1965.10.10,10-Oct-65,1965,NEW BRITAIN,West coast,Y,"Spearfishing, shot a turtle",2611
1965.10.00,Oct-65,1965,PAPUA NEW GUINEA,New Britain,N,Wading,2610
1965.09.21,21-Sep-65,1965,PAPUA NEW GUINEA,Madang Province,N,Spearing fish,2609
1965.09.12,12-Sep-65,1965,PAPUA NEW GUINEA,East Sepik,N,Fishing (rod & line),2608
1965.09.08,08-Sep-65,1965,MEXICO,Veracruz,N,,2607
1965.08.30,30-Aug-65,1965,PHILIPPINES,,Y,"Arsinoe, a French tanker",2606
1965.08.26,26-Aug-65,1965,USA,New Jersey,N,Swimming,2605
1965.07.30,30-Jul-64,1965,BAHAMAS,Bimini Islands,N,Attempting to anesthetize shark,2604
1965.07.26,26-Jul-65,1965,MEXICO,Veracruz,Y,Swimming,2603
1965.07.02.R,Reported 02-Jul-1965,1965,BERMUDA,Hamilton,N,,2602
1965.06.19,19-Jun-65,1965,USA,Florida,N,Wading,2601
1965.06.18,18-Jun-65,1965,USA,Florida,N,"Diving, retrieving film package from Titan 3C rocket",2600
1965.06.09,09-Jun-65,1965,MEXICO,Veracruz,N,Swimming,2599
1965.06.00.b,Jun-65,1965,PAPUA NEW GUINEA,Near Bougainville (North Solomons),N,Spearfishing,2598
1965.06.00,Jun-65,1965,SOUTH PACIFIC OCEAN,,Y,Treading water,2597
1965.05.29,29-May-65,1965,MEXICO,Veracruz,Y,Swimming,2596
1965.05.28,28-May-65,1965,MEXICO,Veracruz,Y,Swimming,2595
1965.05.00.c,May-Jun-1965,1965,EGYPT,,N,Standing,2594
1965.05.00.b,May-65,1965,JAMAICA,,N,Diving,2593
1965.05.00.a,May-65,1965,MEXICO,Veracruz,N,Swimming,2592
1965.04.29,29-Apr-65,1965,USA,Florida,N,,2591
1965.04.25,25-Apr-65,1965,USA,California,Y,Surfing,2590
1965.04.10,10-Apr-65,1965,USA,Florida,N,Spearfishing,2589
1965.04.04.b,04-Apr-65,1965,PALAU,Western Caroline Islands,N,Walking on reef,2588
1965.04.04.a,04-Apr-65,1965,USA,Florida,N,Paddling on surfboard,2587
1965.03.23,23-Mar-65,1965,USA,Puerto Rico,N,Aircraft exploded,2586
1965.03.14,14-Mar-65,1965,USA,Florida,N,Free diving,2585
1965.02.14,14-Feb-65,1965,SOUTH AFRICA,KwaZulu-Natal,N,Treading water,2584
1965.02.04,04-Feb-65,1965,USA,Massachusetts,N,Scuba diving,2583
1965.01.25,25-Jan-65,1965,USA,California,Y,Motor boat Rebel Belle lost,2582
1965.01.23,23-Jan-65,1965,SOUTH AFRICA,KwaZulu-Natal,N,Paddling rescue ski,2581
1965.01.16,16-Jan-65,1965,SOUTH AFRICA,KwaZulu-Natal,N,Body surfing,2580
1965.01.10,10-Jan-65,1965,AUSTRALIA,Victoria,N,Swimming,2579
1965.01.09,09-Jan-65,1965,NEW GUINEA,Central Province,Y,Free diving,2578
1965.00.00.g,Summer 1965,1965,USA,Texas,N,Dangling feet in the water,2577
1965.00.00.f,1965,1965,USA,California,N,Surfing,2576
1965.00.00.e,Early 1965,1965,USA,Florida,N,Collecting marine specimens,2575
1965.00.00.d,May-Jun-1965,1965,RED SEA,East of the Gulf of Aqaba,N,Standing in waist-deep water,2574
1965.00.00.c,May-Jun-1965,1965,EGYPT,,N,"Spearfishing, but standing in the water",2573
1965.00.00.b,1965,1965,VANUATU,Malampa Province,Y,,2572
1965.00.00.a,Ca. 1965,1965,SOUTH AFRICA,Eastern Cape Province,UNKNOWN,Bather,2571
1964.12.25,25-Dec-64,1964,SOUTH AFRICA,Eastern Cape Province,N,Swimming,2570
1964.12.10.b,10-Dec-64,1964,PAPUA NEW GUINEA,Bougainville (North Solomons),N,,2569
1964.12.10.a,10-Dec-64,1964,AUSTRALIA,New South Wales,N,Fishing,2568
1964.12.09,09-Dec-64,1964,PAPUA NEW GUINEA,Bougainville (North Solomons),N,"Canoe swamped, swimming back to canoe",2567
1964.12.06,06-Dec-64,1964,KENYA,Coast Province,Y,Fishing with hand line tied to wrist & was pulled into the water,2566
1964.11.29,29-Nov-64,1964,AUSTRALIA,Victoria ,N,Free diving with seals,2565
1964.11.18,18-Nov-64,1964,AUSTRALIA,Queensland,Y,Swimming out to rescue swimmers in difficulty,2564
1964.11.13,13-Nov-64,1964,AUSTRALIA,New South Wales,N,"Filming underwater, carrying powerhead",2563
1964.11.05,05-Nov-64,1964,USA,Puerto Rico,N,Longline fishing,2562
1964.10.31,31-Oct-64,1964,SOUTH AFRICA,KwaZulu-Natal,N,Surf fishing,2561
1964.10.25,25-Oct-64,1964,USA,Florida,N,Boat Miss Becky  sank 12 miles from shore,2560
1964.10.04,04-Oct-64,1964,AUSTRALIA,Western Australia,N,"Surfing, but swimming to his board",2559
1964.09.27,27-Sep-64,1964,,,,Spearfishing,2558
1964.09.20,20-Sep-64,1964,TAIWAN,Northern Taiwan,Y,Swimming,2557
1964.09.07,07-Sep-64,1964,TAIWAN,Northern Taiwan,N,Swimming,2556
1964.08.26,26-Aug-64,1964,USA,Florida,N,Swimming,2555
1964.08.23,23-Aug-64,1964,MEXICO,Guerrero,N,Floating on his back in an inner tube,2554
1964.08.22,22-Aug-64,1964,USA,Florida,N,Spearfishing / free diving,2553
1964.08.21,21-Aug-64,1964,USA,Florida,N,Swimming,2552
1964.08.08,08-Aug-64,1964,USA,Florida,N,Spearfishing using scuba,2551
1964.08.03,03-Aug-64,1964,JAPAN,Okayama Prefecture,N,Swimming,2550
1964.08.00,Aug-64,1964,PANAMA,San Blas,N,Free diving / Spearfishingat edge of reef,2549
1964.07.27,27-Jul-64,1964,USA,Puerto Rico,N,,2548
1964.07.16,16-Jul-64,1964,SOUTH AFRICA,KwaZulu-Natal,N,Searching for remains of  Dr. Marais,2547
1964.07.15,15-Jul-64,1964,USA,Connecticut,N,"Yacht Gooney Bird foundered, 4 survivors on raft",2546
1964.07.08.b,08-Jul-64,1964,SOUTH AFRICA,KwaZulu-Natal,Y,Spearfishing ,2545
1964.07.08.a,08-Jul-64,1964,USA,Florida,N,Tagging sharks,2544
1964.07.00.b,Jul-64,1964,PAPUA NEW GUINEA,New Ireland Province,Y,Standing / fishing,2543
1964.07.00.a,Jul-64,1964,PAPUA NEW GUINEA,New Ireland Province,N,canoeing,2542
1964.06.29.a,29-Jun-64,1964,BERMUDA,Hamilton,Y,Conducting a promotional film project for the Gemini space program (a practice astronaut recovery),2541
1964.06.28,28-Jun-64,1964,USA,New York,Y,Attempting to swim across the Atlantic Ocean,2540
1964.06.24,24-Jun-64,1964,USA,California,N,Fishing,2539
1964.06.17,17-Jun-64,1964,PAPUA NEW GUINEA,New Britain,N,Fishing,2538
1964.06.23,23-Jun-64,1964,FIJI,Lau Group,N,Spearfishing,2537
1964.06.02,02-Jun-64,1964,SOUTH AFRICA,KwaZulu-Natal,Y,Swimming,2536
1964.05.30,30-May-64,1964,PANAMA,Caribbean Coast,N,Standing,2535
1964.05.08,08-May-64,1964,FIJI,Vita Levu,Y,Spearfishing,2534
1964.05.00,May-64,1964,PANAMA,San Blas Islands,Y,Skin diving,2533
1964.04.07,07-Apr-64,1964,PAPUA NEW GUINEA,Madang Province,Y,Fishing,2532
1964.03.28.b,28-Mar-64,1964,AUSTRALIA,South Australia,N,Surfing,2531
1964.03.28.a,28-Mar-64,1964,PAPUA NEW GUINEA,Central Province,Y,"Canoe capsized with 10 occupants, 8 survived,  Hamilton swam off to seek help",2530
1964.03.05,05-Mar-64,1964,USA,Florida,N,Skin diving ,2529
1964.03.00,Mar-64,1964,SENEGAL,Cap Vert Peninsula,N,Free diving for shell,2528
1964.02.17.R,Reported 17-Feb-1964,1964,FIJI,,N,Fishing,2527
1964.02.14.b,14-Feb-64,1964,NEW CALEDONIA,,Y,Diving for trochus shell,2526
1964.02.14.a,14-Feb-64,1964,FIJI,Vanua Levu,Y,Spearfishing,2525
1964.02.11,11-Feb-64,1964,NEW ZEALAND,North Island,N,preparing to go skin diving,2524
1964.02.10,10-Feb-64,1964,NEW ZEALAND,North Island,N,Spearfishing,2523
1964.02.08,08-Feb-54,1964,SOUTH AFRICA,Western Cape Province,N,Body boarding,2522
1964.02.05.b,05-Feb-64,1964,NEW ZEALAND,North Island,N,Lying in 2 feet of water,2521
1964.02.05.a,05-Feb-64,1964,NEW ZEALAND,South Island,Y,Swimming,2520
1964.02.02,02-Feb-64,1964,AUSTRALIA,Queensland,Y,Swimming,2519
1964.02.01,01-Feb-64,1964,NEW ZEALAND,South Island,N,Rowing,2518
1964.02.00.b,Feb-64,1964,USA,Florida,N,Floating,2517
1964.02.00.a,Feb-64,1964,COSTA RICA,Puntarenas Province,Y,Swimming,2516
1964.01.27,27-Jan-64,1964,FIJI,,Y,Spearfishing,2515
1964.01.23,23-Jan-64,1964,SOUTH AFRICA,Eastern Cape Province,N,Body surfing,2514
1964.01.22,22-Jan-64,1964,SOUTH AFRICA,Eastern Cape Province,N,Standing,2513
1964.01.21,21-Jan-64,1964,SOUTH AFRICA,Western Cape Province,N,Shark watching,2512
1964.01.18,18-Jan-64,1964,AUSTRALIA,Western Australia,N,Freediving,2511
1964.01.11,11-Jan-64,1964,USA,California,N,Spearfishing / Scuba diving (at surface),2510
1964.01.06.R,Reported 06-Jan-1964,1964,PAPUA NEW GUINEA,New Britain,Y,Fishing,2509
1964.01.04,04-Jan-64,1964,FIJI,"Lomaloma, Lau",N,Swimming,2508
1964.01.01.b,01-Jan-64,1964,AUSTRALIA,Western Australia,UNKNOWN,,2507
1964.01.01.a,01-Jan-64,1964,SOUTH AFRICA,Western Cape Province,N,Diving for sinkers,2506
1964.01.00,Jan-64,1964,NEW ZEALAND,North Island,N,Snorkeling,2505
1963.12.29,29-Dec-63,1963,SOUTH AFRICA,KwaZulu-Natal,N,Standing,2504
1963.12.26.b,26-Dec-63,1963,SOUTH AFRICA,KwaZulu-Natal,N,Swimming ,2503
1963.12.26.a,26-Dec-63,1963,AUSTRALIA,Queensland,N,Sitting on gunwale of boat,2502
1963.12.25,25-Dec-63,1963,SOUTH AFRICA,Eastern Cape Province,Y,Swimming,2501
1963.12.22.b,22-Dec-63,1963,ATLANTIC OCEAN,Between Southampton & Canary Islands,N,"Greek steamship Lakonia caught fire, 98 of her 646 passengers, and 30 of her crew of 376 perished",2500
1963.12.22.a,22-Dec-63,1963,SOUTH AFRICA,KwaZulu-Natal,N,Helping friend land hooked shark,2499
1963.12.21,21-Dec-63,1963,AUSTRALIA,New South Wales,N,Fishing,2498
1963.12.20.b,20-Dec-63,1963,SOUTH AFRICA,Western Cape Province,N,Spearfishing,2497
1963.12.20.a,20-Dec-63,1963,SOUTH AFRICA,KwaZulu-Natal,Y,Splashing in surf,2496
1963.12.08,08-Dec-63,1963,AUSTRALIA,South Australia,N,Spearfishing,2495
1963.12.04.R,04-Dec-63,1963,NEW BRITAIN,"South Coast, East New Britain",Y,Spearfishing,2494
1963.11.30.b,30-Nov-63,1963,NEW ZEALAND,South Island,N,Treading water while alongside capsized yacht,2493
1963.11.30.a,30-Nov-63,1963,PAPUA NEW GUINEA,Gulf Province,N,Fishing / standing in waist deep water,2492
1963.11.28,28-Nov-63,1963,FIJI, Lau Province,N,Fishing,2491
1963.11.25,25-Nov-63,1963,FIJI,Vita Levu,N,Spearing fish,2490
1963.11.16.R,Reported 16-Nov-1963,1963,ITALY,Sicily,N,Spearfishing,2489
1963.11.14,14-Nov-63,1963,AUSTRALIA,Queensland,N,Catching sharks under government contract,2488
1963.11.12,12-Nov-63,1963,USA,Florida,N,Testing anti-shark cage,2487
1963.11.05.R,Reported 05-Nov-1963,1963,PAPUA NEW GUINEA,New Britain,N,Wading,2486
1963.11.04,04-Nov-63,1963,PALAU,Western Caroline Islands,N,Fishing,2485
1963.10.16,16-Oct-63,1963,USA,Florida,N,"Surf fishing, wading ",2484
1963.10.15,15-Oct-63,1963,NORTH PACIFIC OCEAN,,N,Fishing for sharks,2483
1963.09.29,29-Sep-63,1963,CHILE,,Y,Spearfishing / free diving,2482
1963.09.26,26-Sep-63,1963,USA,Florida,Y,"Commercial fishing vessel, Ev-nn, struck object & sank. Ken Crosby and  Jame & Ann Dumas adrift on makeshift raft.",2481
1963.09.22,22-Sep-63,1963,SOLOMON ISLANDS,Ysabel Island,Y,Spearing fish,2480
1963.09.13,13-Sep-63,1963,AUSTRALIA,New South Wales,N,Surfing,2479
1963.09.10,10-Sep-63,1963,USA,Florida,N,"Spearfishing, pulled sharks tail",2478
1963.08.00,Aug-63,1963,DOMINICAN REPUBLIC,Santo Domingo,Y,"Swimming, when caught in heavy seas",2477
1963.07.28,28-Jul-63,1963,FEDERATED STATES OF MICRONESIA,Eastern Caroline Islands,N,Spearfishing,2476
1963.07.15,15-Jul-63,1963,USA,Florida,N,Swimming,2475
1963.07.11,11-Jul-63,1963,USA,Mississippi,N,"Fishing, on charter boat Silver Dollar",2474
1963.07.10.R,Reported 10-Jul-1963,1963,JAMAICA,,Y,63' fishing boat Sno' Bay foundered,2473
