,Case Number,Date,Year,Type,Country,Area,Location,Activity,Injury,Fatal (Y/N),Time,pdf,href,original order
1104,2007.09.20,20-Sep-07,2007,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,Small lacerations to bottom of right big toe,N,18h20,2007.09.20-Robertson.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.09.20-Robertson.pdf,4889
1105,2007.09.17,17-Sep-07,2007,Unprovoked,SOLOMON ISLANDS,Marovo Lagoon,Kicha Island,Spearfishing,Left thigh bitten,N,Dusk,2007.09.17-Corey.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.09.17-Corey.pdf,4888
1106,2007.09.16.b,16-Sep-07,2007,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Wading?,Laceration to right heel,N,11h15,2007.09.16.b-Calogero.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.09.16.b-Calogero.pdf,4887
1107,2007.09.16.a,16-Sep-07,2007,Unprovoked,USA,Florida,"Flagler Beach, Flagler County",Surfing,"No injury, surfboard bitten",N,Early morning,2007.09.16.a-Riley.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.09.16.a-Riley.pdf,4886
1108,2007.09.13,13-Sep-07,2007,Unprovoked,USA,Florida,"Lauderdale-by-the-Sea, Broward County",Snorkeling,"Minor injury, shark latched onto his abdomen",N,16h00,2007.09.13-Chapman.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.09.13-Chapman.pdf,4885
1109,2007.09.08,08-Sep-07,2007,Unprovoked,USA,Florida,"Pepper Park Beach, St. Lucie County",Wading,Puncture wounds & 2-inch laceration to calf,N,11h45,2007.09.08-Griffin.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.09.08-Griffin.pdf,4884
1110,2007.09.05,05-Sep-07,2007,Unprovoked,USA,Florida,"Daytona Beach, Volusia County",Wading,Laceration to right big toe,N,13h42,2007.09.05-Wilson.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.09.05-Wilson.pdf,4883
1111,2007.09.04,04-Sep-07,2007,Unprovoked,USA,South Carolina,Sullivan's Island,Standing,Lacerations to left calf and both feet ,N,18h30,2007.09.04-Corr.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.09.04-Corr.pdf,4882
1112,2007.09.03.b,03-Sep-07,2007,Unprovoked,USA,Florida,"Daytona Beach, Volusia County",Jumping,Tiny punctures to arm,N,Morning,2007.09.03.b-Daytona.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.09.03.b-Daytona.pdf,4881
1113,2007.09.03.a,03-Sep-07,2007,Unprovoked,USA,Florida,"Fort Lauderdale, Broward County",Swimming,"3"" laceration to left forearm",N,09h45,2007.09.03.a-Iaciofano.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.09.03.a-Iaciofano.pdf,4880
1114,2007.08.28.b,28-Aug-07,2007,Unprovoked,USA,Hawaii,"Ka'a'awa, Oahu",Body boarding,Laceration to right heel,N,16h30,2007.08.28.b-Sumait.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.08.28.b-Sumait.pdf,4879
1115,2007.08.28.a,28-Aug-07,2007,Unprovoked,USA,California,"Marina State Beach, Monterey County",Surfing,Lacerations to thigh & torso,N,10h45,2007.08.28.a-Endris.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.08.28.a-Endris.pdf,4878
1116,2007.08.26,26-Aug-07,2007,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,Left hand  bitten,N,14h00,2007.08.26-Coursey.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.08.26-Coursey.pdf,4877
1117,2007.08.25,25-Aug-07,2007,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing, 6 lacerations to left hand,N,Morning,2007.08.25-Smith.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.08.25-Smith.pdf,4876
1118,2007.08.22,22-Aug-07,2007,Provoked,USA,North Carolina,North Carolina Aquarium at Fort Fisher,Diving,Minor injury from captive shark PROVOKED INCIDENT,N,Unknown,2007.08.22-Pennington.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.08.22-Pennington.pdf,4875
1119,2007.08.20,20-Aug-07,2007,Provoked,USA,Delaware,"Indian River Inlet, Rehoboth Beach",Fishing,Forearm bitten by hooked shark PROVOKED INCIDENT,N,19h45,2007.08.20-DelawareFisherman.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.08.20-DelawareFisherman.pdf,4874
1120,2007.08.19.c,19-Aug-07,2007,Unprovoked,USA,Florida,"Islamorada Founder's Park, Plantation Key, Monroe County",Swimming,Torso bitten,N,20h15,2007.08.19.c-Olstad.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.08.19.c-Olstad.pdf,4873
1121,2007.08.19.b,19-Aug-07,2007,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,Foot bitten,N,12h39,2007.08.19.b-NewSmyrnaBeach.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.08.19.b-NewSmyrnaBeach.pdf,4872
1122,2007.08.19.a.,19-Aug-07,2007,Unprovoked,USA,South Carolina,"Lakewood Campground, Grand Strand, Horry County",Playing,Right calf bitten,N,10h00,2007.08.19.a-boy.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.08.19.a-boy.pdf,4871
1123,2007.08.15,15-Aug-07,2007,Unprovoked,USA,Florida,Sarasota Bay,Floating near boat & observing bioluminesce,Puncture wounds to torso,N,Night,2007.08.15-Lynch.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.08.15-Lynch.pdf,4870
1124,2007.08.12,12-Aug-07,2007,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Swimming,"Minor injury, small lacerations to right foot",N,17h35,2007.08.12-girl-NewSmyrnaBeach.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.08.12-girl-NewSmyrnaBeach.pdf,4869
1125,2007.08.11,11-Aug-07,2007,Unprovoked,USA,Florida,"Ponce Inlet,  New Smyrna Beach, Volusia County",Walking out of the water after surfing,"Minor injury, lacerations to left ankle & foot ",N,18h00,2007.08.11-Barton.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.08.11-Barton.pdf,4868
1126,2007.08.09.b,09-Aug-07,2007,Unprovoked,USA,South Carolina,"Isle of Palms, Charleston County",Swimming,Lacerations to right foot,N,16h40,2007.08.09.b-NoahGreen.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.08.09.b-NoahGreen.pdf,4867
1127,2007.08.09.a,09-Aug-07,2007,Unprovoked,USA,South Carolina,"Isle of Palms, Charleston County",Boogie Boarding,Lacerations to lower leg & ankle,N,14h00,2007.08.09.a-ChaseCrawford.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.08.09.a-ChaseCrawford.pdf,4866
1128,2007.08.07,07-Aug-07,2007,Unprovoked,USA,Florida,"Islamorada, Monroe County",Jumped into the water,Lacerations to arm,N,Afternoon,2007.08.07-Silverman.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.08.07-Silverman.pdf,4865
1129,2007.07.29,29-Jul-07,2007,Unprovoked,USA,Florida,"Ponce Inlet, Volusia County",Surfing,Minor injury to shoulder,N,Afternoon,2007.07.29-JeffreyClark.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.07.29-JeffreyClark.pdf,4864
1130,2007.07.28,28-Jul-07,2007,Unprovoked,USA,California,"Imperial Beach, San Diego County",Surfing,"No injury, shark bit surfboard",N,23h00,2007.07.28-Springer.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.07.28-Springer.pdf,4863
1131,2007.07.22,22-Jul-07,2007,Unprovoked,USA,California,"Malibu, Los Angeles County",Surf paddling,"No injury, surfboard bumped by shark for 20 minutes",N,Unknown,2007.07.22-Calandra.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.07.22-Calandra.pdf,4862
1132,2007.07.21,21-Jul-07,2007,Boat,USA,California,"Bean Hollow State Beach, San Mateo County",Kayak Fishing,"No injury, kayak bitten",N,10h15,2007.07.21-DanPrather.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.07.21-DanPrather.pdf,4861
1133,2007.07.19.b,19-Jul-2007.b,2007,Unprovoked,USA,Hawaii,"Bellows Beach near Wailea Point, Oahu",Snorkeling,Left calf severely bitten,N,15h15,2007.07.19.b-Miller.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.07.19.b-Miller.pdf,4860
