,Case Number,Date,Year,Type,Country,Area,Location,Activity,Fatal (Y/N),Time,href formula,original order
719,2011.02.28.R,Reported 28-Feb-2011,2011,Provoked,AUSTRALIA,Queensland,Between ,Fishing,N,10h45,http://sharkattackfile.net/spreadsheets/pdf_directory/2011.02.28.R-Nyari.pdf,5274
720,2011.02.23,23-Feb-11,2011,Unprovoked,NEW CALEDONIA, Loyalty Islands,"Bay of Bweedro, Ouvéa",Spearfishing,N,Early afternoon,http://sharkattackfile.net/spreadsheets/pdf_directory/2011.02.23-Jean-Luc.pdf,5273
721,2011.02.19,18-Feb-11,2011,Unprovoked,REUNION,Saint Gilles ,Trois-Roches,Surfing,N,18h30,http://sharkattackfile.net/spreadsheets/pdf_directory/2011.02.19-Dargent.pdf,5272
722,2011.02.17,17-Feb-11,2011,Unprovoked,AUSTRALIA,South Australia,Off Perforated Island near Coffin Bay,Diving for abalone,Y,18h20,http://sharkattackfile.net/spreadsheets/pdf_directory/2011.02.17-Clarkson.pdf,5271
723,2011.02.13,13-Feb-11,2011,Provoked,AUSTRALIA,Queensland,Sunshine Beach,Fishing,N,10h40,http://sharkattackfile.net/spreadsheets/pdf_directory/2011.02.13-SunshineBeach-angler.pdf,5270
724,2011.02.12,12-Feb-11,2011,Unprovoked,AUSTRALIA,Western Australia,Exmouth,Snorkeling,N,Late afternoon,http://sharkattackfile.net/spreadsheets/pdf_directory/2011.02.12-Exmouth.pdf,5269
725,2011.02.04.R,Reported 04-Feb-2011,2011,Provoked,MEXICO,Colima,"Manzanillo, Revillagigedo Islands",Shark fishing on the Ricardo Astorga,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2011.02.04.R-Camacho.pdf,5268
726,2011.02.02,02-Feb-11,2011,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Sundays River Mouth, Port Elizabeth",Surf fishing,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2011.02.02-Jonk.pdf,5267
727,2011.01.31,31-Jan-11,2011,Unprovoked,MEXICO,Quintana Roo,Cancun,Swimming,N,12h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2011.01.31-Moore.pdf,5266
728,2011.01.28,28-Jan-11,2011,Provoked,MEXICO,Colima,Revillagigedo Islands,Shark fishing on the Don Agustín-VI. ,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2011.01.28-Camargo.pdf,5265
729,2011.01.26,26-Jan-11,2011,Unprovoked,BAHAMAS,West End,Tiger Beach,Scuba diving,N,15h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2011.01.26-Abernethy.pdf,5264
730,2011.01.20,20-Jan-11,2011,Invalid,AUSTRALIA,New South Wales,Cudgen Creek ,Swimming,N,17h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2011.01.20-Merlini.pdf,5263
731,2011.01.15,15-Jan-11,2011,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Second Beach, Port St. John's",Surfing,Y,12h30,http://sharkattackfile.net/spreadsheets/pdf_directory/2011.01.15-Ndamase.pdf,5262
732,2011.01.12.R,Reported 12-Jan 2011,2011,Unprovoked,MEXICO,Quintana Roo,Xcalak ,Attempting to fix motor,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2011.01.12.R-Infante.pdf,5261
733,2011.01.03,03-Jan-11,2011,Boat,AUSTRALIA,Western Australia,Busselton,Fishing,N,12h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2011.01.03-BusseltonBoat.pdf,5260
734,2010.12.26,26-Dec-10,2010,Unprovoked,USA,Hawaii," Kahului, Maui",Body boarding,N,15h35,http://sharkattackfile.net/spreadsheets/pdf_directory/2010.12.26-Stover-French.pdf,5259
735,2010.12.17,17-Dec-10,2010,Unprovoked,FIJI,Vitu Levu,Sigatoka,Surfing,N,AM,http://sharkattackfile.net/spreadsheets/pdf_directory/2010.12.17-Gracia.pdf,5258
736,2010.12.11,11-Dec-10,2010,Unprovoked,USA,Hawaii,"Tavares Bay, Maui",Surfing,N,13h51,http://sharkattackfile.net/spreadsheets/pdf_directory/2010.12.11-Wilson.pdf,5257
