,Case Number,Date,Year,Type,Country,Area,Location,Activity,Fatal (Y/N),Time,href formula,original order
637,2011.09.28.b,28-Sep-11,2011,Provoked,DOMINICAN REPUBLIC,Samaná Province,Playa Jackson ,Fishing,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2011.09.28.b-Sarante.pdf,5356
638,2011.09.28.a,28-Sep-11,2011,Unprovoked,SOUTH AFRICA,Western Cape Province,Clovely Beach,Swimming,N,12h25,http://sharkattackfile.net/spreadsheets/pdf_directory/2011.09.28.a-Cohen.pdf,5355
639,2011.09.24.b,24-Sep-11,2011,Unprovoked,USA,Florida,"Santa Maria Island, Manatee County",Spearfishing,N,15h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2011.09.24.b-Wickersham.pdf,5354
640,2011.09.24.a,24-Sep-11,2011,Unprovoked,USA,South Carolina,"North Myrtle Beach, Horry County",Jumping in the waves,N,10h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2011.09.24.a-O'Hara.pdf,5353
641,2011.09.20,20-Sep-11,2011,Boat,USA,Hawaii,Kauai,Canoeing,N,15h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2011.09.20-Bartlett.pdf,5352
642,2011.09.19,19-Sep-11,2011,Unprovoked,REUNION,Saint-Gilles,Boucan-Canot,Body boarding,Y,15h30,http://sharkattackfile.net/spreadsheets/pdf_directory/2011.09.19-Schiller.pdf,5351
643,2011.09.17,17-Sep-11,2011,Unprovoked,KENYA,Coast Province,"Mama Ngina Beach, Mombasa ",Swimming,Y,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2011.09.17-Kenya.pdf,5350
644,2011.09.16,16-Sep-11,2011,Unprovoked,USA,Florida,New Smyrna Beach,Surfing,N,11h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2011.09.16-Jorgensen.pdf,5349
645,2011.09.11.b,11-Sep-11,2011,Unprovoked,USA,California,"Samoa Beach, Humboldt County",Surfing,N,12h20,http://sharkattackfile.net/spreadsheets/pdf_directory/2011.09.11.b-Benji-Rose.pdf,5348
646,2011.09.11.a,11-Sep-11,2011,Unprovoked,PAPUA NEW GUINEA,Central Province,"Hula, near Port Moresby",Kite Surfing,N,Afternoon,http://sharkattackfile.net/spreadsheets/pdf_directory/2011.09.11.a-Viot.pdf,5347
647,2011.09.04.b,04-Sep-11,2011,Unprovoked,USA,Hawaii,"Nimitz State Beach, Oahu",Surfing,N,13h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2011.09.04.b-Felipe.pdf,5346
648,2011.09.04.a,04-Sep-11,2011,Unprovoked,AUSTRALIA,Western Australia, Bunker Bay,Body boarding,Y,13h26,http://sharkattackfile.net/spreadsheets/pdf_directory/2011.09.04.a-Burden.pdf,5345
649,2011.09.02,02-Sep-11,2011,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,N,11h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2011.09.02-True.pdf,5344
650,2011.08.31,31-Aug-11,2011,Unprovoked,USA,Florida,Crescent Beach St. Johns County,Surfing,N,11h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2011.08.31-Lancaster.pdf,5343
651,2011.08.28.b,28-Aug-11,2011,Invalid,AUSTRALIA,Queensland,Fantome Island,Swimming,Y,19h30,http://sharkattackfile.net/spreadsheets/pdf_directory/2011.08.28-Roosteer.pdf,5342
652,2011.08.28.a,28-Aug-11,2011,Unprovoked,USA,Texas,"Grass Island, Aransas County",Wade Fishing,N,19h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2011.08.28.a-Locklear.pdf,5341
653,2011.08.26,26-Aug-11,2011,Unprovoked,RUSSIA,Primorsky Krai,Slavyanka,"Standing, collecting sea stars",N,Morning,http://sharkattackfile.net/spreadsheets/pdf_directory/2011.08.26-Nechaev.pdf,5340
654,2011.08.24.b,24-Aug-11,2011,Unprovoked,USA,North Carolina,"Buxton Beach, Dare County",Surfing,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2011.08.24.b-Dinneen.pdf,5339
655,2011.08.24.a,24-Aug-11,2011,Unprovoked,USA,North Carolina,Holden Beach. Brunswick County,Unknown,N,15h30,http://sharkattackfile.net/spreadsheets/pdf_directory/2011.08.24.a-Holden.pdf,5338
656,2011.08.23,23-Aug-11,2011,Unprovoked,SOUTH AFRICA,Western Cape Province,"Lookout Beach, near the Keurbooms river mouth in Plettenberg Bay",Surfing,Y,09h11,http://sharkattackfile.net/spreadsheets/pdf_directory/2011.08.23-VanHeerden.pdf,5337
657,2011.08.18,18-Aug-11,2011,Unprovoked,RUSSIA,"Peter the Great Bay, Khasan, Primorsky Krai (Far East)",Zheltukhin Island,Swimming,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2011.08.18-Siderovich.pdf,5336
658,2011.08.17.c.,17-Aug-11,2011,Unprovoked,USA,North Carolina,"Kure Beach, New Hanover County",Wading,N,17h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2011.08.17.c-Aronian.pdf,5335
659,2011.08.17.b.,17-Aug-11,2011,Invalid,USA,North Carolina,"Wrightsville Beach, New Hanover County",Unknown,N,16h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2011.08.17.b-child.pdf,5334
660,2011.08.17.a,17-Aug-11,2011,Unprovoked,RUSSIA,"Telyakovsky Bay, Khasan,  Primorsky Krai (Far East)",Vityaz,Swimming,N,Evening,http://sharkattackfile.net/spreadsheets/pdf_directory/2011.08.17.a-Udovenko.pdf,5333
661,2011.08.16.c,16-Aug-11,2011,Unprovoked,FRENCH POLYNESIA,Society Islands,"Teahupoo, Tahiti",Surfing,N,15h30,http://sharkattackfile.net/spreadsheets/pdf_directory/2011.08.16.c-D'Esposito.pdf,5332
662,2011.08.16.b,16-Aug--2011,2011,Unprovoked,USA,Puerto Rico, Vieques,Floating ,N,Night,http://sharkattackfile.net/spreadsheets/pdf_directory/2011.08.16.b-Strunk.pdf,5331
663,2011.08.16.a,16-Aug-11,2011,Unprovoked,SEYCHELLES,Praslin,Anse Lazio ,Swimming or Snorkeling,Y,16h30,http://sharkattackfile.net/spreadsheets/pdf_directory/2011.08.16.a-Redmond.pdf,5330
664,2011.08.15,15-Aug-11,2011,Invalid,USA,South Carolina,"Myrtle Beach, Horry County",Playing in the surf,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2011.08.15-Varney.pdf,5329
665,2011.08.11,11-Aug--2011,2011,Unprovoked,USA,North Carolina,Beaufort Inlet,Swimming,N,14h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2011.08.11-DonnieWhite.pdf,5328
666,2011.08.01,01-Aug-11,2011,Unprovoked,SEYCHELLES,Praslin,Anse Lazio ,Diving,Y,15h30,http://sharkattackfile.net/spreadsheets/pdf_directory/2011.08.01-Virolle.pdf,5327
667,2011.07.31,31-Jul-11,2011,Invalid,BRAZIL,Pernambuco,Praia do Pina,Swimming,Y,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2011.07.31-GabrielAlves-dos-Santos.pdf,5326
668,2011.07.30,30-Jul-11,2011,Sea Disaster,PHILIPPINES,,,Sea disaster,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2011.07.30-Malabago.pdf,5325
669,2011.07.25,25-Jul-11,2011,Unprovoked,USA,New Jersey,"Egg Harbor, Atlantic County",Wade Fishing,N,Night,http://sharkattackfile.net/spreadsheets/pdf_directory/2011.07.25-Aubrey.pdf,5324
670,2011.07.22,22-Jul-11,2011,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Cintza Beach, East London",Surfing,N,10h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2011.07.22-Struwig.pdf,5323
671,2011.07.19,19-Jul-11,2011,Unprovoked,USA,North Carolina,"Ocracoke Island, Hyde County",Boogie Boarding,N,17h30,http://sharkattackfile.net/spreadsheets/pdf_directory/2011.07.19-Mangum.pdf,5322
672,2011.07.15,15-Jul-11,2011,Unprovoked,REUNION,Saint-Gilles,Brisants. ,Kayaking or Wave skiing,N,17h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2011.07.15-Reunion-kayaker.pdf,5321
673,2011.07.13.b,13-Jul-11,2011,Unprovoked,USA,Texas,"South Padre Island, Cameron County",Surf fishing,N,20h30,http://sharkattackfile.net/spreadsheets/pdf_directory/2011.07.13.b-Paez.pdf,5320
674,2011.07.13.a,13-Jul-11,2011,Unprovoked,BAHAMAS,Grand Bahama Island,Off Lucaya,Scuba diving,N,12h30,http://sharkattackfile.net/spreadsheets/pdf_directory/2011.07.13-diver-Bahamas.pdf,5319
675,2011.07.07.b,07-Jul-11,2011,Unprovoked,USA,Texas,"Sunday Beach, Matagorda Island, Calhoun  County",Swimming,N,17h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2011.07.07.b-Vossler.pdf,5318
676,2011.07.07.a,07-Jul-11,2011,Unprovoked,USA,Texas,"Mustang Island, Nueces County",Wade Fishing,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2011.07.07.a-Hamilton.pdf,5317
677,2011.07.06,06-Jul-11,2011,Unprovoked,REUNION,Saint-Gilles,Roches Noires,Surfing,N,14h50,http://sharkattackfile.net/spreadsheets/pdf_directory/2011.07.06-Arnaud.pdf,5316
678,2011.07.05,05-Jul-11,2011,Unprovoked,COLUMBIA,Sucre,"Libertad, San Onofre",Kayaking,N,10h30,http://sharkattackfile.net/spreadsheets/pdf_directory/2011.07.05-Vidal.pdf,5315
679,2011.06.30,30-Jun-11,2011,Unprovoked,TURKS & CAICOS,Middle Caicos,Mudjin Harbor,Snorkeling,N,13h30,http://sharkattackfile.net/spreadsheets/pdf_directory/2011.06.30-Cryonak.pdf,5314
680,2011.06.29,29-Jun-11,2011,Unprovoked,BRAZIL,Pernambuco,Praia do Pina,Surfing,N,10h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2011.06.29-Brazil.pdf,5313
681,2011.06.28,28-Jun-11,2011,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Aliwal Shoal,Scuba diving,N,12h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2011.06.28-Stanchi.pdf,5312
682,2011.06.26,26-Jun-08,2011,Unprovoked,USA,North Carolina,"North Topsail Beach, Onslow County",Playing in the surf,N,Afternoon,http://sharkattackfile.net/spreadsheets/pdf_directory/2011.06.26-Cartwright.pdf,5311
683,2011.06.24,24-Jun-11,2011,Unprovoked,USA,California,"San Onofre State Beach, San Diego County",Surfing,N,13h30,http://sharkattackfile.net/spreadsheets/pdf_directory/2011.06.24-Green.pdf,5310
684,2011.06.21,21-Jun-11,2011,Unprovoked,USA,Florida,"Perdido Key, Escambia County",Jet skiing,N,Afternoon,http://sharkattackfile.net/spreadsheets/pdf_directory/2011.06.21-McConnell.pdf,5309
685,2011.06.19.b,19-Jun-11,2011,Unprovoked,TURKS & CAICOS,Caicos Bank,French Cay,Spearfishing,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2011.06.19.b-Lewis.pdf,5308
686,2011.06.19.a,19-Jun-11,2011,Unprovoked,COSTA RICA,Guanacaste,Playa Grande,Surfing,Y,12h15,http://sharkattackfile.net/spreadsheets/pdf_directory/2011.06.19.a-Moraga.pdf,5307
687,2011.06.15,15-Jun-11,2011,Unprovoked,REUNION,Saint-Gilles-les-Bains,Boucan-Canot,Boogie Boarding,Y,17h30,http://sharkattackfile.net/spreadsheets/pdf_directory/2011.06.15-Auber.pdf,5306
688,2011.06.14.R,Reported 14-Jun-2011,2011,Boat,UNITED KINGDOM,Cornwall,St. Ives,Fishing,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2011.06.14.R-St.Ives.pdf,5305
689,2011.06.12,12-Jun-11,2011,Unprovoked,USA,Florida,"Off Jupiter Inlet, Palm Beach County",Scuba diving,N,14h30,http://sharkattackfile.net/spreadsheets/pdf_directory/2011.06.12-Webb.pdf,5304
690,2011.06.06.R,Reported 06-Jun-2011,2011,Unprovoked,COLUMBIA,San Andrés archipelago,Albuquerque Cay,Spearfishing,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2011.06.06.R-James.pdf,5303
691,2011.06.06.b,06-Jun-11,2011,Unprovoked,USA,California,"La Jolla, San Diego County",Spearfishing,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2011.06.06.b-Schlaefli.pdf,5302
692,2011.06.06.a,06-Jun-11,2011,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Wading,N,12h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2011.06.06.a-McIntosh.pdf,5301
693,2011.06.01,01-Jun-11,2011,Unprovoked,MALAYSIA,Kedah,Palau Payar,Snorkeling,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2011.06.01-Malaysia.pdf,5300
694,2011.05.30,30-May-11,2011,Unprovoked,USA,Texas,"Follett's Island, Brazoria County",Standing or boogie boardin,N,15h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2011.05.30-Robertson.pdf,5299
695,2011.05.29,29-May-11,2011,Unprovoked,SOUTH AFRICA,Western Cape Province,Robberg Beach,Surfing,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2011.05.29-Nelson.pdf,5298
696,2011.05.25,25-May-11,2011,Unprovoked,USA,Hawaii,"Lyman Beach, Kailua-Kona",Surfing,N,13h15,http://sharkattackfile.net/spreadsheets/pdf_directory/2011.05.25-Fernandez.pdf,5297
697,2011.05.22,22-May-11,2011,Unprovoked,USA,Hawaii,"Lyman Beach, Kailua-Kona",Paddle boarding,N,12h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2011.05.22-DeBina.pdf,5296
698,2011.05.21.a,21-May-11,2011,Unprovoked,NEW CALEDONIA,North Province,Kendec,Kite Boarding,Y,11h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2011.05.21.a-Nathan.pdf,5295
699,2011.05.21.b,21-May-11,2011,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Levan Point,Spearfishing,Y,Midday,http://sharkattackfile.net/spreadsheets/pdf_directory/2011.05.21.b-Smart.pdf,5294
700,2011.05.13.b,13-May-11,2011,Unprovoked,USA,Florida,"Ponte Vedra Beach, St Johns County",Body surfing,N,15h30,http://sharkattackfile.net/spreadsheets/pdf_directory/2011.05.13.b-Brown.pdf,5293
701,2011.05.13.a,13-May-11,2011,Unprovoked,USA,Florida,"Ormond Beach, Volusia County",Surfing,N,06h30,http://sharkattackfile.net/spreadsheets/pdf_directory/2011.05.13.a-Bronson.pdf,5292
702,2011.05.10,10-May-11,2011,Provoked,USA,Florida,Miami,Fishing ,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2011.05.10-Storch.pdf,5291
703,2011.05.07.R,Reported 07-May-2011,2011,Invalid,UNITED ARAB EMIRATES (UAE),Umm al Qaywayan Province,Khor Fakkan ,Fishing ,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2011.05.07.R-UAE.pdf,5290
704,2011.05.04,04-May-11,2011,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Palm Beach,Spearfishing,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2011.05.04-Burger.pdf,5289
705,2011.04.26,26-Apr-11,2011,Unprovoked,USA,Florida,"Riviera Beach, Palm Beach County",Spearfishing,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2011.04.26-Seagrich.pdf,5288
706,2011.04.23,23-Apr-11,2011,Unprovoked,AUSTRALIA,Western Australia,Red Bluffs,Washing sand off a speared fish,N,15h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2011.04.23-VanderVyver.pdf,5287
707,2011.04.22,22-Apr-11,2011,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing ,N,15h30,http://sharkattackfile.net/spreadsheets/pdf_directory/2011.04.22-RonWhite.pdf,5286
708,2011.04.16,16-Apr-11,2011,Unprovoked,NEW ZEALAND,South Island,Snapper Point,Surfing,N,Afternoon,http://sharkattackfile.net/spreadsheets/pdf_directory/2011.04.16-Hobson.pdf,5285
709,2011.04.12,13-Apr-11,2011,Unprovoked,INDONESIA,Bali,Balian,Surfing,N,Morning,http://sharkattackfile.net/spreadsheets/pdf_directory/2011.04.12-Ferrar.pdf,5284
710,2011.04.08,08-Apr-11,2011,Unprovoked,FIJI,Vitu Levu,"Malake Island, Ra Province",Diving,N,Afternoon,http://sharkattackfile.net/spreadsheets/pdf_directory/2011.04.08-Caucau.pdf,5283
711,2011.03.29.R,Reported 29-Mar-2011,2011,Provoked,USA,Texas,Matagorda Beach,"Standing, holding shark pup",N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2011.03.29.R-Orlando.pdf,5282
712,2011.03.24,24-Mar-11,2011,Unprovoked,MEXICO,Quintana Roo,"Gaviotas Beach, Cancun",Swimming,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2011.03.24-Taran.pdf,5281
713,2011.03.23,23-Mar-11,2011,Unprovoked,AUSTRALIA,New South Wales,Crowdy Head,Surfing,N,17h45,http://sharkattackfile.net/spreadsheets/pdf_directory/2011.03.23-Pearson.pdf,5280
714,2011.03.21.b,21-Mar-11,2011,Unprovoked,MEXICO,Quintana Roo,,Swimming,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2011.03.21.b-Masternak.pdf,5279
715,2011.03.21.a,21-Mar-11,2011,Unprovoked,FIJI,,Nukudamu ,Diving / fishing,N,16h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2011.03.21.a-Jeke.pdf,5278
716,2011.03.16,16-Mar-11,2011,Unprovoked,AUSTRALIA,New South Wales,"Jimmys Beach, Port Stephens",Wakeboarding,N,13h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2011.03.16-Mondy.pdf,5277
717,2011.03.10.R,Reported 10-Mar-2010,2011,Invalid,EGYPT,South Sinai Peninsula,Sharm-el-Sheikh,Unknown,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2011.03.10.R-Sharm-scavenging.pdf,5276
718,2011.03.10,10-Mar-11,2011,Unprovoked,AUSTRALIA,New South Wales,"Tallow Beach, Byron Bay",Surfing,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2011.03.10.a-Puri.pdf,5275
