Year,Type,Country,Area,Location,Activity,Sex,Fatal
2015,Unprovoked,USA,Florida,"Big Talbot Island, Duval County",Swimming,M,N
2015,Unprovoked,USA,Florida,"Jacksonville Beach, Duval County",Surfing,M,N
2015,Unprovoked,AUSTRALIA,New South Wales,North Shelly Beach,Surfing,M,N
2015,Unprovoked,USA,California,"El Pescador Beach, Los Angeles County",Boarding,F,N
2015,Provoked,USA,California,"Deer Creek Beach, Ventura County",Fishing,M,N
2015,Unprovoked,AUSTRALIA,New South Wales,Hallidays Point,Surfing,M,N
2015,Unprovoked,USA,South Carolina,"Myrtle Beach, Horry County",Unknown,M,N
2015,Unprovoked,THAILAND,Phuket,Karon Beach,Bathing,F,N
2015,Unprovoked,FIJI,Unknown,Unknown,Fishing,M,N
2015,Unprovoked,USA,California,"Morro Strand State Beach, San Luis Obispo County",Surfing,F,N
2015,Unprovoked,USA,California,"Morro Bay, San Luis Obispo County",Surfing,M,N
2015,Invalid,USA,Florida,"Cocoa Beach, Brevard  County",Unknown,M,N
2015,Unprovoked,AUSTRALIA,New South Wales,Lighthouse Beach,Surfing,M,N
2015,Unprovoked,USA,South Carolina,"Murrells Inlet, Georgetown County",Surfing,M,N
2015,Unprovoked,USA,Florida,"Jacksonville Beach, Duval County",Bathing,F,N
2015,Unprovoked,USA,California,Santa Barbara County,Fishing,M,N
2015,Invalid,SPAIN,Alicante,"Poniente Beach, Benidorm",Swimming,M,N
2015,Provoked,USA,California,Cortes Bank,Fishing,M,N
2015,Unprovoked,AUSTRALIA,New South Wales,Evans Head,Surfing,M,N
2015,Unprovoked,USA,Florida,"Daytona Beach, Volusia County",Surfing,M,N
2015,Invalid,USA,South Carolina,"Edisto Beach, Colleton County",Swimming,F,N
2015,Unprovoked,AUSTRALIA,Tasmania,"Lachan Island, Mercury Passage",Diving,M,Y
2015,Provoked,USA,California,"La Jolla, San Diego County",Fishing,M,N
2015,Unprovoked,AUSTRALIA,Victoria,Tyrendarra Beach near Portland,Surfing,M,N
2015,Unprovoked,REUNION,Unknown,St. Leu,Surfing,M,N
2015,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Jeffrey's Bay,Surfing,M,N
2015,Unprovoked,USA,California,"Huntington Beach, Orange County",Surfing,M,N
2015,Invalid,USA,California,"Huntington Beach, Orange County",Bathing,M,N
2015,Invalid,FRENCH POLYNESIA,Bora Bora,Unknown,Swimming,M,N
2015,Unprovoked,BAHAMAS,Grand Bahama Island,"Port Lucaya, Freeport",Fishing,F,N
2015,Unprovoked,USA,North Carolina,"Off Surf City, Pender County",Unknown,M,N
2015,Unprovoked,AUSTRALIA,New South Wales,Lennox Head,Surfing,M,N
2015,Unprovoked,AUSTRALIA,New South Wales,East Ballina,Boarding,M,N
2015,Unprovoked,USA,North Carolina,"Ocracoke, Lifeguard Beach, National Park Service, Hyde County",Swimming,M,N
2015,Unprovoked,AUSTRALIA,New South Wales,"Flat Rock, Yamba",Surfing,M,N
2015,Unprovoked,USA,South Carolina,"Isle of Palms County Park, Isle of Palms, Charleston County",Other,M,N
2015,Unprovoked,USA,North Carolina,"Rodanthe, Dare County",Swimming,M,N
2015,Unprovoked,SOUTH AFRICA,Western Cape Province,Buffels Bay near Knysna,Boarding,M,N
2015,Invalid,USA,Florida,"Jacksonville Beach, Duval County",Swimming,F,N
2015,Unprovoked,SOUTH AFRICA,Western Cape Province,"Lookout Beach, Plettenberg Bay",Surfing,M,N
2015,Unprovoked,USA,South Carolina,"South Beach, Hunting Island State Park, Beaufort County",Bathing,M,N
2015,Provoked,AUSTRALIA,Western Australia,Rottnest Island,Swimming,M,N
2015,Unprovoked,USA,North Carolina,"Avon, Hatteras Island, Outer Banks, Dare County",Surfing,M,N
2015,Unprovoked,USA,North Carolina,Surf City,Swimming,M,N
2015,Invalid,AUSTRALIA,Western Australia,Denmark,Surfing,F,N
2015,Unprovoked,USA,South Carolina,"St. Helena Island, Beaufort County",Bathing,M,N
2015,Unprovoked,PUERTO RICO,Unknown,Off Cabo Rojo,Fishing,M,N
2015,Unprovoked,USA,Florida,Daytona Beach Shores,Swimming,M,N
2015,Unprovoked,USA,North Carolina,"Oak Island, Brunswick County",Bathing,M,N
2015,Unprovoked,USA,North Carolina,"Oak Island, Brunswick County",Bathing,F,N
2015,Unprovoked,USA,California,Off San Diego,Unknown,F,N
2015,Unprovoked,USA,North Carolina,"Ocean Isle, Brunswick County",Boarding,F,N
2015,Unprovoked,USA,Florida,"Lori Wilson Park, Cocoa Beach, Brevard  County",Other,M,N
2015,Unprovoked,USA,Florida,Fort Lauderdale,Other,F,N
2015,Unprovoked,REUNION,Le Port,Folette,Surfing,M,N
2015,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Bathing,F,N
2015,Unprovoked,FRENCH POLYNESIA,Rangiroa,Avatoru Pass,Fishing,M,N
