,Year,Type,Country,Activity,Sex,Age,Injury,Fatal (Y/N),Time
4774,1931,Unprovoked,USA,Swimming ,F,20,Right thigh & calf lacerated,N,
4828,1929,Unprovoked,AUSTRALIA,Bathing or body surfing ,F,17,Superficial lacerations on right leg,N,
4854,1929,Unprovoked,NEW ZEALAND,Bathing,F,27,"One was bitten on the leg, the other on the arm",N,
4881,1928,Unprovoked,COSTA RICA,Swimming,F,27,Right leg severely lacerated. Surgically amputated,N,
4886,1928,Unprovoked,SOUTH AFRICA,,F,27,Leg lacerated,N,
4921,1926,Unprovoked,USA,Swimming,F,27,Right leg bitten thigh to heel,N,17h30
4922,1926,Unprovoked,AUSTRALIA,Swimming ,F,27,FATAL,Y,15h45
4927,1926,Unprovoked,SINGAPORE,Dived onto shark from floating stage,F,27,"FATAL, femoral artery severed ",Y,
4934,1925,Unprovoked,USA,Swimming,F,27,"Multiple lacerations on both thighs, right buttock and hip",N,
4943,1924,Unprovoked,MEXICO,The Ward liner Esperanza stranded during a gale & she leapt overboard to rescue her dog which had been swept overboard.,F,27,FATAL,Y,
4957,1924,Unprovoked,AUSTRALIA,Bathing in 5' of water,F,30,"Legs severely bitten, surgically amputated",N,19h00
4984,1922,Unprovoked,USA,Bathing,F,27,"FATAL, hip & thigh bitten with  tissue removed, including bone ",Y,
4992,1922,Unprovoked,USA,Floating,F,18,"FATAL, thigh bitten",Y,
4997,1922,Unprovoked,JAMAICA,Standing,F,14,"FATAL, right leg severed at thigh ",Y,
5025,1920,Unprovoked,SOUTH AFRICA,Floating face down,F,18,Abdomen bitten,N,17h30
5029,1920,Unprovoked,NEW ZEALAND,,F,27,"""Recovered""",N,
5040,1919,Unprovoked,NEW ZEALAND,Swimming,F,27,Leg bitten,N,Afternoon
5044,1919,Unprovoked,USA,Swimming,F,27,Leg severed,N,
5063,1916,Unprovoked,AUSTRALIA,Swimming 10 m from shore,F,27,Leg nipped by shark,N,08h58
5099,1914,Sea Disaster,SAMOA,Copra vessel with 19 on board was wrecked in a squall,F,27,Thigh bitten,N,
5102,1914,Unprovoked,CROATIA,Washing clothes,F,27,"No injury, shark grabbed clothes",N,
5108,1914,Provoked,USA,Fishing,F,27,PROVOKED INCIDENT Lacerations to right hand by hooked shark,N,Afternoon
5113,1914,Unprovoked,AUSTRALIA,Wading,F,27,Laceration to leg,N,
5114,1914,Unprovoked,SOUTH AFRICA,,F,27,No details,UNKNOWN,
5182,1909,Unprovoked,MEXICO,Bathing,F,27,FATAL,Y,
5188,1909,Sea Disaster,SOUTH AFRICA,Wreck of the 1308-ton Norwegian ship Auckland,F,27,FATAL,Y,
5198,1908,Unprovoked,CROATIA,Boating,F,27,"FATAL, lost a leg",Y,
5213,1907,Unprovoked,CROATIA,Swimming,F,27,FATAL,Y,
5214,1907,Unprovoked,CROATIA,Swimming,F,27,FATAL,Y,
5217,1907,Unprovoked,CROATIA,Swimming,F,27,FATAL,Y,
5358,1898,Unprovoked,JAMAICA,Trailing hand in the water,F,27,"Hand lacerated, 2 fingers severed",N,
5409,1894,Unprovoked,FIJI,Dangling feet in the water,F,27,Foot severed,N,
5411,1894,Unprovoked,USA,Swimming,F,27,No injury,UNKNOWN,
5418,1894,Unprovoked,BURMA,Bathing,F,27,FATAL,Y,
5419,1894,Unprovoked,BURMA,Bathing,F,27,FATAL ,Y,
5425,1893,Unprovoked,FIJI,Canoe swamped,F,27,FATAL,Y,
5435,1892,Unprovoked,AUSTRALIA,Swimming,F,27,Abrasions to left leg,N,
5529,1884,Provoked,FRANCE,,F,27,FATAL            Leg severed by harpooned shark PROVOKED INCIDENT,Y,02h00
5533,1884,Unprovoked,AUSTRALIA,Fell overboard,F,27,FATAL,Y,
5569,1880,Unprovoked,INDIA,Bathing in river,F,60,"Hands, forearm & left thigh lacerated, radial artery severed",N,
5574,1880,Unprovoked,AUSTRALIA,Bathing,F,13,Lacerations to leg,N,
5595,1878,Unprovoked,PHILIPPINES,,F,27,FATAL,Y,
5610,1877,Unprovoked,AUSTRALIA,Swimming,F,27,Ankle injured,N,
5698,1862,Unprovoked,SPAIN,Bathing,F,27,Survived,N,
5705,1862,Unprovoked,USA,,F,27,Ankle bitten,N,
5730,1855,Unprovoked,AUSTRALIA,Fell overboard from the Malacca,F,2,FATAL,Y,
5760,1849,Unprovoked,USA,Bathing,F,27,FATAL,Y,
5798,1834,Unprovoked,FRENCH POLYNESIA,Swimming,F,27,FATAL,Y,
5799,1832,Unprovoked,AUSTRALIA,Fishing,F,27,Leg severed,N,
5832,1800,Unprovoked,SEYCHELLES,a corsair's boat was overturned,F,27,"FATAL, all onboard were killed by sharks",Y,
5833,1791,Unprovoked,AUSTRALIA,,F,27,"FATAL, ""bitten in two""",Y,
