Year,Month,Type,Fatal,Sex,Country,Case Number,Decade
1959,11,Provoked,N,UNKNOWN,AUSTRALIA,1959.11.12.R,Años 50
1959,11,Unprovoked,N,M,USA,1959.11.10,Años 50
1959,11,Provoked,N,M,AUSTRALIA,1959.11.09,Años 50
1959,11,Provoked,N,M,PAPUA NEW GUINEA,1959.11.01,Años 50
1959,10,Unprovoked,Y,M,MOZAMBIQUE,1959.10.07,Años 50
1959,10,Unprovoked,N,M,USA,1959.10.04,Años 50
1959,7,Boat,N,UNKNOWN,USA,1959.07.23.b,Años 50
1959,5,Unprovoked,N,F,USA,1959.05.16,Años 50
1959,7,Sea Disaster,Y,UNKNOWN,CARIBBEAN SEA,1959.07.03.a & b,Años 50
1959,2,Unprovoked,N,M,SOUTH AFRICA,1959.02.01,Años 50
1959,1,Unprovoked,N,M,AUSTRALIA,1959.01.31,Años 50
1959,1,Unprovoked,N,M,ECUADOR,1959.01.27,Años 50
1959,1,Unprovoked,N,M,AUSTRALIA,1959.01.25,Años 50
1959,1,Unprovoked,Y,M,AUSTRALIA,1959.01.17.b,Años 50
1959,1,Unprovoked,N,M,AUSTRALIA,1959.01.17.a,Años 50
1959,1,Unprovoked,N,M,SOUTH AFRICA,1959.01.15,Años 50
1959,1,Unprovoked,N,M,NEW GUINEA,1959.01.12,Años 50
1959,1,Unprovoked,Y,M,MOZAMBIQUE,1959.01.02,Años 50
1959,1,Unprovoked,N,M,AUSTRALIA,1959.01.00,Años 50
1959,6,Unprovoked,Y,M,SOUTH KOREA,1959.00.00.g,Años 50
1959,6,Unprovoked,Y,UNKNOWN,INDIA,1959.00.00.f,Años 50
1959,6,Provoked,N,M,ATLANTIC OCEAN,1959.00.00.e,Años 50
1959,6,Unprovoked,N,M,PAPUA NEW GUINEA,1959.00.00.d,Años 50
1959,6,Unprovoked,N,M,PAPUA NEW GUINEA,1959.00.00.c,Años 50
1959,7,Provoked,N,M,USA,1959.07.23.a,Años 50
1959,6,Provoked,N,M,PAPUA NEW GUINEA,1959.00.00.a,Años 50
1959,2,Unprovoked,Y,M,SOLOMON ISLANDS,1959.02.02,Años 50
1959,2,Provoked,N,M,PAPUA NEW GUINEA,1959.02.06,Años 50
1959,6,Unprovoked,Y,M,PAPUA NEW GUINEA,1959.00.00.b,Años 50
1959,2,Boat,N,M,AUSTRALIA,1959.02.28,Años 50
1959,7,Provoked,N,M,USA,1959.07.02,Años 50
1959,2,Unprovoked,N,M,VENEZUELA,1959.02.27,Años 50
1959,7,Unprovoked,Y,M,MEXICO,1959.07.00.a,Años 50
1959,6,Unprovoked,N,M,TURKEY,1959.06.26.R,Años 50
1959,6,Unprovoked,Y,M,MEXICO,1959.06.14.b,Años 50
1959,6,Unprovoked,Y,M,USA,1959.06.14.a,Años 50
1959,5,Provoked,N,M,SOUTH AFRICA,1959.05.30,Años 50
1959,5,Unprovoked,Y,M,USA,1959.05.07,Años 50
1959,7,Boat,N,UNKNOWN,NORTH ATLANTIC OCEAN,1959.07.00.b,Años 50
1959,5,Unprovoked,N,M,MID ATLANTIC OCEAN,1959.05.00,Años 50
1959,4,Unprovoked,N,M,AUSTRALIA,1959.04.11,Años 50
1959,4,Unprovoked,N,M,USA,1959.04.09.b,Años 50
1959,4,Unprovoked,N,M,SOUTH AFRICA,1959.04.09..a,Años 50
1959,4,Unprovoked,N,M,AUSTRALIA,1959.04.05,Años 50
1959,3,Unprovoked,N,M,USA,1959.03.29,Años 50
1959,3,Boat,N,M,USA,1959.03.00,Años 50
1959,3,Unprovoked,Y,M,PHILIPPINES,1959.03.08,Años 50
1959,5,Unprovoked,N,M,USA,1959.05.03,Años 50
1960,8,Unprovoked,N,M,PAPUA NEW GUINEA,1960.08.22.R.,Años 50
1960,8,Unprovoked,N,M,USA,1960.08.22,Años 50
1960,8,Provoked,N,M,USA,1960.08.10,Años 50
1960,8,Provoked,N,M,ENGLAND,1960.08.04.b,Años 50
1960,8,Unprovoked,N,M,USA,1960.08.04.a,Años 50
1960,8,Unprovoked,Y,M,USA,1960.08.00,Años 50
1960,7,Unprovoked,N,M,PAPUA NEW GUINEA,1960.07.02.a,Años 50
1960,7,Unprovoked,N,M,USA,1960.07.05,Años 50
1960,7,Provoked,N,M,USA,1960.07.03,Años 50
1960,6,Provoked,N,M,USA,1960.06.29,Años 50
1960,6,Provoked,N,UNKNOWN,NEW ZEALAND,1960.06.27.b,Años 50
1960,6,Provoked,N,M,NORTH SEA,1960.06.27.a,Años 50
1960,6,Unprovoked,N,M,USA,1960.06.24,Años 50
1960,8,Unprovoked,N,M,USA,1960.08.24,Años 50
1960,6,Unprovoked,Y,M,PHILIPPINES,1960.06.05,Años 50
1960,12,Unprovoked,Y,M,USA,1960.12.27.b,Años 50
1960,8,Sea Disaster,Y,UNKNOWN,SENEGAL,1960.08.29,Años 50
1960,10,Sea Disaster,N,M,USA,1960.10.25,Años 50
1960,9,Boat,N,UNKNOWN,AUSTRALIA,1960.09.18,Años 50
1960,6,Unprovoked,N,M,USA,1960.06.04,Años 50
1960,12,Unprovoked,N,F,AUSTRALIA,1960.12.27.a.,Años 50
1960,12,Unprovoked,Y,M,SOUTH AFRICA,1960.12.24,Años 50
1960,12,Unprovoked,N,M,AUSTRALIA,1960.12.20,Años 50
1960,12,Unprovoked,N,M,AUSTRALIA,1960.12.01,Años 50
1960,11,Unprovoked,N,M,AUSTRALIA,1960.11.27,Años 50
1960,11,Provoked,N,M,AUSTRALIA,1960.11.11,Años 50
1960,11,Unprovoked,N,M,AUSTRALIA,1960.11.06,Años 50
1960,11,Boat,N,UNKNOWN,SOUTH AFRICA,1960.11.00.d,Años 50
1960,11,Provoked,N,M,NEW GUINEA,1960.11.00.c,Años 50
1960,11,Unprovoked,Y,M,PAPUA NEW GUINEA,1960.11.00.b,Años 50
1960,10,Boat,N,UNKNOWN,SOUTH AFRICA,1960.10.24,Años 50
1960,10,Unprovoked,N,M,PAPUA NEW GUINEA,1960.10.00.e,Años 50
1960,10,Sea Disaster,Y,M,RED SEA / INDIAN OCEAN,1960.10.00.d,Años 50
1960,10,Boat,N,UNKNOWN,SOUTH AFRICA,1960.10.00.b,Años 50
1960,9,Provoked,N,M,USA,1960.09.24,Años 50
1960,9,Sea Disaster,N,M,PACIFIC OCEAN,1960.09.22,Años 50
1960,8,Unprovoked,N,M,USA,1960.08.30,Años 50
1960,5,Unprovoked,N,M,PANAMA,1960.05.29,Años 50
1960,8,Unprovoked,N,M,USA,1960.08.21,Años 50
1960,5,Unprovoked,N,F,USA,1960.05.19,Años 50
1960,1,Unprovoked,N,M,PAPUA NEW GUINEA,1960.01.30,Años 50
1960,1,Sea Disaster,N,UNKNOWN,OTRO,1960.01.26,Años 50
1960,1,Boat,N,UNKNOWN,AUSTRALIA,1960.01.21,Años 50
1960,1,Unprovoked,Y,M,AUSTRALIA,1960.01.16,Años 50
1960,1,Provoked,N,M,AUSTRALIA,1960.01.13,Años 50
1960,1,Boat,N,UNKNOWN,AUSTRALIA,1960.01.07,Años 50
1960,1,Provoked,N,F,SOUTH AFRICA,1960.01.01,Años 50
1960,6,Unprovoked,N,M,NICARAGUA,1960.00.00.j,Años 50
1960,6,Unprovoked,N,M,GRENADA,1960.00.00.i,Años 50
1960,6,Unprovoked,N,M,SRI LANKA,1960.00.00.g,Años 50
1960,6,Unprovoked,N,M,SRI LANKA,1960.00.00.f,Años 50
1960,6,Unprovoked,N,M,FIJI,1960.00.00.e,Años 50
1960,6,Unprovoked,Y,M,PAPUA NEW GUINEA,1960.00.00.d,Años 50
1960,6,Unprovoked,N,M,PAPUA NEW GUINEA,1960.00.00.c,Años 50
1960,6,Unprovoked,Y,F,MOZAMBIQUE,1960.00.00.b,Años 50
1960,6,Unprovoked,N,F,SOUTH AFRICA,1960.00.00.a,Años 50
1960,5,Unprovoked,N,M,BERMUDA,1960.05.24,Años 50
1960,2,Provoked,N,M,AUSTRALIA,1960.02.07,Años 50
1960,2,Provoked,N,UNKNOWN,AUSTRALIA,1960.02.10.,Años 50
1960,7,Unprovoked,N,M,PAPUA NEW GUINEA,1960.07.27,Años 50
1960,2,Provoked,N,M,SENEGAL,1960.02.24,Años 50
1960,5,Provoked,N,UNKNOWN,USA,1960.05.16,Años 50
1960,2,Unprovoked,Y,M,PAPUA NEW GUINEA,1960.02.19,Años 50
1960,4,Unprovoked,N,M,SOUTH AFRICA,1960.04.30,Años 50
1960,4,Unprovoked,N,M,USA,1960.04.24,Años 50
1960,4,Provoked,N,M,AUSTRALIA,1960.04.22,Años 50
1960,4,Provoked,N,M,SOUTH AFRICA,1960.04.20.R,Años 50
1960,4,Unprovoked,N,M,AUSTRALIA,1960.04.12,Años 50
1960,4,Provoked,N,M,AUSTRALIA,1960.04.10,Años 50
1960,4,Unprovoked,N,M,AUSTRALIA,1960.04.03.b,Años 50
1960,5,Unprovoked,Y,UNKNOWN,PAPUA NEW GUINEA,1960.05.01,Años 50
1960,4,Provoked,N,UNKNOWN,AUSTRALIA,1960.04.01,Años 50
1960,4,Unprovoked,Y,F,FIJI,1960.04.00.c,Años 50
1960,4,Provoked,Y,M,PHILIPPINES,1960.04.00.b,Años 50
1960,4,Boat,N,UNKNOWN,SOUTH AFRICA,1960.04.00.a,Años 50
1960,3,Unprovoked,N,M,USA,1960.03.31,Años 50
1960,3,Unprovoked,N,M,GUAM,1960.03.28,Años 50
1960,2,Unprovoked,N,M,AUSTRALIA,1960.02.29,Años 50
1960,4,Unprovoked,N,M,AUSTRALIA,1960.04.03.a,Años 50
1960,2,Unprovoked,N,M,NEW ZEALAND,1960.02.27.b,Años 50
1961,8,Unprovoked,N,M,USA,1961.08.02,Años 60
1961,8,Provoked,N,M,PAPUA NEW GUINEA,1961.08.01,Años 60
1961,7,Provoked,N,M,USA,1961.07.29,Años 60
1961,7,Provoked,N,UNKNOWN,AUSTRALIA,1961.07.07.b,Años 60
1961,7,Unprovoked,N,M,ITALY,1961.07.00.b,Años 60
1961,7,Provoked,Y,M,PANAMA,1961.07.00.a,Años 60
1961,6,Unprovoked,Y,M,USA,1961.06.24,Años 60
1961,6,Unprovoked,N,M,NEW BRITAIN,1961.06.02,Años 60
1961,6,Boat,N,M,USA,1961.06.06.R,Años 60
1961,6,Provoked,N,M,PAPUA NEW GUINEA,1961.06.01,Años 60
1961,5,Unprovoked,N,M,USA,1961.05.21,Años 60
1961,5,Unprovoked,N,M,NEW BRITAIN,1961.05.17,Años 60
1961,5,Unprovoked,N,M,USA,1961.05.15,Años 60
1961,8,Unprovoked,N,M,BERMUDA,1961.08.04,Años 60
1961,6,Unprovoked,N,M,USA,1961.06.18,Años 60
1961,8,Unprovoked,N,M,USA,1961.08.16,Años 60
1961,10,Unprovoked,N,M,PHILIPPINES,1961.10.27,Años 60
1961,9,Provoked,N,M,ITALY,1961.09.02.R,Años 60
1961,12,Unprovoked,Y,F,AUSTRALIA,1961.12.28.c,Años 60
1961,12,Unprovoked,N,M,AUSTRALIA,1961.12.28.b,Años 60
1961,12,Unprovoked,N,M,SOUTH AFRICA,1961.12.28.a,Años 60
1961,12,Provoked,N,M,AUSTRALIA,1961.12.27,Años 60
1961,12,Boat,N,UNKNOWN,AUSTRALIA,1961.12.19,Años 60
1961,12,Unprovoked,N,M,MOZAMBIQUE,1961.12.18.b,Años 60
1961,12,Unprovoked,Y,M,AUSTRALIA,1961.12.18.a,Años 60
1961,5,Provoked,N,M,AUSTRALIA,1961.05.07,Años 60
1961,10,Boat,N,M,VANUATU,1961.10.00.b,Años 60
1961,10,Unprovoked,Y,M,USA,1961.10.00.a,Años 60
1961,9,Provoked,N,M,USA,1961.09.26,Años 60
1961,9,Unprovoked,Y,M,CROATIA,1961.09.24.b,Años 60
1961,9,Provoked,N,M,TANZANIA,1961.09.24.a,Años 60
1961,9,Unprovoked,N,M,MID ATLANTIC OCEAN,1961.09.23,Años 60
1961,9,Unprovoked,N,M,PERSIAN GULF,1961.09.07,Años 60
1961,8,Unprovoked,N,M,USA,1961.08.20,Años 60
1961,4,Provoked,N,M,AUSTRALIA,1961.04.25,Años 60
1961,12,Unprovoked,N,M,AUSTRALIA,1961.12.13,Años 60
1961,4,Provoked,N,M,SOUTH AFRICA,1961.04.17,Años 60
1961,2,Unprovoked,N,M,AUSTRALIA,1961.02.01.a,Años 60
1961,1,Boat,N,UNKNOWN,SOUTH AFRICA,1961.01.25,Años 60
1961,1,Unprovoked,N,M,SOUTH AFRICA,1961.01.22,Años 60
1961,1,Provoked,N,M,AUSTRALIA,1961.01.15,Años 60
1961,1,Unprovoked,N,M,SOUTH AFRICA,1961.01.06.c,Años 60
1961,1,Sea Disaster,Y,UNKNOWN,ATLANTIC OCEAN,1961.01.06.b,Años 60
1961,1,Unprovoked,N,M,MOZAMBIQUE,1961.01.05,Años 60
1961,1,Unprovoked,N,M,SOUTH AFRICA,1961.01.03.b,Años 60
1961,1,Boat,N,UNKNOWN,AUSTRALIA,1961.01.02.R,Años 60
1961,6,Boat,N,UNKNOWN,AUSTRALIA,1961.00.00.e,Años 60
1961,1,Unprovoked,N,M,COLUMBIA,1961.01.01,Años 60
1961,6,Unprovoked,N,UNKNOWN,NEW CALEDONIA,1961.00.00.d,Años 60
1961,6,Unprovoked,Y,M,SENEGAL,1961.00.00.b,Años 60
1961,6,Sea Disaster,Y,UNKNOWN,USA,1961.00.00.a,Años 60
1961,4,Unprovoked,N,M,MOZAMBIQUE,1961.04.21,Años 60
1961,2,Unprovoked,Y,M,SOUTH AFRICA,1961.02.01.b,Años 60
1961,2,Unprovoked,N,M,SOUTH AFRICA,1961.02.12,Años 60
1961,1,Provoked,N,M,AUSTRALIA,1961.01.06.a,Años 60
1961,2,Unprovoked,N,F,AUSTRALIA,1961.02.17.a,Años 60
1961,2,Unprovoked,Y,M,JAMAICA,1961.02.16,Años 60
1961,4,Provoked,N,M,AUSTRALIA,1961.04.16.a,Años 60
1961,4,Unprovoked,N,M,AUSTRALIA,1961.04.14,Años 60
1961,4,Unprovoked,Y,M,MOZAMBIQUE,1961.04.09,Años 60
1961,4,Unprovoked,N,M,USA,1961.04.16.b,Años 60
1961,4,Unprovoked,N,M,AUSTRALIA,1961.04.03,Años 60
1961,4,Provoked,N,M,AUSTRALIA,1961.04.00,Años 60
1961,3,Unprovoked,N,M,AUSTRALIA,1961.03.30,Años 60
1961,4,Sea Disaster,Y,UNKNOWN,PERSIAN GULF,1961.04.08,Años 60
1961,3,Provoked,N,F,AUSTRALIA,1961.03.14,Años 60
1961,3,Unprovoked,N,M,AUSTRALIA,1961.03.12,Años 60
1961,3,Unprovoked,N,M,NORTH PACIFIC OCEAN,1961.03.09,Años 60
1961,3,Provoked,N,M,SOUTH AFRICA,1961.03.07,Años 60
1961,3,Unprovoked,N,M,FIJI,1961.03.00,Años 60
1961,2,Provoked,N,M,USA,1961.02.17.b,Años 60
1961,3,Unprovoked,N,M,AUSTRALIA,1961.03.18,Años 60
1962,8,Boat,N,UNKNOWN,SOUTH AFRICA,1962.08.23,Años 60
1962,8,Unprovoked,Y,M,USA,1962.08.19,Años 60
1962,8,Unprovoked,N,M,USA,1962.08.12,Años 60
1962,8,Unprovoked,Y,M,PAPUA NEW GUINEA,1962.08.01,Años 60
1962,8,Unprovoked,N,M,ITALY,1962.08.00.b,Años 60
1962,8,Unprovoked,N,M,SENEGAL,1962.08.00.a,Años 60
1962,7,Unprovoked,N,M,USA,1962.07.28,Años 60
1962,7,Provoked,N,M,MADAGASCAR,1962.07.20,Años 60
1962,6,Unprovoked,Y,M,USA,1962.06.11.b,Años 60
1962,7,Unprovoked,N,M,USA,1962.07.10,Años 60
1962,7,Unprovoked,N,M,USA,1962.07.07,Años 60
1962,6,Boat,N,UNKNOWN,SOUTH AFRICA,1962.06.21,Años 60
1962,6,Unprovoked,N,M,USA,1962.06.17,Años 60
1962,6,Unprovoked,N,M,USA,1962.06.11.b,Años 60
1962,6,Unprovoked,Y,M,USA,1962.06.11.a,Años 60
1962,8,Boat,N,UNKNOWN,USA,1962.08.26,Años 60
1962,7,Provoked,N,M,USA,1962.07.19,Años 60
1962,8,Provoked,N,M,USA,1962.08.29,Años 60
1962,12,Boat,N,UNKNOWN,SOUTH AFRICA,1962.12.00,Años 60
1962,12,Provoked,N,M,SOUTH AFRICA,1962.12.30,Años 60
1962,12,Unprovoked,Y,M,AUSTRALIA,1962.12.09,Años 60
1962,6,Unprovoked,Y,M,PAPUA NEW GUINEA,1962.06.10.b,Años 60
1962,11,Unprovoked,N,M,AUSTRALIA,1962.11.29,Años 60
1962,11,Unprovoked,N,M,USA,1962.11.11,Años 60
1962,11,Boat,N,UNKNOWN,AUSTRALIA,1962.11.10,Años 60
1962,11,Sea Disaster,N,M,MID ATLANTIC OCEAN,1962.11.00,Años 60
1962,10,Unprovoked,N,M,SOUTH AFRICA,1962.10.28,Años 60
1962,10,Unprovoked,Y,M,MEXICO,1962.10.25,Años 60
1962,10,Unprovoked,N,M,ADMIRALTY ISLANDS,1962.10.15,Años 60
1962,10,Boat,N,M,AUSTRALIA,1962.10.14,Años 60
1962,10,Unprovoked,Y,M,PANAMA,1962.10.00,Años 60
1962,9,Unprovoked,N,M,BRITISH WEST INDIES,1962.09.30,Años 60
1962,9,Unprovoked,N,M,MEXICO,1962.09.22,Años 60
1962,9,Unprovoked,Y,M,SOUTH ATLANTIC OCEAN,1962.09.13,Años 60
1962,9,Unprovoked,Y,M,ITALY,1962.09.02,Años 60
1962,8,Provoked,UNKNOWN,M,ISRAEL,1962.08.31.R,Años 60
1962,8,Provoked,N,M,PAPUA NEW GUINEA,1962.08.30.a,Años 60
1962,6,Unprovoked,N,M,USA,1962.06.10.a,Años 60
1962,3,Provoked,N,M,NEW ZEALAND,1962.03.25.b,Años 60
1962,6,Provoked,N,M,USA,1962.06.04,Años 60
1962,1,Provoked,N,UNKNOWN,NEW ZEALAND,1962.01.16,Años 60
1962,1,Unprovoked,N,M,NEW ZEALAND,1962.01.15,Años 60
1962,1,Unprovoked,N,M,USA,1962.01.14.c,Años 60
1962,1,Provoked,N,UNKNOWN,AUSTRALIA,1962.01.14.b,Años 60
1962,1,Unprovoked,N,M,AUSTRALIA,1962.01.14.a,Años 60
1962,6,Boat,N,UNKNOWN,AUSTRALIA,1962.06.07,Años 60
1962,1,Unprovoked,N,M,PAPUA NEW GUINEA,1962.01.11.b,Años 60
1962,1,Provoked,N,M,AUSTRALIA,1962.01.21,Años 60
1962,1,Unprovoked,N,F,NEW ZEALAND,1962.01.11.a,Años 60
1962,1,Provoked,N,UNKNOWN,AUSTRALIA,1962.01.07.b,Años 60
1962,1,Unprovoked,N,UNKNOWN,AUSTRALIA,1962.01.07.a,Años 60
1962,1,Boat,N,UNKNOWN,SOUTH AFRICA,1962.01.06,Años 60
1962,1,Provoked,N,UNKNOWN,AUSTRALIA,1962.01.02,Años 60
1962,1,Unprovoked,N,M,MARSHALL ISLANDS,1962.01.01,Años 60
1962,6,Unprovoked,Y,UNKNOWN,INDONESIA,1962.00.00.b,Años 60
1962,6,Unprovoked,N,M,AUSTRALIA,1962.00.00.a,Años 60
1962,1,Boat,N,UNKNOWN,AUSTRALIA,1962.01.10,Años 60
1962,1,Unprovoked,UNKNOWN,M,MOZAMBIQUE,1962.01.26,Años 60
1962,1,Boat,N,UNKNOWN,AUSTRALIA,1962.01.11.c,Años 60
1962,2,Unprovoked,Y,M,SOLOMON ISLANDS,1962.02.00,Años 60
1962,6,Unprovoked,N,M,USA,1962.06.03,Años 60
1962,1,Unprovoked,N,M,NEW ZEALAND,1962.01.27,Años 60
1962,5,Sea Disaster,Y,UNKNOWN,USA,1962.05.12,Años 60
1962,5,Boat,N,UNKNOWN,FIJI,1962.05.00.R,Años 60
1962,4,Provoked,N,UNKNOWN,AUSTRALIA,1962.04.20,Años 60
1962,4,Unprovoked,N,M,MOZAMBIQUE,1962.04.09,Años 60
1962,4,Unprovoked,N,M,SOUTH AFRICA,1962.04.07,Años 60
1962,4,Provoked,N,UNKNOWN,SOUTH AFRICA,1962.04.05,Años 60
1962,5,Unprovoked,N,M,USA,1962.05.29,Años 60
1962,3,Unprovoked,Y,M,PAPUA NEW GUINEA,1962.03.24,Años 60
1962,3,Boat,N,UNKNOWN,AUSTRALIA,1962.03.25.a,Años 60
1962,2,Boat,UNKNOWN,UNKNOWN,NEW ZEALAND,1962.02.02,Años 60
1962,2,Unprovoked,N,M,AUSTRALIA,1962.02.04,Años 60
1962,2,Unprovoked,Y,M,SOUTH AFRICA,1962.02.05,Años 60
1962,6,Unprovoked,N,F,SPAIN,1962.00.00.c,Años 60
1962,2,Unprovoked,N,M,AUSTRALIA,1962.02.15,Años 60
1962,2,Provoked,N,M,NEW ZEALAND,1962.02.18,Años 60
1962,2,Unprovoked,N,M,PAPUA NEW GUINEA,1962.02.23,Años 60
1962,2,Unprovoked,Y,M,SOUTH AFRICA,1962.02.07,Años 60
1963,3,Sea Disaster,Y,M,SOLOMON ISLANDS,1963.03.30,Años 60
1963,2,Unprovoked,N,M,PAPUA NEW GUINEA,1963.02.27,Años 60
1963,2,Unprovoked,N,M,AUSTRALIA,1963.02.24,Años 60
1963,2,Unprovoked,N,M,FIJI,1963.02.08,Años 60
1963,2,Unprovoked,N,M,MAURITIUS,1963.02.06,Años 60
1963,1,Unprovoked,N,M,FIJI,1963.01.30,Años 60
1963,1,Unprovoked,Y,F,AUSTRALIA,1963.01.28,Años 60
1963,1,Provoked,N,M,SOUTH AFRICA,1963.01.12,Años 60
1963,1,Provoked,N,UNKNOWN,NEW ZEALAND,1963.01.14,Años 60
1963,1,Unprovoked,N,M,SOUTH AFRICA,1963.01.11,Años 60
1963,1,Unprovoked,N,M,SOUTH AFRICA,1963.01.06,Años 60
1963,1,Boat,N,UNKNOWN,MOZAMBIQUE,1963.01.00,Años 60
1963,6,Unprovoked,UNKNOWN,UNKNOWN,FIJI,1963.00.00.b,Años 60
1963,6,Unprovoked,Y,M,SEYCHELLES,1963.00.00.a,Años 60
1963,1,Boat,N,UNKNOWN,SOUTH AFRICA,1963.01.22,Años 60
1963,1,Provoked,N,UNKNOWN,AUSTRALIA,1963.01.04,Años 60
1963,4,Unprovoked,N,M,USA,1963.04.12,Años 60
1963,4,Unprovoked,N,M,SOUTH AFRICA,1963.04.17,Años 60
1963,11,Provoked,N,M,AUSTRALIA,1963.11.14,Años 60
1963,11,Unprovoked,N,M,ITALY,1963.11.16.R,Años 60
1963,11,Unprovoked,N,M,FIJI,1963.11.25,Años 60
1963,11,Unprovoked,N,F,FIJI,1963.11.28,Años 60
1963,11,Provoked,N,F,PAPUA NEW GUINEA,1963.11.30.a,Años 60
1963,11,Unprovoked,N,M,NEW ZEALAND,1963.11.30.b,Años 60
1963,12,Unprovoked,Y,M,NEW BRITAIN,1963.12.04.R,Años 60
1963,11,Provoked,N,M,USA,1963.11.12,Años 60
1963,12,Unprovoked,N,M,AUSTRALIA,1963.12.08,Años 60
1963,12,Unprovoked,N,M,SOUTH AFRICA,1963.12.20.b,Años 60
1963,12,Provoked,N,M,AUSTRALIA,1963.12.21,Años 60
1963,12,Unprovoked,Y,M,SOUTH AFRICA,1963.12.25,Años 60
1963,12,Unprovoked,N,M,AUSTRALIA,1963.12.26.a,Años 60
1963,12,Unprovoked,N,M,SOUTH AFRICA,1963.12.26.b,Años 60
1963,12,Unprovoked,N,F,SOUTH AFRICA,1963.12.29,Años 60
1963,4,Unprovoked,N,M,AUSTRALIA,1963.04.13,Años 60
1963,12,Unprovoked,Y,M,SOUTH AFRICA,1963.12.20.a,Años 60
1963,11,Unprovoked,N,M,PAPUA NEW GUINEA,1963.11.05.R,Años 60
1963,12,Provoked,N,M,SOUTH AFRICA,1963.12.22.a,Años 60
1963,10,Unprovoked,N,M,USA,1963.10.16,Años 60
1963,11,Unprovoked,N,M,PALAU,1963.11.04,Años 60
1963,4,Unprovoked,Y,M,USA,1963.04.20,Años 60
1963,4,Provoked,N,M,AUSTRALIA,1963.04.22,Años 60
1963,6,Provoked,N,M,PAPUA NEW GUINEA,1963.06.01.a,Años 60
1963,6,Unprovoked,Y,F,GREECE,1963.06.01.b,Años 60
1963,7,Unprovoked,Y,M,PANAMA,1963.07.00,Años 60
1963,7,Sea Disaster,Y,UNKNOWN,JAMAICA,1963.07.10.R,Años 60
1963,7,Provoked,N,M,USA,1963.07.11,Años 60
1963,5,Sea Disaster,Y,UNKNOWN,PHILIPPINES,1963.05.14,Años 60
1963,7,Unprovoked,N,M,FEDERATED STATES OF MICRONESIA,1963.07.28,Años 60
1963,8,Unprovoked,Y,M,DOMINICAN REPUBLIC,1963.08.00,Años 60
1963,9,Provoked,N,M,USA,1963.09.10,Años 60
1963,9,Provoked,N,M,AUSTRALIA,1963.09.13,Años 60
1963,9,Unprovoked,Y,M,SOLOMON ISLANDS,1963.09.22,Años 60
1963,9,Unprovoked,Y,M,CHILE,1963.09.29,Años 60
1963,7,Unprovoked,N,M,USA,1963.07.15,Años 60
1963,10,Provoked,N,M,NORTH PACIFIC OCEAN,1963.10.15,Años 60
1964,8,Unprovoked,N,M,USA,1964.08.21,Años 60
1964,8,Unprovoked,N,M,USA,1964.08.08,Años 60
1964,8,Unprovoked,N,M,JAPAN,1964.08.03,Años 60
1964,8,Unprovoked,N,M,PANAMA,1964.08.00,Años 60
1964,7,Provoked,N,M,USA,1964.07.27,Años 60
1964,7,Unprovoked,Y,M,PAPUA NEW GUINEA,1964.07.00.b,Años 60
1964,7,Provoked,N,M,USA,1964.07.08.a,Años 60
1964,7,Boat,N,UNKNOWN,PAPUA NEW GUINEA,1964.07.00.a,Años 60
1964,6,Sea Disaster,Y,UNKNOWN,BERMUDA,1964.06.29.a,Años 60
1964,8,Unprovoked,N,M,MEXICO,1964.08.23,Años 60
1964,6,Boat,N,UNKNOWN,USA,1964.06.24,Años 60
1964,7,Unprovoked,N,M,SOUTH AFRICA,1964.07.16,Años 60
1964,8,Unprovoked,N,M,USA,1964.08.26,Años 60
1964,12,Unprovoked,Y,M,KENYA,1964.12.06,Años 60
1964,9,Unprovoked,Y,M,TAIWAN,1964.09.20,Años 60
1964,10,Unprovoked,N,M,AUSTRALIA,1964.10.04,Años 60
1964,10,Provoked,N,M,SOUTH AFRICA,1964.10.31,Años 60
1964,11,Boat,N,UNKNOWN,USA,1964.11.05,Años 60
1964,11,Provoked,N,M,AUSTRALIA,1964.11.13,Años 60
1964,11,Unprovoked,Y,M,AUSTRALIA,1964.11.18,Años 60
1964,11,Unprovoked,N,M,AUSTRALIA,1964.11.29,Años 60
1964,12,Unprovoked,N,M,PAPUA NEW GUINEA,1964.12.09,Años 60
1964,12,Boat,N,UNKNOWN,AUSTRALIA,1964.12.10.a,Años 60
1964,12,Unprovoked,N,M,PAPUA NEW GUINEA,1964.12.10.b,Años 60
1964,12,Unprovoked,N,M,SOUTH AFRICA,1964.12.25,Años 60
1964,6,Boat,N,M,PAPUA NEW GUINEA,1964.06.17,Años 60
1964,9,Unprovoked,N,M,TAIWAN,1964.09.07,Años 60
1964,6,Unprovoked,N,M,FIJI,1964.06.23,Años 60
1964,2,Provoked,N,UNKNOWN,FIJI,1964.02.17.R,Años 60
1964,5,Unprovoked,Y,M,FIJI,1964.05.08,Años 60
1964,1,Unprovoked,N,M,SOUTH AFRICA,1964.01.01.a,Años 60
1964,1,Unprovoked,UNKNOWN,UNKNOWN,AUSTRALIA,1964.01.01.b,Años 60
1964,1,Unprovoked,N,F,FIJI,1964.01.04,Años 60
1964,5,Unprovoked,N,M,PANAMA,1964.05.30,Años 60
1964,1,Unprovoked,N,M,USA,1964.01.11,Años 60
1964,1,Unprovoked,N,M,AUSTRALIA,1964.01.18,Años 60
1964,1,Boat,N,UNKNOWN,SOUTH AFRICA,1964.01.21,Años 60
