,Year,Ocean_Sea
404,2013,NORTH_ATLANTIC
405,2013,NORTH_ATLANTIC
406,2013,NORTH_ATLANTIC
407,2013,NORTH_ATLANTIC
408,2013,NORTH_ATLANTIC
409,2013,NORTH_PACIFIC
410,2013,NORTH_PACIFIC
412,2013,NORTH_ATLANTIC
414,2013,NORTH_PACIFIC
415,2013,NORTH_PACIFIC
416,2013,NORTH_PACIFIC
417,2013,NORTH_PACIFIC
418,2013,NORTH_ATLANTIC
420,2013,NORTH_ATLANTIC
421,2013,NORTH_PACIFIC
422,2013,NORTH_ATLANTIC
423,2013,NORTH_ATLANTIC
424,2013,GULF_OF_MEXICO
425,2013,NORTH_PACIFIC
426,2013,NORTH_ATLANTIC
427,2013,NORTH_ATLANTIC
428,2013,SOUTH_ATLANTIC
429,2013,GULF_OF_MEXICO
430,2013,NORTH_ATLANTIC
433,2013,NORTH_ATLANTIC
437,2013,CARIBBEAN_SEA
438,2013,NORTH_PACIFIC
439,2013,NORTH_ATLANTIC
440,2013,NORTH_ATLANTIC
441,2013,NORTH_PACIFIC
442,2013,GULF_OF_MEXICO
444,2013,NORTH_ATLANTIC
445,2013,NORTH_ATLANTIC
446,2013,NORTH_ATLANTIC
448,2013,NORTH_PACIFIC
449,2013,NORTH_ATLANTIC
450,2013,SOUTH_ATLANTIC
452,2013,SOUTH_PACIFIC
453,2013,NORTH_PACIFIC
455,2013,NORTH_ATLANTIC
457,2013,GULF_OF_MEXICO
459,2013,NORTH_ATLANTIC
461,2013,NORTH_ATLANTIC
464,2013,NORTH_ATLANTIC
466,2013,NORTH_PACIFIC
470,2013,NORTH_ATLANTIC
473,2013,CARIBBEAN_SEA
478,2013,NORTH_PACIFIC
479,2013,NORTH_PACIFIC
480,2013,NORTH_ATLANTIC
482,2013,CARIBBEAN_SEA
486,2013,NORTH_PACIFIC
489,2012,NORTH_ATLANTIC
494,2012,NORTH_PACIFIC
497,2012,NORTH_PACIFIC
499,2012,NORTH_PACIFIC
500,2012,NORTH_ATLANTIC
501,2012,NORTH_PACIFIC
502,2012,NORTH_PACIFIC
503,2012,NORTH_PACIFIC
504,2012,NORTH_PACIFIC
505,2012,NORTH_PACIFIC
506,2012,NORTH_ATLANTIC
507,2012,NORTH_ATLANTIC
508,2012,NORTH_PACIFIC
509,2012,NORTH_ATLANTIC
511,2012,NORTH_PACIFIC
513,2012,NORTH_ATLANTIC
514,2012,NORTH_ATLANTIC
515,2012,NORTH_ATLANTIC
517,2012,NORTH_ATLANTIC
518,2012,NORTH_ATLANTIC
519,2012,NORTH_ATLANTIC
520,2012,NORTH_ATLANTIC
521,2012,NORTH_ATLANTIC
522,2012,NORTH_ATLANTIC
523,2012,NORTH_ATLANTIC
524,2012,NORTH_PACIFIC
525,2012,NORTH_ATLANTIC
528,2012,SOUTH_ATLANTIC
529,2012,GULF_OF_MEXICO
531,2012,NORTH_ATLANTIC
534,2012,NORTH_PACIFIC
536,2012,NORTH_PACIFIC
537,2012,NORTH_ATLANTIC
538,2012,NORTH_ATLANTIC
540,2012,CARIBBEAN_SEA
541,2012,NORTH_ATLANTIC
543,2012,NORTH_ATLANTIC
544,2012,NORTH_ATLANTIC
546,2012,NORTH_PACIFIC
549,2012,NORTH_ATLANTIC
550,2012,NORTH_ATLANTIC
551,2012,NORTH_PACIFIC
553,2012,NORTH_ATLANTIC
555,2012,NORTH_ATLANTIC
556,2012,NORTH_ATLANTIC
557,2012,NORTH_ATLANTIC
558,2012,NORTH_ATLANTIC
559,2012,NORTH_ATLANTIC
560,2012,NORTH_ATLANTIC
561,2012,NORTH_ATLANTIC
565,2012,NORTH_ATLANTIC
566,2012,NORTH_ATLANTIC
567,2012,NORTH_ATLANTIC
568,2012,NORTH_PACIFIC
569,2012,NORTH_ATLANTIC
570,2012,NORTH_PACIFIC
572,2012,NORTH_PACIFIC
573,2012,NORTH_ATLANTIC
574,2012,NORTH_PACIFIC
575,2012,NORTH_ATLANTIC
578,2012,NORTH_PACIFIC
579,2012,NORTH_ATLANTIC
581,2012,NORTH_ATLANTIC
584,2012,NORTH_ATLANTIC
585,2012,NORTH_ATLANTIC
586,2012,NORTH_ATLANTIC
590,2012,NORTH_ATLANTIC
592,2012,SOUTH_PACIFIC
593,2012,NORTH_ATLANTIC
597,2012,NORTH_ATLANTIC
598,2012,NORTH_PACIFIC
603,2012,NORTH_PACIFIC
606,2011,NORTH_ATLANTIC
607,2011,CARIBBEAN_SEA
608,2011,SOUTH_PACIFIC
609,2011,NORTH_ATLANTIC
610,2011,NORTH_PACIFIC
615,2011,NORTH_PACIFIC
620,2011,NORTH_PACIFIC
622,2011,SOUTH_ATLANTIC
624,2011,NORTH_PACIFIC
628,2011,NORTH_PACIFIC
630,2011,NORTH_ATLANTIC
631,2011,NORTH_PACIFIC
634,2011,NORTH_ATLANTIC
635,2011,GULF_OF_MEXICO
636,2011,CARIBBEAN_SEA
637,2011,CARIBBEAN_SEA
639,2011,NORTH_ATLANTIC
640,2011,NORTH_ATLANTIC
641,2011,NORTH_PACIFIC
644,2011,NORTH_ATLANTIC
645,2011,NORTH_PACIFIC
647,2011,NORTH_PACIFIC
649,2011,NORTH_ATLANTIC
650,2011,NORTH_ATLANTIC
652,2011,GULF_OF_MEXICO
654,2011,NORTH_ATLANTIC
655,2011,NORTH_ATLANTIC
658,2011,NORTH_ATLANTIC
659,2011,NORTH_ATLANTIC
662,2011,CARIBBEAN_SEA
664,2011,NORTH_ATLANTIC
665,2011,NORTH_ATLANTIC
667,2011,SOUTH_ATLANTIC
669,2011,NORTH_ATLANTIC
671,2011,NORTH_ATLANTIC
673,2011,GULF_OF_MEXICO
674,2011,NORTH_ATLANTIC
675,2011,GULF_OF_MEXICO
676,2011,GULF_OF_MEXICO
679,2011,CARIBBEAN_SEA
680,2011,SOUTH_ATLANTIC
682,2011,NORTH_ATLANTIC
683,2011,NORTH_PACIFIC
684,2011,NORTH_ATLANTIC
685,2011,CARIBBEAN_SEA
686,2011,NORTH_PACIFIC
689,2011,NORTH_ATLANTIC
690,2011,CARIBBEAN_SEA
691,2011,NORTH_PACIFIC
692,2011,NORTH_ATLANTIC
694,2011,GULF_OF_MEXICO
696,2011,NORTH_PACIFIC
697,2011,NORTH_PACIFIC
700,2011,NORTH_ATLANTIC
701,2011,NORTH_ATLANTIC
702,2011,NORTH_ATLANTIC
705,2011,NORTH_ATLANTIC
707,2011,NORTH_ATLANTIC
711,2011,GULF_OF_MEXICO
712,2011,GULF_OF_MEXICO
714,2011,GULF_OF_MEXICO
725,2011,CARIBBEAN_SEA
727,2011,GULF_OF_MEXICO
728,2011,CARIBBEAN_SEA
729,2011,NORTH_ATLANTIC
732,2011,GULF_OF_MEXICO
734,2010,NORTH_PACIFIC
736,2010,NORTH_PACIFIC
745,2010,NORTH_PACIFIC
746,2010,CARIBBEAN_SEA
751,2010,NORTH_PACIFIC
753,2010,NORTH_ATLANTIC
755,2010,NORTH_PACIFIC
758,2010,NORTH_ATLANTIC
759,2010,NORTH_ATLANTIC
761,2010,NORTH_PACIFIC
762,2010,NORTH_ATLANTIC
765,2010,NORTH_ATLANTIC
767,2010,NORTH_ATLANTIC
768,2010,NORTH_ATLANTIC
769,2010,NORTH_ATLANTIC
771,2010,NORTH_ATLANTIC
772,2010,NORTH_ATLANTIC
774,2010,NORTH_PACIFIC
778,2010,NORTH_ATLANTIC
780,2010,NORTH_ATLANTIC
781,2010,NORTH_PACIFIC
782,2010,NORTH_ATLANTIC
783,2010,NORTH_ATLANTIC
784,2010,NORTH_ATLANTIC
785,2010,NORTH_ATLANTIC
786,2010,NORTH_ATLANTIC
787,2010,NORTH_ATLANTIC
789,2010,GULF_OF_MEXICO
790,2010,NORTH_ATLANTIC
792,2010,NORTH_ATLANTIC
793,2010,NORTH_PACIFIC
794,2010,NORTH_PACIFIC
795,2010,GULF_OF_MEXICO
796,2010,NORTH_ATLANTIC
797,2010,NORTH_ATLANTIC
799,2010,NORTH_ATLANTIC
801,2010,NORTH_ATLANTIC
802,2010,NORTH_ATLANTIC
807,2010,NORTH_ATLANTIC
808,2010,NORTH_ATLANTIC
809,2010,NORTH_PACIFIC
820,2010,NORTH_ATLANTIC
822,2010,NORTH_ATLANTIC
824,2010,SOUTH_ATLANTIC
833,2010,NORTH_ATLANTIC
845,2009,NORTH_ATLANTIC
846,2009,NORTH_PACIFIC
847,2009,NORTH_ATLANTIC
848,2009,NORTH_PACIFIC
849,2009,NORTH_ATLANTIC
850,2009,NORTH_ATLANTIC
851,2009,NORTH_ATLANTIC
853,2009,NORTH_PACIFIC
857,2009,NORTH_PACIFIC
858,2009,NORTH_PACIFIC
859,2009,CARIBBEAN_SEA
862,2009,NORTH_PACIFIC
864,2009,NORTH_ATLANTIC
867,2009,SOUTH_ATLANTIC
868,2009,NORTH_ATLANTIC
869,2009,SOUTH_ATLANTIC
872,2009,NORTH_PACIFIC
874,2009,NORTH_PACIFIC
876,2009,NORTH_ATLANTIC
877,2009,NORTH_PACIFIC
878,2009,NORTH_ATLANTIC
879,2009,NORTH_ATLANTIC
883,2009,GULF_OF_MEXICO
885,2009,NORTH_ATLANTIC
886,2009,NORTH_ATLANTIC
888,2009,NORTH_ATLANTIC
889,2009,NORTH_PACIFIC
891,2009,NORTH_ATLANTIC
892,2009,NORTH_ATLANTIC
894,2009,NORTH_PACIFIC
895,2009,NORTH_ATLANTIC
901,2009,NORTH_ATLANTIC
902,2009,NORTH_ATLANTIC
903,2009,NORTH_ATLANTIC
904,2009,NORTH_ATLANTIC
906,2009,NORTH_ATLANTIC
907,2009,NORTH_ATLANTIC
908,2009,NORTH_PACIFIC
909,2009,NORTH_ATLANTIC
911,2009,NORTH_ATLANTIC
913,2009,NORTH_ATLANTIC
914,2009,NORTH_PACIFIC
916,2009,NORTH_PACIFIC
917,2009,NORTH_ATLANTIC
923,2009,NORTH_ATLANTIC
925,2009,NORTH_PACIFIC
935,2009,CARIBBEAN_SEA
939,2009,SOUTH_ATLANTIC
940,2009,CARIBBEAN_SEA
944,2009,SOUTH_ATLANTIC
952,2009,SOUTH_PACIFIC
954,2009,CARIBBEAN_SEA
960,2008,NORTH_PACIFIC
967,2008,SOUTH_PACIFIC
975,2008,NORTH_ATLANTIC
977,2008,NORTH_ATLANTIC
978,2008,NORTH_ATLANTIC
980,2008,NORTH_ATLANTIC
981,2008,NORTH_PACIFIC
982,2008,NORTH_PACIFIC
984,2008,NORTH_ATLANTIC
985,2008,NORTH_ATLANTIC
986,2008,NORTH_ATLANTIC
987,2008,NORTH_ATLANTIC
989,2008,NORTH_PACIFIC
991,2008,NORTH_ATLANTIC
992,2008,NORTH_ATLANTIC
993,2008,NORTH_ATLANTIC
994,2008,NORTH_ATLANTIC
995,2008,NORTH_ATLANTIC
996,2008,NORTH_ATLANTIC
997,2008,CARIBBEAN_SEA
998,2008,NORTH_ATLANTIC
999,2008,NORTH_PACIFIC
1003,2008,NORTH_PACIFIC
1004,2008,NORTH_PACIFIC
1005,2008,NORTH_ATLANTIC
1006,2008,NORTH_PACIFIC
1007,2008,NORTH_ATLANTIC
1008,2008,NORTH_ATLANTIC
1009,2008,NORTH_ATLANTIC
1010,2008,NORTH_ATLANTIC
1012,2008,NORTH_ATLANTIC
1013,2008,NORTH_ATLANTIC
1014,2008,NORTH_ATLANTIC
1015,2008,NORTH_ATLANTIC
1017,2008,NORTH_PACIFIC
1018,2008,NORTH_ATLANTIC
1021,2008,NORTH_ATLANTIC
1022,2008,NORTH_ATLANTIC
1023,2008,SOUTH_ATLANTIC
1024,2008,NORTH_PACIFIC
1025,2008,NORTH_ATLANTIC
1026,2008,SOUTH_ATLANTIC
1027,2008,NORTH_ATLANTIC
1029,2008,NORTH_ATLANTIC
1030,2008,SOUTH_ATLANTIC
1031,2008,NORTH_ATLANTIC
1032,2008,NORTH_ATLANTIC
1033,2008,NORTH_PACIFIC
1034,2008,NORTH_PACIFIC
1038,2008,NORTH_ATLANTIC
1040,2008,NORTH_PACIFIC
1041,2008,NORTH_ATLANTIC
1042,2008,NORTH_ATLANTIC
1044,2008,NORTH_ATLANTIC
1045,2008,NORTH_PACIFIC
1046,2008,NORTH_ATLANTIC
1049,2008,GULF_OF_MEXICO
1051,2008,NORTH_ATLANTIC
1052,2008,NORTH_ATLANTIC
1054,2008,NORTH_ATLANTIC
1056,2008,NORTH_ATLANTIC
1058,2008,NORTH_ATLANTIC
1059,2008,NORTH_ATLANTIC
1060,2008,NORTH_ATLANTIC
1061,2008,NORTH_ATLANTIC
1062,2008,NORTH_ATLANTIC
1063,2008,NORTH_PACIFIC
1064,2008,NORTH_ATLANTIC
1066,2008,NORTH_ATLANTIC
1068,2008,NORTH_ATLANTIC
1073,2008,NORTH_ATLANTIC
1074,2008,NORTH_ATLANTIC
1075,2008,NORTH_PACIFIC
1076,2007,SOUTH_PACIFIC
1081,2007,NORTH_PACIFIC
1083,2007,SOUTH_ATLANTIC
1087,2007,NORTH_ATLANTIC
1088,2007,NORTH_ATLANTIC
1090,2007,NORTH_PACIFIC
1091,2007,NORTH_PACIFIC
1094,2007,NORTH_PACIFIC
1095,2007,NORTH_ATLANTIC
1096,2007,NORTH_PACIFIC
1099,2007,NORTH_ATLANTIC
1100,2007,NORTH_PACIFIC
1102,2007,NORTH_ATLANTIC
1103,2007,NORTH_ATLANTIC
1104,2007,NORTH_ATLANTIC
1106,2007,NORTH_ATLANTIC
1107,2007,NORTH_ATLANTIC
1108,2007,NORTH_ATLANTIC
1109,2007,NORTH_ATLANTIC
1110,2007,NORTH_ATLANTIC
1111,2007,NORTH_ATLANTIC
1112,2007,NORTH_ATLANTIC
1113,2007,NORTH_ATLANTIC
1114,2007,NORTH_PACIFIC
1115,2007,NORTH_PACIFIC
1116,2007,NORTH_ATLANTIC
1117,2007,NORTH_ATLANTIC
1118,2007,NORTH_ATLANTIC
1119,2007,NORTH_ATLANTIC
1120,2007,NORTH_ATLANTIC
1121,2007,NORTH_ATLANTIC
1122,2007,NORTH_ATLANTIC
1123,2007,NORTH_ATLANTIC
1124,2007,NORTH_ATLANTIC
1125,2007,NORTH_ATLANTIC
1126,2007,NORTH_ATLANTIC
1127,2007,NORTH_ATLANTIC
1128,2007,NORTH_ATLANTIC
1129,2007,NORTH_ATLANTIC
1130,2007,NORTH_PACIFIC
1131,2007,NORTH_PACIFIC
