Swimming ashore from fishing boat swamped and sunk by a squall,1
Yacht of Michael Howell capsized,1
Scuba Diving for lobster (at surface),1
Diving / UW photography,1
Scurfing (surfboard being  towed behind a boat),1
Scuba diving (ascending using scooter),1
Fell overboard from USS cruiser Tacoma,1
Resting on surfboard,1
Swimming underwater from crayfish cage to a fishing bait,1
Swimming in fish tank,1
"Surfing on ""chest board"" (boogie board?)",1
Removing fish from a trap,1
Sinking of the 40' Esperanza off St. Maartin with 36 refugees on board,1
Splashing / wading,1
Scuba diving in aquarium tank,1
M.V. Tropical sank. Sole survivor rode oil drums for 8 days without food or water.,1
Walking in chest-deep water,1
Adrift on raft,1
"Diving. Shark swallowed his hand, so he threw his other around the shark and went shark-back riding for 30 yards until the shark opened its jaws",1
Bather,1
Paddling a surfboat,1
Spearfishing (but on surface),1
Fishing?,1
"A 75-ton  Japanese fishing ship was sunk by  Chinese Nationalist gunboat, shipwrecked men were clinging to debris",1
Conducting research,1
USS Hoel DD 533 sunk on 10/24/1944 in the Battle off Samar. 2 crewmen were swimmng alongside a floater net &,1
Fishing (trolling)  from canoe,1
Carrying a supposedly dead shark by its mouth,1
Bathing or body surfing ,1
Fell or jumped overboard from the liner Rhynland,1
Fishing in shoulder-deep water,1
Aircraft exploded,1
Landing hooked shark in boat,1
boat from the Austrian ship Elizabeth,1
Paddling on surfboard or body board,1
Sea Disaster Sinking of ferryboat Christina,1
Swimming & snorkeling,1
"16' catamaran capsized previous night, occupants stayed with wreckage until morning, then attempted to swim ashore",1
Killing a shark,1
"Surfing, but standing in water alongside board",1
Fishingat,1
Swimming back from anchored sailboat,1
"Free diving / spearfishing, from paddleboard & floating on the surface",1
Attacked shark with fists,1
"Pearl diving, but standing in the water",1
Sittting in water with his child,1
"Surfing, but lying prone on his board",1
On inflatable raft,1
"Checking fish traps, fell into the water",1
Fly fishing,1
The inter-island ferry Vula sank in heavy weather,1
Swimming with fish attached to  belt,1
Dynamiting fish,1
Dived into the water,1
"Returning to shore, collided with shark",1
"Fishing, holding fish in right hand",1
Swimming to avoid capture,1
Wreck of  large double sailing canoe,1
Fell overboard from P&O steamship Arabia,1
National Airlines DC7B enroute from Miami to Los Angeles with 42 or 46 people on board went down in heavy fog,1
Swimming after being washed overboard,1
Attempted to return injured shark to the sea,1
Crouching in 2' of water,1
bathing ,1
Competing in a light tackle game fishing,1
Kite-Boarding,1
Swimming to shore after a squall  capsized their motorized shark fishing boat,1
Ditched plane in the sea & were adrift on a rubber life raft. ,1
Attempting to land a boat from the Hinemoa,1
Hunting crayfish,1
Fell overboard while fishing for sharks,1
Swimming to shore with floatioon devices after boat engine conked out,1
"Spearfishing, speared a small shark",1
Diving by wharf,1
Collecting fish from net,1
"Netting menhaden, sharks caught in net",1
Fell into water while attempting to boat a swordfish,1
"Fishing, two large sharks passed. He speared one and it bit him",1
"Seining for bait, standing in chest-deep water",1
"90 European civilians, many women & children, were placed on the deck of a Japanese submarine that submerged when it was well offshore",1
"Diving, photographing sharks",1
Fell overboard from US Navy PC boat,1
Fishing in waist-deep water,1
Hunting crayfish ,1
Sinking of the ferryboat      Don Juan,1
Fishing / diving,1
"Spearfishing, shot shark, hauled it onto boat",1
"Explosion destroyed 28' boat, survivors in the water ",1
Diving for pearls,1
Shark fishing on the Don Agustín-VI. ,1
"Fishing, standing in water next to purse net",1
"Swimming, caught in strong backwash & disappeared",1
14 m prawn trawler New Venture capsized  & sank in heavy seas Three people in the water,1
Diving for beche-de-mer from lugger,1
Fell overboard & swimming,1
Inspecting teeth of supposedly dead (hooked & shot) shark,1
Sponge divers,1
Wreck of the Sovereign,1
Probabable drowning,1
Kayaking or Wave skiing,1
"Spearfishing, carrying fish on spear",1
Spearfishing using scuba & trailing a string of bleeding fish,1
Taking wife to beach & about 1 m from the shore,1
Pearl diving from lugger Whyalla,1
Collecting crayfish,1
Lost his footing & fell overboard,1
"Surfing, but treading water",1
Diving / Kissing the shark,1
Jumped off surfboard & landed on the shark,1
R5D aircraft went down with 29 on board,1
Fleet of canoes caught by a squall and charged by sharks.,1
Standing on sandbank,1
Esso Bolivar was torpedoed & shelled by the German submarine U-126,1
"Crossing inlet in a boat, seen fighting sharks with his oar, sharks smashed boat",1
Gaffing netted shark,1
Pleasure boating,1
"Sailboarding, fell into water 100 yards outside the breakwater",1
"Spearfishing, holding mesh bag with speared fish",1
Scuba diving ,1
Floating in tube,1
"Fishing, casting in the surf",1
Attempting to escape by swimming to shore,1
Bathing in 2 feet of water,1
Washing horses,1
Lying prone in 2' of water,1
Launching a boat,1
Fishing for white shark,1
"Portuguese seaman fell overboard. Boat lowered to pick up with 1st mate & 4 crew, but done hurriedly & all were thrown into the water. As a second boat was lowered, a shark went after the 1st mate but he was rescued. Then the shark went after Mr. Andrews ",1
Swimming alongside warship   Tsingt-ao,1
Accidentally thrown overboard & treading water while awaiting rescue,1
Washed overboard,1
Diving off wharf,1
Swimming from capsized boat,1
Diving in tuna net,1
Fishing for albacore,1
Bodysurfing,1
Washed overboard from the barque Mary Eady,1
Crew swimming alongside their anchored ship,1
Boat Miss Becky  sank 12 miles from shore,1
"Fishing, standing in waist-deep water",1
Motor launch Baby Princesa capsized with 22 people on board,1
Fishing with a cast net,1
small boat,1
Swimming in waist-deep water ,1
Diving & fishing with net,1
boat from ship Josephine capsized in squall,1
Fishing for snappers & cleaning mullet. Put mullet over side of boat to wash it,1
Spearfishing (but treading water on the surface),1
Put foot inside a landed & supposedly dead shark,1
Chasing shark out of bathing area while riding on a surf-ski,1
Slipped off rocks and fell into the water,1
Wading / Surfing,1
"Days before the surrender of Singapore, the 3 men escaped to Sumatra where they acquired a 17' dinghy. After 125 days at sea they drifted back to Sumatra",1
Cargo ship Dara sank after collision with another ship during a severe storm,1
Rowing toward snapper grounds,1
Swept off deck of S.S.Frontenac enroute from West Indies to US,1
Sleeping in anchored boat,1
Trailing the field in a surf race,1
Swimming after their boat capsized,1
"Overcome by CO fumes, fell overboard from 36' fishing cruiser & prop slashed arm",1
"Hardhat diving from Japanese pearling lugger, Reiyo Maru",1
Paddle-surfing,1
A father bathing his smallest daughter when the shark bumped her out of his arms and carried her into deep water,1
"Fishing, attempted to take a netted shark",1
Exercising his dog in the shallows,1
The 240-ton motor vessel Pilar II with 100 people on board capsized in high winds & rough seas,1
Fell overboard from steamship Rio Grande,1
Scuba diving & feeding fish,1
yachtsman in a zodiac,1
"Swimming, after falling overboard",1
Spearing a shark,1
"Swimming, towing a kayak",1
"Fishing with dynamite, afterwards in water retrieving catch",1
Swimming or wading out  to warn bathers that a shark had been seen,1
Diving in Sharkey's Reef restaurants aquarium,1
Measuring sharks,1
"Wading, knocked down & swept away by large waves",1
Feeling the sharks teeth,1
Finning the shark,1
In rubber dinghy with Captain Eddie Rickenbacker for 21 days. ,1
Dived onto shark from floating stage,1
Standing / fishing,1
"""Boat accident""",1
Freediving for seashells,1
Body surfing & treading water,1
"Swimming, poaching perlemoen",1
Diving for Abalone,1
Abalone diving using Hookah (near calving whales),1
Swimming after falling overboard from the sealing ship Vesper,1
Free diving / modeling,1
 a canoe was pursuing a schooner that had forcibily abducted 5 young girls,1
Attempting to retreive a dinghy,1
The SS Potlach was torpedoed & sunk by the U-153 on 27-Jun-1942. ,1
Swimming beside launch,1
Collecting ornamental fish,1
Swimming ashore after launch capsized,1
Diving from dinghy for trochus shell,1
"When  a deckhand  jumped overboard, McIver dived after him with a rescue line.",1
Bathing or washing,1
Hauling in net with shark in it,1
"Standing, stepped on shark",1
Swimming from fishing boat setting nets,1
Diving & force-feeding the shark,1
Adrift on a 4'  raft for 32 days,1
"The Pacquebot Laconia, enroute to Liverpool with 600 Italian prisoners onboard, was torpedoed by the German submarine  U-156 and only 2 rafts were launched before the ship went down. Unable to board an overcrowded raft, he was swimming.",1
Walking / surfing,1
"Plane crashed in water, men in life raft",1
"Boat capsized, swimming to shore",1
Standing / Wading,1
Crossing the river mouth,1
Anti-sabotage night dive exercise alongside destroyer (Scuba diving),1
Helmet diving,1
Boogie-boarding / swimming,1
Free diving / spearfishing (resting on the surface),1
German raider Kormoran was sunk in an engagement with HMAS Sydney,1
"Boogie boarding, kicked at object in the water",1
"Sea Disaster, sinking of the  SS Vestris",1
Feeding mullet to sharks,1
"Surfing, sitting on board",1
Swimming alongside the schooner Catherine Wilcox,1
"Skindiving,",1
Playing with a frisbee in the shallows,1
Swimming to anchored boat,1
Free diving for shell,1
Swimming from camp,1
"Fishing for yellowtail, Seriola quinqueradiata",1
"Fishing, on charter boat Silver Dollar",1
"Commercial fishing vessel, Ev-nn, struck object & sank. Ken Crosby and  Jame & Ann Dumas adrift on makeshift raft.",1
Diving for sand dollars,1
American cruiser Indianapolis torpedoed & sunk by the Japanese submarine I-58,1
"Dress diving, filming shark & pulling it through the water for a motion picture scene",1
Attempting to rescue drowning man,1
Scuba diving (submerged riding a scooter),1
Scuba diving & filming,1
Diving for sinkers,1
Swimming outside fishing net,1
Hand feeding sharks,1
Playing in knee-deep water,1
"Fishing from dory, shark upset boat & he fell into the water",1
Diving for pen shells,1
Swimming & splashing,1
Harpooned shark,1
Diving off pier & treading water,1
Tech diving ,1
Standing on sandbar,1
Hunting sharks,1
Photographing fish,1
Preparing to fish for jack-mackerel,1
Among 31 survivors of crew from the sampan Fukulya Maru (which reached Thursday Island in rowing boat) was a man whose arm had been bitten off by shark. The sampan wrecked west of McArthur island ,1
Surfing / treading water,1
"Arsinoe, a French tanker",1
Swimming to shore from capsized kayak,1
Collecting marine specimens,1
Adrift after wave swamped engine,1
Argentine Air Force C-54,1
"Free diving for trochus shell, swimming to dinghy",1
"Walking, carrying surfboard & stepped on shark",1
Feeding a shark,1
Fishing (illegally),1
Lying in 2 feet of water,1
Treading for clams,1
Harassing a shark,1
Snorkeling on surface,1
Wreck of the steamship Sultan of Bombay,1
Boat exploded,1
Salvaging a shipwreck,1
Swimming underneath house on pilings,1
Crawling,1
"Pushed surfmat of a young girl out of the shark's path, drawing shark's attention to his own board",1
Dragging a shark,1
SUP Foil boarding,1
Cleaning the side of a ship,1
Floating in creek,1
"Greek steamship Lakonia caught fire, 98 of her 646 passengers, and 30 of her crew of 376 perished",1
Swimming /  Whale Watching,1
Swimming to canoe,1
Removing shark from net,1
Wading with surfboard,1
Defecating in water beneath the docks,1
Motor boat Rebel Belle lost,1
Body surfing or Boogie boarding,1
Swimming / Body surfing,1
Bathing alongside US Naval ship,1
Removing shark from net ,1
Boogie boarding or Surfing,1
Body surfing?,1
Shrimping,1
Wrangling a shark,1
Petting captive sharks,1
The schooner Tahitienne foundered in a hurricane,1
Spearfishing / swimming on surface,1
boat capsized during filming,1
Floating on inner tube after diving for lobster,1
Lying atop surfboard,1
Fisherman,1
