,name,founded_year,category_code,number_of_employees,rounds,total_raised_MnUSD,round_average_MnUSD,"type: 1: startup, 2: small/mid corp, 3:big corp",latitude,longitude,geojson,near_companies,employees,ratio,investments,ratio_distance
44,Kyte,2006,games_video,40,4.0,23.3,5.8,2,37.788482,-122.409173,"{'type': 'Point', 'coordinates': [-122.409173, 37.788482]}",63,4933,1.9523809523809523,36.0,0.04761904761904767
45,hi5,2003,games_video,100,2.0,34.0,17.0,2,37.788668,-122.400558,"{'type': 'Point', 'coordinates': [-122.400558, 37.788668]}",63,4927,1.9523809523809523,36.0,0.04761904761904767
46,Weebly,2006,web,70,3.0,0.6,0.2,2,37.795555,-122.400729,"{'type': 'Point', 'coordinates': [-122.400729, 37.795555]}",60,4806,1.95,36.0,0.050000000000000044
47,Kongregate,2006,games_video,20,4.0,19.0,4.8,2,37.786942,-122.401245,"{'type': 'Point', 'coordinates': [-122.401245, 37.786942]}",63,4927,1.9523809523809523,36.0,0.04761904761904767
48,BitTorrent,2004,web,80,3.0,40.8,13.6,2,37.790998,-122.394668,"{'type': 'Point', 'coordinates': [-122.394668, 37.790998]}",62,4921,1.9516129032258065,36.0,0.048387096774193505
49,OpenTable,1998,web,550,3.0,48.0,16.0,2,37.785647,-122.405265,"{'type': 'Point', 'coordinates': [-122.405265, 37.785647]}",64,4939,1.953125,36.0,0.046875
50,Twonq,2008,web,3,2.0,1.6,0.8,1,37.794124,-122.403223,"{'type': 'Point', 'coordinates': [-122.403223, 37.794124]}",60,4806,1.95,36.0,0.050000000000000044
51,YourStreet,2006,web,6,1.0,0.2,0.2,2,37.793742,-122.421341,"{'type': 'Point', 'coordinates': [-122.421341, 37.793742]}",60,4471,1.9333333333333333,36.0,0.06666666666666665
52,Disqus,2007,web,43,3.0,10.5,3.5,2,37.786906,-122.397672,"{'type': 'Point', 'coordinates': [-122.397672, 37.786906]}",63,4927,1.9523809523809523,36.0,0.04761904761904767
53,Twonq,2008,web,3,2.0,1.6,0.8,1,37.794124,-122.403223,"{'type': 'Point', 'coordinates': [-122.403223, 37.794124]}",60,4806,1.95,36.0,0.050000000000000044
54,HubPages,2006,web,21,2.0,8.0,4.0,2,37.7876952,-122.3991505,"{'type': 'Point', 'coordinates': [-122.3991505, 37.7876952]}",63,4927,1.9523809523809523,36.0,0.04761904761904767
55,Roost,2007,software,15,2.0,13.5,6.8,2,37.7891288,-122.4020276,"{'type': 'Point', 'coordinates': [-122.4020276, 37.7891288]}",63,4927,1.9523809523809523,36.0,0.04761904761904767
56,Lookery,2007,web,9,2.0,3.1,1.6,2,37.788266,-122.403865,"{'type': 'Point', 'coordinates': [-122.403865, 37.788266]}",63,4927,1.9523809523809523,36.0,0.04761904761904767
57,Flixster,2006,web,75,3.0,7.2,2.4,2,37.766909,-122.406676,"{'type': 'Point', 'coordinates': [-122.406676, 37.766909]}",58,4982,1.9655172413793103,33.9,0.034482758620689724
