,_id,category_code,founded_year,geo,latitude,longitude,name,number_of_employees,raised_amount,raised_currency_code,total_money_raised,numero_compañias_cerca
176,5cd590c53c474a367c3cc400,games_video,2008,"{'type': 'Point', 'coordinates': [-122.396744, 37.780134]}",37.780134,-122.396744,Scavenja,8.0,,,$0,38
184,5cd590c53c474a367c3cc408,software,2008,"{'type': 'Point', 'coordinates': [-122.39736, 37.794043]}",37.794043,-122.39736,OpenDrive,25.0,,,$0,38
197,5cd590c53c474a367c3cc415,games_video,2008,"{'type': 'Point', 'coordinates': [-122.4015807, 37.7705096]}",37.7705096,-122.4015807,ngmoco,150.0,5600000.0,USD,$44.8M,33
207,5cd590c53c474a367c3cc41f,web,2008,"{'type': 'Point', 'coordinates': [-73.990024, 40.739867]}",40.739867,-73.990024,YellowSpaces,1.0,,,$0,37
227,5cd590c53c474a367c3cc433,web,2008,"{'type': 'Point', 'coordinates': [-122.403223, 37.794124]}",37.794124,-122.403223,Twonq,3.0,800000.0,USD,$800k,37
230,5cd590c53c474a367c3cc436,web,2008,"{'type': 'Point', 'coordinates': [-73.986951, 40.756054]}",40.756054,-73.986951,Papervitamins,2.0,,,$0,36
239,5cd590c53c474a367c3cc43f,web,2008,"{'type': 'Point', 'coordinates': [-122.3999719, 37.7870923]}",37.7870923,-122.3999719,Lolapps,65.0,4000000.0,USD,$4M,37
244,5cd590c53c474a367c3cc444,web,2008,"{'type': 'Point', 'coordinates': [-74.004441, 40.721583]}",40.721583,-74.004441,photothread,,,,$0,25
247,5cd590c53c474a367c3cc447,web,2008,"{'type': 'Point', 'coordinates': [-73.999675, 40.741441]}",40.741441,-73.999675,Samepoint,5.0,,,$0,36
249,5cd590c53c474a367c3cc449,web,2008,"{'type': 'Point', 'coordinates': [-73.990024, 40.739867]}",40.739867,-73.990024,YellowSpaces,1.0,,,$0,37
271,5cd590c53c474a367c3cc45f,web,2008,"{'type': 'Point', 'coordinates': [-122.403223, 37.794124]}",37.794124,-122.403223,Twonq,3.0,800000.0,USD,$800k,37
274,5cd590c53c474a367c3cc462,web,2008,"{'type': 'Point', 'coordinates': [-73.986951, 40.756054]}",40.756054,-73.986951,Papervitamins,2.0,,,$0,36
283,5cd590c53c474a367c3cc46b,web,2008,"{'type': 'Point', 'coordinates': [-122.3999719, 37.7870923]}",37.7870923,-122.3999719,Lolapps,65.0,4000000.0,USD,$4M,37
288,5cd590c53c474a367c3cc470,web,2008,"{'type': 'Point', 'coordinates': [-74.004441, 40.721583]}",40.721583,-74.004441,photothread,,,,$0,25
291,5cd590c53c474a367c3cc473,web,2008,"{'type': 'Point', 'coordinates': [-73.999675, 40.741441]}",40.741441,-73.999675,Samepoint,5.0,,,$0,36
300,5cd590c53c474a367c3cc47c,web,2008,"{'type': 'Point', 'coordinates': [-73.970266, 40.764481]}",40.764481,-73.970266,The Company Database,,,,$0,27
304,5cd590c53c474a367c3cc480,web,2008,"{'type': 'Point', 'coordinates': [-122.419204, 37.775196]}",37.775196,-122.419204,BoxCycle,,,,$0,35
