,_id,category_code,city,country_code,founded_year,geopoint,latitude,longitude,name,number_of_employees,type,companies200,companies500,companies1000,companies2000,employees200,employees500,employees1000,employees2000
1009,5cd453a1e74b56f50369cad5,social,London,GBR,2007,"{'type': 'Point', 'coordinates': [-0.0925694, 51.5027669]}",51.5027669,-0.0925694,SocialGO,12,startup,2,2,3,8,17,17,19,116
1010,5cd453a1e74b56f50369cad6,software,Aptos,USA,2006,"{'type': 'Point', 'coordinates': [-121.907443, 36.97441]}",36.97441,-121.907443,Ceboa,4,startup,1,1,1,1,4,4,4,4
1011,5cd453a1e74b56f50369cad7,web,New York,USA,2007,"{'type': 'Point', 'coordinates': [-73.982544, 40.747819]}",40.747819,-73.982544,TasteSpace,10,startup,2,3,28,52,19,25,354,639
1012,5cd453a1e74b56f50369cad8,web,San Jose,USA,2008,"{'type': 'Point', 'coordinates': [-121.880958, 37.320006]}",37.320006,-121.880958,CityPorters,2,startup,1,4,4,4,2,27,27,27
1013,5cd453a1e74b56f50369cad9,games_video,Bretten,DEU,2008,"{'type': 'Point', 'coordinates': [8.714079, 49.03767]}",49.03767,8.714079,telewebber,3,startup,1,1,1,1,3,3,3,3
1014,5cd453a1e74b56f50369cada,games_video,Quebec,CAN,2009,"{'type': 'Point', 'coordinates': [-71.2373393, 46.8081938]}",46.8081938,-71.2373393,Star Fever Agency,5,startup,1,1,1,2,5,5,5,6
1015,5cd453a1e74b56f50369cadb,software,Chicago,USA,2005,"{'type': 'Point', 'coordinates': [-87.6223183, 41.8851542]}",41.8851542,-87.6223183,Brickfish,30,startup,1,2,7,11,30,40,85,117
1016,5cd453a1e74b56f50369cadc,software,Burnsville,USA,2005,"{'type': 'Point', 'coordinates': [-93.251434, 44.785024]}",44.785024,-93.251434,Alliance Card,7,startup,1,1,1,1,7,7,7,7
1017,5cd453a1e74b56f50369cadd,web,San Francisco,USA,2007,"{'type': 'Point', 'coordinates': [-122.397141, 37.788115]}",37.788115,-122.397141,DocVerse,5,startup,4,11,37,61,79,195,459,706
1018,5cd453a1e74b56f50369cade,software,Dammam,SAU,2005,"{'type': 'Point', 'coordinates': [50.21028, 26.272541]}",26.272541,50.21028,Remal IT,30,startup,1,1,1,1,30,30,30,30
